Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"11,424 EUR (289,000 CZK)",Volkswagen,Sharan,2.0 TDI,"191,167 km",2010,Diesel,Van,Gray,Kroměříž,100 kW (136 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Sharan/Sharan-2-0-TDI-HIG-MPV-170998245012260.html,
"11,068 EUR (279,999 CZK)",Volkswagen,Touareg,3.0 TDI V6,"269,962 km",2010,Diesel,Suv,Gray,Olbramovice,176 kW (239 HP),Automatic,https://autocaris.cz/detail.php?inzerat=733208,
"62,262 EUR (1,575,000 CZK)",Bmw,X6,,"40,000 km",2018,Petrol,Suv,Black,Ostrava,423 kW (575 HP),Automatic,https://yauto.cz/bmw/x6/44-m-bang-olufsen-karbon-nocne-videnie-br-suv-benzin-854226/,
"25,695 EUR (649,999 CZK)",Ford,Ranger,3.2,"164,455 km",2016,Diesel,Pickup,Black,Olbramovice,147 kW (200 HP),Automatic,https://www.sauto.cz/osobni/detail/ford/ranger/204876189,
"7,708 EUR (195,000 CZK)",Volvo,S80,2.4 D5,"222,801 km",2007,Diesel,Sedan,Blue,Praha,136 kW (185 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volvo/S80/S80-2-4-D5-Serv-Sedan-Limuzina-17102402693101539.html,
"16,204 EUR (409,900 CZK)",Kia,Optima,1.7,"141,000 km",2016,Diesel,Sedan,Gray,Praha,104 kW (141 HP),Automatic,https://www.sauto.cz/osobni/detail/kia/optima/204573501,
"14,587 EUR (369,000 CZK)",Volkswagen,Sharan,2.0 TDI,"152,348 km",2012,Diesel,Van,Gray,Kroměříž,100 kW (136 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Sharan/Sharan-2.0-TDI.XEN-MPV-1711037265212145.html,
"3,518 EUR (88,999 CZK)",Seat,Altea,1.9 TDI,"314,307 km",2007,Diesel,Mpv,Silver,Olbramovice,77 kW (105 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Seat/Altea/Altea-1-9-TDI-XL-MPV-170517635500379.html,
"13,832 EUR (349,900 CZK)",Hyundai,Tucson,1.7 CRDi,"178,025 km",2017,Diesel,Suv,Gold,Praha,104 kW (141 HP),Automatic,https://www.automodul.cz/hyundai-tucson-1-7-premium-panorama-automat-c2691665,
"6,317 EUR (159,800 CZK)",Škoda,Roomster,1.2,"85,710 km",2010,Petrol,Mpv,Blue,Slaný,63 kW (86 HP),Manual,https://www.autanet.cz/detail/skoda/roomster/44855,
"9,882 EUR (249,990 CZK)",Volkswagen,Tiguan,1.4 TSI,"124,141 km",2010,Petrol,Crossover,Gray,Třebíč,110 kW (150 HP),Manual,https://www.annonce.cz/inzerat/volkswagen-tiguan-1-4-72493907-wcarxe.html,
