Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Ford,Mondeo,2.0 TDCi,2018,Diesel,Wagon,Gray,Salzburg,Manual,https://www.zweispurig.at/ford-mondeo-gebrauchtwagen-diesel-grau-salzburg/details-1194601,20900,102450,134.0,6,Austria
Hyundai,Tucson,1.6 CRDi,2023,Diesel,Suv,Gray,Rankweil,Automatic,https://www.zweispurig.at/hyundai-tucson-tageszulassung-diesel-grau-vorarlberg/details-1217510,48450,62,101.0,6,Austria
Škoda,Octavia,2.0,2024,Diesel,Wagon,Gray,Villach,Automatic,https://www.dasweltauto.at/vehicle/628005938,43990,100,111.0,6,Austria
Volkswagen,Tiguan,2.0 TDI 4Motion,2023,Diesel,Crossover,Gray,Wien,Automatic,https://www.dasweltauto.at/vehicle/15053831,49990,16053,111.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2015,Diesel,Van,Brown,Schwechat,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-braun-niederoesterreich/details-1235741,18999,180000,104.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2015,Diesel,Van,Black,Salzburg,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700,18450,159000,111.0,6,Austria
Volkswagen,Transporter,2.0,2020,Diesel,Van,Silver,Hall In Tirol,Manual,https://www.zweispurig.at/vw-transporter-t6-gebrauchtwagen-diesel-silber-tirol/details-1238630,41990,120924,111.0,6,Austria
Jeep,Compass,1.6,2023,Diesel,Crossover,Green,Brunn Am Gebirge,Automatic,https://www.zweispurig.at/jeep-compass-vorfuehrwagen-benzin-gruen-niederoesterreich/details-1195268,41990,23758,97.0,6,Austria
Honda,Hr-V,1.5 VTEC Turbo,2020,Petrol,Crossover,Gray,Wels,Automatic,https://www.zweispurig.at/honda-hr-v-gebrauchtwagen-benzin-grau-oberoesterreich/details-1243911,23990,20000,135.0,6,Austria
Dacia,Lodgy,1.2 TCe,2021,Petrol,Mpv,White,Wien,Manual,https://www.zweispurig.at/dacia-lodgy-gebrauchtwagen-benzin-weiss-wien/details-1239153,14880,15537,97.0,6,Austria
Aston Martin,V12 Vantage,6.0 V12,2023,Petrol,Convertible,Green,Wiener Neustadt,Automatic,https://www.zweispurig.at/aston-martin-vantage-gebrauchtwagen-benzin-gruen-niederoesterreich/details-1242097,609870,1350,521.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2016,Diesel,Van,Silver,Linz,Manual,https://www.dasweltauto.at/vehicle/35002711,22690,123924,111.0,6,Austria
Audi,A8,3.0 TDI,2015,Diesel,Sedan,Gray,Salzburg,Automatic,https://www.zweispurig.at/audi-a8-gebrauchtwagen-diesel-grau-salzburg/details-1238799,38800,172000,195.0,6,Austria
Ford,Transit Custom,2.0,2021,Diesel,Van,Gray,Wien,Automatic,https://www.zweispurig.at/ford-transit-custom-gebrauchtwagen-diesel-grau-wien/details-1221308,69900,22000,137.0,6,Austria
Hyundai,I10,1.2,2023,Petrol,Mini,Red,Linz,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/511475-hyundai-i10-i-line-plusautomatiknavilinkwinterpaket.html,17690,1,62.0,6,Austria
Volvo,Xc40,2.0 D3 AWD,2020,Diesel,Crossover,Gray,Innsbruck,Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-grau-tirol/details-1246487,34900,73350,111.0,6,Austria
Volvo,Xc40,2.0 D4 AWD,2020,Diesel,Crossover,Red,Wels,Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-rot-oberoesterreich/details-1171401,35990,69000,141.0,6,Austria
