Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Tesla,Model S,2017,Electric,Sedan,Blue,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344633232,electro,6,24007.0,126000,391.0,Norway
Mazda,Cx-5,2016,Diesel,Crossover,White,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342986616,2.2 D,6,12821.0,237000,111.0,Norway
Tesla,Model X,2016,Electric,Suv,Red,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342014778,electro,6,30108.0,124000,247.0,Norway
Bmw,X5,2014,Diesel,Suv,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341013879,xDrive30d,6,30891.0,239000,192.0,Norway
Mercedes Benz,S-Class,2015,Diesel,Sedan,Silver,Stange,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339160238,350d 4Matic,6,45596.0,106200,192.0,Norway
Mercedes Benz,R-Class,2013,Diesel,Mpv,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344149847,350 CDI,5,24950.0,127000,197.0,Norway
Kia,Sportage,2011,Diesel,Crossover,Black,Lillehammer,Manual,https://www.finn.no/car/used/ad.html?finnkode=324993939,2.0 CRDi,5,7730.0,231000,101.0,Norway
Toyota,Hilux,2020,Diesel,Pickup,Gray,Ski,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344710043,2.4,6,32689.0,80500,111.0,Norway
Ford,Transit,2009,Diesel,Van,White,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=325583157,2.2,5,3433.0,197500,82.0,Norway
Porsche,Cayenne,2014,Diesel,Suv,Black,Hamar,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344793820,3.0 diesel,6,36054.0,114735,157.0,Norway
Volkswagen,Golf,2014,Diesel,Wagon,Silver,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=345259183,1.6 TDI,6,10239.0,129000,78.0,Norway
Volkswagen,Up!,2013,Petrol,Mini,Silver,Stange,Manual,https://www.finn.no/car/used/ad.html?finnkode=196398877,1.0,5,5119.0,94320,44.0,Norway
Toyota,Hilux,2021,Diesel,Pickup,White,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343004268,2.8,6,47240.0,18800,152.0,Norway
Bmw,X7,2020,Diesel,Suv,Black,Fredrikstad,Automatic,https://www.finn.no/car/used/ad.html?finnkode=335725803,xDrive30d,6,107473.0,38564,197.0,Norway
Nissan,Navara,2016,Diesel,Pickup,Gray,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344171940,2.3,6,22286.0,114780,141.0,Norway
Bmw,X5,2014,Diesel,Suv,Black,Larvik,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343461589,30d,6,39496.0,165000,192.0,Norway
Bmw,X5,2014,Diesel,Suv,Black,Vestby,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342485723,xDrive25d,6,32698.0,152000,162.0,Norway
Bmw,M5,2013,Petrol,Sedan,Brown,Hokksund,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339194861,4.4,5,45519.0,158900,417.0,Norway
Nissan,Juke,2012,Diesel,Crossover,Gray,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=341588839,1.5 dCi,5,5593.0,212000,82.0,Norway
Mercedes Benz,E-Class,2018,Petrol,Sedan,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=337538273,43 AMG,6,60147.0,60000,299.0,Norway
Mercedes Benz,S-Class,2018,Petrol,Sedan,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=327946121,63 AMG,6,120313.99999999999,64000,456.0,Norway
Bmw,5 Series,2007,Diesel,Wagon,Black,Furnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=306591686,525d,4,6453.0,306000,146.0,Norway
Bmw,5 Series,2007,Diesel,Wagon,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343224388,520d,4,6014.0,265000,131.0,Norway
Ford,Grand C-Max,2013,Diesel,Mpv,Black,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=329823327,1.6,5,4724.0,163000,86.0,Norway
Volvo,S80,2011,Diesel,Sedan,Black,Vestby,Manual,https://www.finn.no/car/used/ad.html?finnkode=325002742,1.6,5,8604.0,155450,81.0,Norway
Bmw,X5,2016,Diesel,Suv,Gray,Flisa,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340433547,40d,6,42077.0,128000,233.0,Norway
Bmw,X5,2016,Diesel,Suv,Black,Stavanger,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341268058,30d,6,46457.0,126000,192.0,Norway
Bmw,X5,2016,Diesel,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340220391,M50d,6,53349.0,123000,284.0,Norway
Peugeot,3008,2017,Diesel,Crossover,Brown,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343972918,1.6,6,17123.0,131000,89.0,Norway
Land Rover,Discovery,2009,Diesel,Suv,Silver,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344830434,2.5 TD,5,11960.0,323568,182.0,Norway
Mitsubishi,Asx,2012,Diesel,Crossover,Silver,Lillehammer,Manual,https://www.finn.no/car/used/ad.html?finnkode=344819670,1.8,5,10054.0,167200,86.0,Norway
