Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"59,900 EUR",Porsche,Macan,2.0,"51,000 km",2021,Petrol,6,Suv,Black,Imola,182 kW (248 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/porsche-macan-20-aut---navi---led---tetto---pasm---21-benzina/1/20549405
"60,500 EUR",Porsche,Macan,2.0,"43,000 km",2021,Petrol,,Suv,Gray,Benevento,182 kW (248 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/porsche-macan-20-245-cv-pdk-garantita12mesi-benzina/1/20513620
"18,200 EUR",Audi,A4,2.0 g-Tron,"186,000 km",2019,Petrol,,Wagon,Silver,Concesio,126 kW (171 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/audi-a4-avant-40-g-tron-s-tronic-business-benzinametano/1/20498321
"30,500 EUR",Audi,Q5,2.0 40,"89,369 km",2019,Diesel,6,Suv,White,Agliana,140 kW (190 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q5-40-tdi-quattro-s-tronic-business-sport-diesel/1/20306822
"39,900 EUR",Audi,Q5,2.0 40,"38,000 km",2019,Diesel,,Suv,Black,Roma,141 kW (192 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/audi-q5-40-tdi-quattro-s-tronic-s-line-plus-look-nero-diesel/1/20162278
"19,950 EUR",Fiat,500 X,1.3 multijet,"29,244 km",2023,Diesel,6,Crossover,Black,Treviglio,70 kW (95 HP),Manual,https://www.trova-automobile.it/auto/annuncio/fiat-500x-13-multijet-95-cv-sport-diesel/1/20528938
"46,800 EUR",Volkswagen,Tiguan,2.0 TSI 4Motion,"38,500 km",2021,Petrol,,Crossover,Blue,Milano,238 kW (324 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/volkswagen-tiguan-20-tsi-r-dsg-4motion-benzina/1/20313582
"16,900 EUR",Peugeot,3008,1.5 bluehdi,"109,000 km",2018,Diesel,6,Crossover,Black,Cervignano Del Friuli,110 kW (150 HP),Manual,https://www.trova-automobile.it/auto/annuncio/peugeot-3008-bluehdi-130-ss-business-diesel/1/20263319
"23,900 EUR",Hummer,H3,3.7 Luxury,"207,000 km",2009,Petrol,,Suv,Black,Firenze,227 kW (309 HP),Automatic,https://www.trova-automobile.it/auto/annuncio/hummer-h3-53-v8-aut-luxury--gpl--benzina/1/20355219
"17,490 EUR",Peugeot,3008,1.5 bluehdi,"123,000 km",2019,Diesel,6,Crossover,White,Este,97 kW (132 HP),Manual,https://www.trova-automobile.it/auto/annuncio/peugeot-3008-bluehdi-130-ss-business-diesel/1/20284944
"23,490 EUR",Jeep,Compass,1.6 multijet,"26,725 km",2018,Diesel,,Crossover,White,Padova,89 kW (121 HP),Manual,https://www.trova-automobile.it/auto/annuncio/jeep-compass-16-multijet-ii-2wd-limitedtetto-apribile-c19-diesel/1/20292736
