Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Honda,Cr-V,2.0,2019,Hybrid,Suv,Red,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/cr-v-20-i-mmd-hybrid-4wd-executive-hud-acc-led/variant-v3c8kydw,23800,108665,137.0,6,Germany
Ferrari,F355,3.5,1999,Petrol,Convertible,Red,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424764103?num_on_page=2&page=5&title=Ferrari+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,108900,55000,280.0,2,Germany
Audi,Tt Rs,2.5,2022,Petrol,Coupe,Gray,Mainz,Automatic,https://www.12gebrauchtwagen.de/c/16/1417159213?num_on_page=2&page=48&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,62880,20180,294.0,6,Germany
Jaguar,F-Pace,2.0,2019,Diesel,Crossover,Black,Hamburg,Automatic,https://www.12gebrauchtwagen.de/c/4/1368611057?num_on_page=1&page=12&title=Jaguar+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,29980,121600,133.0,6,Germany
Volkswagen,Tiguan,2.0,2020,Diesel,Crossover,Black,Blaubeuren,Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/volkswagen/tiguan/iqdrive-20-tdi-iq-drive-navi-ahk-qbc88p2z,24999,67000,111.0,6,Germany
Volvo,Xc60,2.0 B4,2023,Diesel,Crossover,Gray,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/383899641/Pkw/volvo-xc60-ultimate-dark-2wd-b4-diesel-eu6d-hud-ad-dig,52890,12280,146.0,6,Germany
Audi,A3,1.0,2018,Petrol,Sedan,Blue,Villingen Schwenningen,Manual,https://www.12gebrauchtwagen.de/c/4/1424503027?num_on_page=3&page=83&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18900,89058,85.0,6,Germany
Audi,Q2,1.5 35 TFSI,2021,Petrol,Crossover,Blue,Rain,Automatic,https://www.instamotion.com/auto/QPDV-IHDN-S4Q4,27370,39900,110.0,6,Germany
Audi,A1,1.0 30 TFSI,2020,Petrol,Mini,Gray,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426162535?num_on_page=1&page=11&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,25890,33000,85.0,6,Germany
Audi,Q2,1.5 35 TFSI,2020,Petrol,Crossover,Blue,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1415348364?num_on_page=1&page=70&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,27490,24656,110.0,6,Germany
Honda,Cr-V,2.0 i-MMD e:HEV,2023,Hybrid,Suv,Blue,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/cr-v-20-i-mmd-ehev-advance-awd-hud-led-pano/variant-kjc8vuxq,52490,10,137.0,6,Germany
Audi,Q8,3.0 50 TDI quattro,2018,Diesel,Suv,Black,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424471641?num_on_page=4&page=117&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,52900,122543,210.0,6,Germany
Bmw,5 Series,525i,2014,Diesel,Wagon,Black,Dieburg,Automatic,https://www.12gebrauchtwagen.de/c/4/1424590053?num_on_page=1&page=58&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14980,181000,160.0,6,Germany
Dacia,Sandero,1.0 tce,2021,Petrol,Hatchback,Black,Ostfildern,Manual,https://www.12gebrauchtwagen.de/c/4/1426580174?num_on_page=1&page=9&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14892,29259,74.0,6,Germany
Audi,A4,1.8,2014,Petrol,Wagon,Gray,Mönchengladbach,Automatic,https://www.12gebrauchtwagen.de/c/4/1337329058?num_on_page=3&page=61&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16890,98000,88.0,6,Germany
Jeep,Wrangler,6.4,2023,Petrol,Suv,Gray,Rain,Automatic,https://www.instamotion.com/auto/GXTL-4Q9O-UU23,143440,99,350.0,6,Germany
Hyundai,I20,1.0,2022,Petrol,Hatchback,White,Schwerte,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/hyundai/i20/variant-p5c8erwj,22950,5772,75.0,6,Germany
Bmw,X4,M40d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/LRDB-UM1D-LZEB,71090,25600,250.0,6,Germany
Bmw,X4,M40d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1425969773?num_on_page=1&page=19&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,70150,25195,250.0,6,Germany
Bmw,X4,xDrive30d,2023,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/T1BH-VX6O-ZVE7,67650,24566,210.0,6,Germany
Bmw,X4,M40i,2023,Petrol,Suv,Red,Rain,Automatic,https://www.instamotion.com/auto/RY8H-QN27-Y7CM,75250,24342,265.0,6,Germany
Ford,S-Max,2.0 EcoBlue,2020,Diesel,Mpv,Silver,Rain,Automatic,https://www.instamotion.com/auto/FWS4-39VG-Q9FT,26350,83893,140.0,6,Germany
