Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"3,694 EUR (3,995 USD)",Chevrolet,Venture,3.4 Base,"114,476 mi",2003,Petrol,Mpv,Silver,Snohomish,137 kW (186 HP),Automatic,1GNDX03E43D324206,https://www.easyautosales.com/used-cars/2003-Chevrolet-Venture-Base-117965770.html
"14,791 EUR (15,995 USD)",Hyundai,Sonata,2.0 Plug-In Hybrid,"52,380 mi",2017,Hybrid,Sedan,White,Cypress,150 kW (204 HP),Automatic,KMHE14L29HA062635,https://www.cars.com/vehicledetail/e0f47d47-eada-4290-84a1-9697d23a66b1//
"17,381 EUR (18,796 USD)",Jeep,Compass,2.4 Limited,"62,599 mi",2018,Petrol,Crossover,Blue,South Boston,134 kW (182 HP),Automatic,3C4NJDCB9JT264796,https://www.cars.com/vehicledetail/1db0e1b0-295b-4a4c-bd49-3beca0825024//
"13,869 EUR (14,998 USD)",Chevrolet,Bolt Ev,electro,"64,548 mi",2017,Electric,Mini,Blue,Fort Payne,150 kW (204 HP),Automatic,1G1FX6S02H4148346,https://www.cars.com/vehicledetail/50d28406-9715-4842-89e6-ec4906da20b3//
"17,012 EUR (18,396 USD)",Jeep,Compass,2.4,"67,164 mi",2018,Petrol,Crossover,Green,Crossville,134 kW (182 HP),Automatic,3C4NJCBB3JT140499,https://www.cars.com/vehicledetail/82d242ac-978f-4e6a-a0a5-11962bfb1173//
"19,900 EUR (21,519 USD)",Jeep,Grand Cherokee,3.6,"84,503 mi",2019,Petrol,Suv,White,Hollywood,562 kW (764 HP),Automatic,1C4RJFLG9KC636224,https://www.cars.com/vehicledetail/2f4eb752-0c23-477c-8d85-e0265415cab3//
"18,033 EUR (19,500 USD)",Subaru,Legacy,2.5 Premium,"46,995 mi",2020,Petrol,Wagon,Black,Baltimore,193 kW (262 HP),,4S3BWAC68L3025647,https://www.easyautosales.com/used-cars/2020-Subaru-Legacy-Premium-118469458.html
"18,490 EUR (19,995 USD)",Nissan,Leaf,electro,"23,000 mi",2022,Electric,Hatchback,White,Mishawaka,160 kW (218 HP),Automatic,1N4BZ1CV2NC552073,https://www.easyautosales.com/used-cars/2022-Nissan-LEAF-SV-PLUS-EV-118511042.html
"13,676 EUR (14,789 USD)",Jeep,Compass,2.4,"107,173 mi",2018,Petrol,Crossover,Silver,Akron,134 kW (182 HP),Automatic,3C4NJDDB1JT501764,https://www.cars.com/vehicledetail/6fbd1826-a35f-4b14-86b1-19cb06c6a909//
"6,472 EUR (6,999 USD)",Subaru,Forester,2.0 X,"138,669 mi",2010,Petrol,Suv,Blue,New Britain,126 kW (171 HP),Automatic,JF2SH6CC6AH780374,https://www.cars.com/vehicledetail/6aaee08f-e1f7-4213-9c35-ee821f0b1f04//
"19,316 EUR (20,888 USD)",Jeep,Compass,2.4,"55,403 mi",2019,Petrol,Crossover,White,Lexington,134 kW (182 HP),Automatic,3C4NJDCB1KT664983,https://www.easyautosales.com/used-cars/2019-Jeep-Compass-High-Altitude-117450742.html
"15,877 EUR (17,169 USD)",Chevrolet,Bolt Ev,electro,"22,720 mi",2020,Electric,Mini,Red,Parkville,149 kW (203 HP),Automatic,1G1FZ6S08L4144451,https://www.cars.com/vehicledetail/4c5d3768-df30-441c-8a8f-fa12e945d7ae//
"17,566 EUR (18,995 USD)",Hyundai,Kona,electro,"23,175 mi",2020,Electric,Crossover,Silver,Branford,149 kW (203 HP),Automatic,KM8K53AG9LU065980,https://www.easyautosales.com/used-cars/2020-Hyundai-Kona-Electric-Ultimate-118634112.html
"9,243 EUR (9,995 USD)",Ford,F150,5.4 XLT,"139,622 mi",2009,Petrol,Pickup,Blue,Saint Louis,238 kW (324 HP),Automatic,1FTPW14V09FA96604,https://www.cars.com/vehicledetail/6aaf5d53-878c-4283-baec-a4f01191bda6//
"21,554 EUR (23,308 USD)",Gmc,Terrain,1.5,"3,483 mi",2024,Petrol,Suv,White,Tampa,130 kW (177 HP),Automatic,3GKALMEG1RL150728,https://www.easyautosales.com/new-cars/2024-GMC-Terrain-SLE-118893908.html
"10,311 EUR (11,150 USD)",Nissan,Pathfinder,4.0 S,"109,563 mi",2012,Petrol,Suv,Silver,Glenwood,270 kW (367 HP),,5N1AR1NB9CC639146,https://www.easyautosales.com/used-cars/2012-Nissan-Pathfinder-S-118576810.html
"21,075 EUR (22,790 USD)",Bmw,X3,3.0 xDrive30i,"61,082 mi",2021,Petrol,Suv,Black,Portland,184 kW (250 HP),Automatic,5UXTY5C04M9F10692,https://www.easyautosales.com/used-cars/2021-BMW-X3-xDrive30i-119158960.html
"19,873 EUR (21,490 USD)",Chevrolet,Equinox,1.5,"13,465 mi",2023,Petrol,Suv,White,Fort Lauderdale,222 kW (302 HP),Automatic,3GNAXKEG4PS175878,https://www.easyautosales.com/used-cars/2023-Chevrolet-Equinox-LT-118057364.html
"20,802 EUR (22,495 USD)",Audi,A7,3.0,"85,343 mi",2016,Petrol,Sedan,Black,South Amboy,248 kW (337 HP),Automatic,WAU2GBFC0GN007249,https://www.cars.com/vehicledetail/258abd72-8111-4589-8d3c-7ca8186b339b//
"20,326 EUR (21,980 USD)",Honda,Hr-V,1.8,"53,728 mi",2021,Petrol,Crossover,Black,Pacific,105 kW (143 HP),Manual,3CZRU6H59MM754882,https://www.cars.com/vehicledetail/d08fcd54-02b7-40ec-9cd1-2d8075e123f8//
"16,264 EUR (17,588 USD)",Chevrolet,Equinox,1.5,"37,511 mi",2020,Petrol,Suv,Silver,,126 kW (171 HP),Automatic,3GNAXSEV1LS539831,https://www.cars.com/vehicledetail/bdbc17c2-7779-4867-8885-ec5b5625ac89//
"19,327 EUR (20,900 USD)",Chevrolet,Camaro,5.7 Z28,"54,944 mi",1998,Petrol,Convertible,Gold,Grand Rapids,227 kW (309 HP),,2G1FP32G8W2136698,https://www.cars.com/vehicledetail/c0339e5d-ae91-46a2-b34b-b66036956b55//
"8,322 EUR (9,000 USD)",Fiat,500e,,"32,776 mi",2015,Electric,Mini,Blue,,83 kW (113 HP),,3C3CFFGE1FT555443,https://www.cars.com/vehicledetail/f6dc9f07-80e8-4160-863f-701134445a50//
"5,076 EUR (5,490 USD)",Subaru,Legacy,2.5,"78,422 mi",2006,Petrol,Wagon,Silver,Midway,125 kW (170 HP),Automatic,4S3BP626367312998,https://www.cars.com/vehicledetail/6d5dec6a-ebe3-4be1-9fec-d3ffeab07535//
"8,314 EUR (8,991 USD)",Subaru,Forester,2.5,"152,490 mi",2009,Petrol,Suv,Blue,Lynnwood,126 kW (171 HP),,JF2SH63679H724191,https://www.cars.com/vehicledetail/eb0d39ae-eecc-4ac5-ba5e-e177fe48a04f//
"21,323 EUR (23,058 USD)",Gmc,Terrain,1.5,"47,270 mi",2021,Petrol,Suv,White,Muscatine,126 kW (171 HP),Automatic,3GKALMEV0ML388870,https://www.cars.com/vehicledetail/86fa9d64-13fa-42f5-b6aa-475b3df2d964//
"15,977 EUR (17,277 USD)",Porsche,Boxster,2.7,"64,930 mi",2004,Petrol,Convertible,Blue,Fulton,167 kW (227 HP),Automatic,WP0CA29874U620566,https://www.cars.com/vehicledetail/da06dc95-16c2-4596-9132-2060ca07c80d//
"18,726 EUR (20,250 USD)",Chevrolet,Equinox,1.5,"63,807 mi",2021,Petrol,Suv,White,Portage,126 kW (171 HP),Automatic,2GNAXKEV2M6147926,https://www.cars.com/vehicledetail/e140b934-bdd3-45ed-9586-648285de594c//
"20,332 EUR (21,987 USD)",Chevrolet,Silverado 1500,6.2,"153,542 mi",2014,Petrol,Pickup,Black,Marshall,313 kW (426 HP),Automatic,3GCUKSEJ0EG325596,https://www.cars.com/vehicledetail/a7975266-1800-46ad-a676-410ef45e5655//
"22,841 EUR (24,700 USD)",Chrysler,Pacifica,3.6 Limited,"52,791 mi",2019,Petrol,Mpv,Silver,Troy,214 kW (291 HP),Automatic,2C4RC1GG7KR721125,https://www.cars.com/vehicledetail/fd4b06aa-4efd-44b1-b6fa-fa0d1a79e052//
"10,819 EUR (11,700 USD)",Subaru,Legacy,2.5 Premium,"102,323 mi",2014,Petrol,Wagon,Gray,Alliance,335 kW (456 HP),,4S3BMCC67E3015082,https://www.cars.com/vehicledetail/86fb4ab9-b38a-41a3-96f6-37167658a6f4//
"10,912 EUR (11,800 USD)",Ford,Expedition,3.5,"243,293 mi",2016,Petrol,Suv,Black,,272 kW (370 HP),Automatic,1FMJK1JT1GEF45582,https://www.cars.com/vehicledetail/226fa423-45c6-433f-a780-dfd92537bff0//
"7,859 EUR (8,499 USD)",Subaru,Outback,2.5,"115,087 mi",2012,Petrol,Crossover,Green,Lakewood,126 kW (171 HP),Automatic,4S4BRBKCXC3296919,https://www.cars.com/vehicledetail/8ffe5c9f-f099-464e-9f86-ffaeb8d95ff6//
"4,513 EUR (4,881 USD)",Nissan,Leaf,,"142,638 mi",2011,Electric,Hatchback,Blue,Capitol,80 kW (109 HP),Automatic,JN1AZ0CP1BT002539,https://www.cars.com/vehicledetail/77760798-74e7-4856-b19f-e4ac1b242d63//
"9,705 EUR (10,495 USD)",Ford,Mustang,4.6 GT,"95,467 mi",2002,Petrol,Convertible,Silver,Street,193 kW (262 HP),,1FAFP45X42F166501,https://www.cars.com/vehicledetail/3d1dafb2-8551-4edb-a60f-e955a523a5f6//
"14,787 EUR (15,990 USD)",Toyota,Tacoma,4.0 PreRunner V6,"159,814 mi",2009,Petrol,Pickup,Black,Jackson,175 kW (238 HP),Automatic,3TMJU62N59M071855,https://www.cars.com/vehicledetail/27075a5a-e712-41d1-a84b-fa9d4c49237a//
"13,363 EUR (14,451 USD)",Jeep,Cherokee,3.2,"123,317 mi",2017,Petrol,Suv,White,,202 kW (275 HP),Automatic,1C4PJMBS7HW538396,https://www.cars.com/vehicledetail/23748f48-df78-47f1-9b90-ce56e4db1da8//
"10,613 EUR (11,477 USD)",Gmc,Acadia,3.6 V6,"138,769 mi",2015,Petrol,Suv,Red,,214 kW (291 HP),Automatic,1GKKVTKDXFJ147008,https://www.cars.com/vehicledetail/7da3893d-4b73-430e-9e17-bd8bc42bcc0d//
"14,794 EUR (15,998 USD)",Acura,Tl,3.5,"36,051 mi",2012,Petrol,Sedan,White,Naples,208 kW (283 HP),Automatic,19UUA8F55CA003122,https://www.cars.com/vehicledetail/a31a40e5-99ef-4fdf-9e9b-f0e595ebd2d1//
"18,493 EUR (19,998 USD)",Cadillac,Xt5,3.6 Premium Luxury,"78,620 mi",2018,Petrol,Suv,Silver,Lemmon,231 kW (314 HP),Automatic,1GYKNERS7JZ237071,https://www.cars.com/vehicledetail/d76396f1-4923-423c-a064-a97451166c33//
"10,630 EUR (11,495 USD)",Toyota,Sienna,3.5,"140,240 mi",2015,Petrol,Mpv,Black,,198 kW (269 HP),Automatic,5TDZK3DC4FS560259,https://www.cars.com/vehicledetail/26b14abf-0a08-49f1-9814-b1cda628face//
"13,866 EUR (14,995 USD)",Lincoln,Town Car,4.6 executive l,"346,000 mi",2011,Petrol,Sedan,Black,Bay,178 kW (242 HP),Automatic,2L1FL8JW7BX755490,https://www.cars.com/vehicledetail/6db0db61-ea2c-420e-989a-3305f38d1e35//
"10,052 EUR (10,870 USD)",Chevrolet,Equinox,2.4,"105,649 mi",2015,Petrol,Suv,Red,Brunswick,135 kW (184 HP),Automatic,2GNALBEK7F6189514,https://www.cars.com/vehicledetail/17dae3ca-b947-4c7b-81d0-f9aa459499eb//
"19,789 EUR (21,399 USD)",Chevrolet,Colorado,2.5 LT,"30,890 mi",2021,Petrol,Pickup,Black,Maple Shade,149 kW (203 HP),Automatic,1GCHSCEA0M1283659,https://www.cars.com/vehicledetail/84c18c11-0c74-469b-96c9-eafdb30f0dee//
"22,192 EUR (23,998 USD)",Subaru,Outback,2.5,"55,682 mi",2020,Petrol,Crossover,Silver,Brevard,193 kW (262 HP),,4S4BTACC9L3184588,https://www.cars.com/vehicledetail/d859e954-f73a-4432-8bc5-adff65c0636c//
"9,246 EUR (9,999 USD)",Dodge,Durango,3.6 SXT,"127,583 mi",2013,,Suv,White,,216 kW (294 HP),Automatic,1C4RDJAG1DC668181,https://www.cars.com/vehicledetail/1b86c1dc-07a1-4108-a63d-cec7d49deeaa//
"10,126 EUR (10,950 USD)",Cadillac,Dts,4.6 Premium,"67,981 mi",2010,Petrol,Sedan,White,,205 kW (279 HP),Automatic,1G6KH5EY5AU101884,https://www.cars.com/vehicledetail/bf7fabdb-3475-436e-8c66-1b4aa1770588//
"4,531 EUR (4,900 USD)",Nissan,Pathfinder,4.0 SV,"226,343 mi",2012,Petrol,Suv,Black,Cherry,270 kW (367 HP),Automatic,5N1AR1NB1CC608439,https://www.cars.com/vehicledetail/7b727a07-ab3c-4bb2-aeb0-0bf68a56b44a//
"8,498 EUR (9,190 USD)",Gmc,Acadia,3.6 SLE,"148,816 mi",2015,Petrol,Suv,Blue,Cincinnati,209 kW (284 HP),Automatic,1GKKRPKD9FJ204150,https://www.cars.com/vehicledetail/135b7c55-5f3f-4dad-b642-d4b82766d325//
"16,174 EUR (17,490 USD)",Jeep,Compass,2.4,"67,032 mi",2018,Petrol,Crossover,Blue,New York,134 kW (182 HP),Automatic,3C4NJDDB9JT174921,https://www.cars.com/vehicledetail/d76c27ef-41a1-4b0e-a101-5a4da2d3f602//
"9,614 EUR (10,397 USD)",Volvo,Xc90,3.2,"128,054 mi",2014,Petrol,Suv,White,Lake Odessa,178 kW (242 HP),Automatic,YV4952CZ4E1681762,https://www.cars.com/vehicledetail/fa203706-51c0-4d5e-b8ca-3d3fba3b47f9//
"8,322 EUR (8,999 USD)",Mitsubishi,Outlander,2.4 SE,"115,843 mi",2017,Petrol,Suv,Silver,Rancho Cordova,123 kW (167 HP),Automatic,JA4AD3A33HZ026970,https://www.cars.com/vehicledetail/b86d3a7f-75fc-4afa-8de3-0d10c7938654//
"9,247 EUR (10,000 USD)",Ford,F150,5.4 Lariat,"69,379 mi",2007,,Pickup,White,Lancaster,223 kW (303 HP),Automatic,1FTPX14V37FA54096,https://www.cars.com/vehicledetail/e7173ae4-ad0f-4112-baa8-1a7d09362b70//
"6,167 EUR (6,669 USD)",Subaru,Outback,2.5,"151,897 mi",2012,Petrol,Crossover,Red,Ridgedale,126 kW (171 HP),Automatic,4S4BRBGC4C3216247,https://www.cars.com/vehicledetail/00c1f87b-e73f-4890-bb93-1d0d51d67151//
"3,694 EUR (3,995 USD)",Chrysler,Town&Country,4.0 V6,"191,160 mi",2010,Petrol,Mpv,Blue,Pearl,187 kW (254 HP),Automatic,2A4RR6DX5AR193142,https://www.cars.com/vehicledetail/8108170f-d763-4ac9-8232-2ea6a9731b68//
"11,555 EUR (12,495 USD)",Hyundai,Santa Fe,2.4 Sport,"65,392 mi",2014,Petrol,Suv,Silver,Troy,141 kW (192 HP),Automatic,5XYZT3LB0EG205445,https://www.cars.com/vehicledetail/5cc801f8-4f28-4511-b27f-652e24fc9416//
"9,705 EUR (10,495 USD)",Jeep,Grand Cherokee,5.7 Overland,"115,671 mi",2012,Petrol,Suv,Gray,Street,,,1C4RJECT6CC305688,https://www.cars.com/vehicledetail/db733563-9d66-407a-9f37-7af7511b8976//
"13,870 EUR (14,999 USD)",Cadillac,Dts,4.6 Luxury,"59,794 mi",2010,Petrol,Sedan,Silver,,205 kW (279 HP),Automatic,1G6KD5EY1AU111789,https://www.cars.com/vehicledetail/430f71ff-4550-443d-91b6-04c06519ff70//
"10,164 EUR (10,991 USD)",Toyota,Sienna,3.5,"68,127 mi",2012,Petrol,Mpv,Red,Ann Arbor,197 kW (268 HP),Automatic,5TDKK3DC1CS276892,https://www.cars.com/vehicledetail/4dfba560-0562-43c4-b98d-dd2a086b1559//
"22,186 EUR (23,991 USD)",Hummer,H2,6.0 Base,"119,352 mi",2004,Petrol,Suv,White,Edmonds,235 kW (320 HP),Automatic,5GRGN23U24H107860,https://www.cars.com/vehicledetail/53e90406-9792-4d07-9925-9d46224ca811//
"21,722 EUR (23,490 USD)",Jeep,Renegade,2.4 latitude,"1,112 mi",2021,Petrol,Crossover,Black,Pocomoke City,134 kW (182 HP),,ZACNJDBB6MPM33800,https://www.cars.com/vehicledetail/b54b75aa-ade1-4056-a0f4-c2fd56d07d59//
"12,474 EUR (13,489 USD)",Fiat,500 X,2.4,"38,834 mi",2016,Petrol,Crossover,Brown,Deer Park,134 kW (182 HP),Automatic,ZFBCFYBT3GP344721,https://www.cars.com/vehicledetail/4d13c288-a4bb-4af9-8c8f-adce9148b6f8//
"19,317 EUR (20,889 USD)",Subaru,Outback,2.5,"53,604 mi",2020,Petrol,Crossover,White,Grand Prairie,193 kW (262 HP),Automatic,4S4BTACC0L3146151,https://www.cars.com/vehicledetail/bc553acf-c8fd-4000-8ad3-49fb403c3ed2//
"9,237 EUR (9,989 USD)",Gmc,Acadia,3.6 SL,"136,311 mi",2016,Petrol,Suv,White,,209 kW (284 HP),Automatic,1GKKR1ED8GJ226456,https://www.cars.com/vehicledetail/7a727ea3-2693-4c58-97fe-b4a3d97eae9b//
"7,583 EUR (8,200 USD)",Jeep,Laredo,3.6,"134,129 mi",2011,Petrol,Suv,Black,Chicago,216 kW (294 HP),Automatic,1J4RS4GG8BC503265,https://www.cars.com/vehicledetail/26a09333-27de-4984-817c-223037976f54//
"13,870 EUR (14,999 USD)",Toyota,Matrix,1.8 xr,"104,830 mi",2006,Petrol,Mpv,Black,,87 kW (118 HP),Automatic,2T1LR32E76C562697,https://www.cars.com/vehicledetail/9b2b19b1-deb6-4f9e-a5d5-3ea2680beaca//
"19,697 EUR (21,300 USD)",Subaru,Outback,2.5,"99,666 mi",2021,Petrol,Crossover,White,Troy,135 kW (184 HP),,4S4BTADC1M3128466,https://www.cars.com/vehicledetail/07482c34-1015-4337-88c2-248dbaca2997//
"20,209 EUR (21,854 USD)",Honda,Hr-V,1.8,"10,088 mi",2021,Petrol,Crossover,Blue,,105 kW (143 HP),Automatic,3CZRU6H18MM711745,https://www.cars.com/vehicledetail/637b9be0-1116-4660-9715-a0d17af6b20c//
"19,049 EUR (20,599 USD)",Nissan,Rogue,2.5 SV,"27,393 mi",2020,Petrol,Crossover,Black,West End,126 kW (171 HP),Automatic,JN8AT2MV2LW132261,https://www.cars.com/vehicledetail/17696bc8-50ed-4bbe-a3e0-104a8bb70dab//
"19,410 EUR (20,990 USD)",Subaru,Outback,2.5,"49,296 mi",2020,Petrol,Crossover,Gray,Mequon,193 kW (262 HP),,4S4BTAAC7L3229661,https://www.cars.com/vehicledetail/a3a92b6f-b965-40fe-a6ab-cce8a1009a10//
"6,362 EUR (6,880 USD)",Lincoln,Town Car,4.6 Signature,"177,666 mi",2006,Petrol,Sedan,White,Cloverdale,178 kW (242 HP),Automatic,1LNHM82V76Y609834,https://www.cars.com/vehicledetail/c5d83d6c-511e-485d-a2c1-6ec87b12496e//
"17,524 EUR (18,950 USD)",Nissan,Titan,5.6 LE,"68,678 mi",2008,Petrol,Pickup,Blue,,236 kW (321 HP),Automatic,1N6BA07D08N352652,https://www.cars.com/vehicledetail/dcaed69d-74c4-434b-be89-8298833ee6fc//
"4,530 EUR (4,899 USD)",Ford,Expedition,5.4 Eddie Bauer,"137,950 mi",1999,Petrol,Suv,Blue,Sandy,193 kW (262 HP),,1FMPU18L7XLA42418,https://www.cars.com/vehicledetail/4ce879b1-574a-4fb0-81b9-55426acc93ce//
"6,842 EUR (7,399 USD)",Jeep,Liberty,Sport,"158,357 mi",2012,Petrol,Suv,Black,Bordentown,156 kW (212 HP),,1C4PJMAK7CW205836,https://www.cars.com/vehicledetail/2fb8d195-2ab7-4d04-91a5-d9b9f8c4a94d//
"13,866 EUR (14,995 USD)",Jeep,Wrangler,3.8 Sport,"91,651 mi",2011,Petrol,Suv,Silver,Ridgedale,150 kW (204 HP),Automatic,1J4GA2D18BL532294,https://www.cars.com/vehicledetail/56835ba1-6811-4161-9724-64af151dc88d//
"19,420 EUR (21,000 USD)",Honda,Hr-V,1.8,"41,274 mi",2021,Petrol,Crossover,Blue,,105 kW (143 HP),Automatic,3CZRU6H52MM721738,https://www.cars.com/vehicledetail/4490f1b7-eacd-4207-a5fa-55ff8eb8667c//
"3,694 EUR (3,995 USD)",Ford,Freestar,4.2 SEL,"173,583 mi",2006,Petrol,Mpv,Blue,Cedar Rapids,149 kW (203 HP),Automatic,2FMZA52286BA60045,https://www.cars.com/vehicledetail/50f9271c-41a5-4204-a163-b2f2298b0d84//
"16,553 EUR (17,900 USD)",Ford,Escape,1.5,"75,296 mi",2018,Petrol,Suv,Red,,133 kW (181 HP),Automatic,1FMCU9GD3JUD13029,https://www.cars.com/vehicledetail/9cf7a1ed-3833-47fd-a67c-e9a0255daf01//
"15,783 EUR (17,068 USD)",Chevrolet,Bolt Ev,lt,"25,366 mi",2021,Electric,Mini,Black,Green Bay,149 kW (203 HP),Automatic,1G1FY6S01M4100134,https://www.cars.com/vehicledetail/54a308a3-21f1-4165-a726-5b508a8af174//
"20,797 EUR (22,489 USD)",Jaguar,F-Pace,2.0,"63,270 mi",2019,Petrol,Crossover,White,Lawrenceville,220 kW (299 HP),Automatic,SADCK2GX0KA391111,https://www.cars.com/vehicledetail/a067ee3b-7494-47c5-bcc1-8f5afafd098a//
"14,514 EUR (15,695 USD)",Lincoln,Mks,3.7 Base,"48,878 mi",2014,Petrol,Sedan,Black,Troy,226 kW (307 HP),Automatic,1LNHL9DK0EG604121,https://www.cars.com/vehicledetail/5bb71416-cf6e-43eb-b6fa-d95a6cc892b7//
"7,393 EUR (7,995 USD)",Honda,Ridgeline,3.5 RTL,"199,390 mi",2008,Petrol,Pickup,Silver,Deer Park,184 kW (250 HP),Automatic,2HJYK16578H516221,https://www.cars.com/vehicledetail/c4155cc3-baf7-4767-b413-18cba38cc208//
"17,108 EUR (18,500 USD)",Chevrolet,Corvette,5.7 Base,"45,613 mi",2003,Petrol,Convertible,Red,,260 kW (354 HP),Automatic,1G1YY32G535121422,https://www.cars.com/vehicledetail/11f8f6e3-ece3-4716-9772-b36fa2fa028b//
"5,455 EUR (5,899 USD)",Gmc,Sierra 1500,5.3 SLT,"224,242 mi",2004,Petrol,Pickup,Black,,219 kW (298 HP),Automatic,2GTEK13T841396684,https://www.cars.com/vehicledetail/8d4c6d2a-85a1-49a4-84a5-5d6d2b7b172c//
"20,338 EUR (21,993 USD)",Jeep,Cherokee,4.0 Limited,"45,168 mi",2019,Petrol,Suv,Black,Eau Claire,202 kW (275 HP),Automatic,1C4PJMDX8KD349588,https://www.cars.com/vehicledetail/5ec269b3-ddf9-4fa8-8cc4-6e2abee3efea//
"13,855 EUR (14,983 USD)",Chevrolet,Volt,1.5 Premier,"101,578 mi",2017,Hybrid,Hatchback,Red,Saginaw,111 kW (151 HP),Automatic,1G1RB6S54HU104792,https://www.cars.com/vehicledetail/d01a9df7-3168-4830-828e-ec661fc7d9e2//
"19,420 EUR (21,000 USD)",Jeep,Compass,2.4,"26,771 mi",2021,Petrol,Crossover,Black,Newtown,134 kW (182 HP),Automatic,3C4NJDDB0MT510685,https://www.cars.com/vehicledetail/46c64aa3-e89e-4974-a626-a9a48f8eae18//
"12,483 EUR (13,499 USD)",Kia,Sorento,3.3 LX,"121,962 mi",2019,Petrol,Suv,Silver,Indiana,216 kW (294 HP),Automatic,5XYPGDA56KG486791,https://www.cars.com/vehicledetail/395d708b-31b4-4487-ad14-ad63057d14b3//
"12,899 EUR (13,949 USD)",Chevrolet,Equinox,1.5,"109,277 mi",2018,Petrol,Suv,White,Orfordville,127 kW (173 HP),Automatic,2GNAXSEV5J6207094,https://www.cars.com/vehicledetail/2297d4c8-44f4-4f62-abfa-8124d996ca6e//
"20,798 EUR (22,490 USD)",Jeep,Compass,2.4,"37,548 mi",2020,Petrol,Crossover,Black,Belmont,134 kW (182 HP),Automatic,3C4NJDCB5LT258111,https://www.cars.com/vehicledetail/670c159a-134e-4cb0-94da-98f42b0a3efa//
"6,472 EUR (6,999 USD)",Pontiac,G6,3.5 gt,"161,739 mi",2008,Petrol,Convertible,Black,,163 kW (222 HP),Automatic,1G2ZH17N884105966,https://www.cars.com/vehicledetail/cb125985-89d7-4b98-9ebf-390b2c853e96//
"14,787 EUR (15,991 USD)",Cadillac,Xts,3.6,"85,677 mi",2015,Petrol,Sedan,Red,Ann Arbor,226 kW (307 HP),Automatic,2G61R5S31F9123337,https://www.cars.com/vehicledetail/492540a0-6c2d-4f56-94a4-a5ef71948023//
"14,795 EUR (15,999 USD)",Gmc,Acadia,3.6,"142,066 mi",2017,Petrol,Suv,Silver,,210 kW (286 HP),Automatic,1GKKVSKD4HJ166019,https://www.cars.com/vehicledetail/ff374f6f-755a-42fc-b31b-768d9a55c9b5//
"11,087 EUR (11,990 USD)",Nissan,Titan,5.6 PRO-4X,"148,074 mi",2011,Petrol,Pickup,Black,Allentown,236 kW (321 HP),,1N6AA0EC5BN312855,https://www.cars.com/vehicledetail/76a67ffc-1102-4eb6-92cb-392439a90d5a//
"12,844 EUR (13,889 USD)",Chevrolet,Bolt Ev,lt,"31,455 mi",2017,Electric,Mini,Gray,,149 kW (203 HP),Automatic,1G1FW6S08H4181113,https://www.cars.com/vehicledetail/b2bc33ec-03d2-4ae4-9731-fee457602e89//
"5,539 EUR (5,990 USD)",Ford,Explorer,4.6 Limited,"186,979 mi",2008,Petrol,Pickup,White,,217 kW (295 HP),Automatic,1FMEU538X8UA48663,https://www.cars.com/vehicledetail/1f5f011e-3f29-42dd-9e4c-c7b8c44ae656//
"21,266 EUR (22,997 USD)",Bmw,4 Series,435 Gran Coupe,"78,033 mi",2015,Petrol,Coupe,White,West Ridge,223 kW (303 HP),Automatic,WBA4B3C5XFGV48234,https://www.cars.com/vehicledetail/9d5d67b7-ee52-4376-8d01-1d1084fc961d//
"16,795 EUR (18,162 USD)",Subaru,Legacy,2.5 Base,"63,904 mi",2020,Petrol,Wagon,Black,,193 kW (262 HP),,4S3BWAB6XL3007264,https://www.cars.com/vehicledetail/474ad782-1106-40f6-8016-8ec7fc03614d//
"21,255 EUR (22,985 USD)",Gmc,Terrain,3.6 Denali,"50,391 mi",2018,,Suv,Gray,Norman,188 kW (256 HP),Automatic,3GKALSEX6JL320798,https://www.cars.com/vehicledetail/a587c201-c676-4105-9853-cc191878f8d8//
"11,097 EUR (12,000 USD)",Toyota,Prius,1.8 Two,"186,521 mi",2014,Hybrid,Hatchback,Silver,,99 kW (135 HP),,JTDZN3EU8E3304348,https://www.cars.com/vehicledetail/4fb9e9e6-e804-4340-89f8-c228266bcf7b//
"9,987 EUR (10,800 USD)",Nissan,Leaf,,"41,447 mi",2015,Electric,Hatchback,White,Old Bridge,80 kW (109 HP),Automatic,1N4AZ0CP2FC321313,https://www.cars.com/vehicledetail/1e2c37a5-b27e-4281-8fe0-978a2cd8797f//
"7,858 EUR (8,498 USD)",Gmc,Terrain,2.4,"168,230 mi",2013,Petrol,Suv,White,Freehold,135 kW (184 HP),Automatic,2GKALYEK4D6413223,https://www.cars.com/vehicledetail/3d541aaf-d71f-45a9-bacc-0d76dca6a779//
"15,987 EUR (17,288 USD)",Chevrolet,Bolt Ev,premier,"49,685 mi",2020,Electric,Mini,Gray,Crestview,149 kW (203 HP),Automatic,1G1FZ6S07L4138060,https://www.cars.com/vehicledetail/5085fd42-6271-4a6d-a102-c8c3952db053//
"19,235 EUR (20,800 USD)",Chevrolet,Colorado,2.5 WT,"115,678 mi",2017,Petrol,Pickup,White,Indianapolis,149 kW (203 HP),Automatic,1GCHTBEA8H1281901,https://www.cars.com/vehicledetail/812f1b1a-a733-423c-bde3-1756e071c2ae//
