Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"14,787 EUR (15,991 USD)",Porsche,Boxster,2.7,"64,162 mi",2006,Petrol,Convertible,Black,Edmonds,469 kW (638 HP),Automatic,WP0CA29836U712602,https://www.cars.com/vehicledetail/fbf806b7-62e5-4c1a-b888-c09976403f4e//
"13,860 EUR (14,988 USD)",Gmc,Acadia,3.6 SLE,"75,841 mi",2015,Petrol,Suv,Red,Montrose,210 kW (286 HP),Automatic,1GKKRPKD9FJ287580,https://www.cars.com/vehicledetail/9c65322e-5d7a-4f55-96a9-17c4d51f1cac//
"19,421 EUR (21,001 USD)",Chevrolet,Equinox,1.5,"67,290 mi",2021,Petrol,Suv,Black,Sheridan,126 kW (171 HP),Automatic,3GNAXUEV3ML313121,https://www.cars.com/vehicledetail/7fe0545b-43a7-4660-9f92-e79ed0c73560//
"13,593 EUR (14,699 USD)",Honda,Hr-V,1.8,"95,469 mi",2018,Petrol,Crossover,White,Miami,105 kW (143 HP),Automatic,3CZRU5H70JM524681,https://www.cars.com/vehicledetail/ca97ec37-3e3c-4e0b-9835-47951b23c330//
"9,246 EUR (9,999 USD)",Subaru,Outback,2.5,"99,214 mi",2009,Petrol,Crossover,Blue,Boulevard,126 kW (171 HP),Automatic,4S4BP61C697338650,https://www.cars.com/vehicledetail/2d3a45c3-87f0-4baa-82b0-cd78d355e4ec//
"17,566 EUR (18,995 USD)",Jeep,Grand Cherokee,3.6 Limited,"77,888 mi",2017,Petrol,Suv,Brown,Richmond,218 kW (296 HP),Automatic,1C4RJFBG8HC808382,https://www.cars.com/vehicledetail/01ede43c-0bd4-4b4e-b8dd-582156f3f3c0//
"22,191 EUR (23,997 USD)",Chevrolet,Equinox,1.5,"37,369 mi",2022,Petrol,Suv,Silver,,127 kW (173 HP),Automatic,3GNAXUEV6NL207358,https://www.cars.com/vehicledetail/1b76b0de-3903-497b-974a-0f166688450a//
"8,137 EUR (8,800 USD)",Chrysler,Sebring,3.5 V6,"72,943 mi",2008,Petrol,Convertible,White,Street,175 kW (238 HP),Automatic,1C3LC65M58N243597,https://www.cars.com/vehicledetail/2f18169b-317b-4387-89f1-b610f00673b9//
"8,318 EUR (8,995 USD)",Subaru,Outback,2.5,"100,993 mi",2006,Petrol,Crossover,Silver,,125 kW (170 HP),Automatic,4S4BP61C967353588,https://www.cars.com/vehicledetail/2d21f2b4-5836-42c9-b5e5-7ff1cf33d7c9//
"7,393 EUR (7,995 USD)",Buick,Lacrosse,3.8 cxl,"82,979 mi",2007,Petrol,Sedan,White,Milford,149 kW (203 HP),,2G4WD582471123456,https://www.cars.com/vehicledetail/7946e84a-b34e-46f5-b313-13660eb69f12//
"19,327 EUR (20,900 USD)",Ford,Mustang,2.3 EcoBoost,"67,814 mi",2020,Petrol,Convertible,White,Mobile,357 kW (486 HP),Manual,1FATP8UH6L5131731,https://www.cars.com/vehicledetail/c79ead29-1133-47d3-9a17-2a3e6cd6e6c5//
"18,032 EUR (19,499 USD)",Honda,Hr-V,1.8,"34,903 mi",2020,Petrol,Crossover,Black,West Bridgewater,105 kW (143 HP),Automatic,3CZRU6H31LG700827,https://www.cars.com/vehicledetail/2b2d4dba-7dcf-48da-acee-d8e2589a1b34//
"9,598 EUR (10,379 USD)",Jeep,Grand Cherokee,3.6 Limited,"142,503 mi",2011,,Suv,Silver,South Wayne,216 kW (294 HP),Automatic,1J4RR5GG8BC567002,https://www.cars.com/vehicledetail/abb9d2c3-bb5a-4165-bf7d-f7407c352b1a//
"5,081 EUR (5,495 USD)",Mercury,Grand Marquis,4.6,"133,964 mi",2002,Petrol,Sedan,Silver,Chardon,164 kW (223 HP),Automatic,2MEFM75W42X628232,https://www.cars.com/vehicledetail/7d66fe8a-2be5-4c12-8365-c39d10ec320e//
"17,567 EUR (18,997 USD)",Jeep,Compass,2.4 Limited,"66,914 mi",2021,Petrol,Crossover,Blue,Street,134 kW (182 HP),Automatic,3C4NJCCB7MT597514,https://www.cars.com/vehicledetail/858d18d3-a74f-448a-b0a5-c53ef0b45f91//
