Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"12,499 EUR",Opel,Mokka,1.7,"77,000 km",2015,Diesel,5,Crossover,White,Braunau Am Inn,97 kW (132 HP),Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1167057
"29,900 EUR",Mercedes Benz,C-Class,180,"76,910 km",2021,Diesel,2,Wagon,Red,Eisenstadt,90 kW (122 HP),Automatic,https://www.dasweltauto.at/vehicle/20311602
"27,590 EUR",Land Rover,Evoque,2.0,"102,900 km",2017,Diesel,6,Suv,Gray,Graz,134 kW (182 HP),Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-grau-steiermark/details-1245432
"24,987 EUR",Ford,S-Max,2.0 EcoBlue,"108,200 km",2020,Diesel,,Mpv,White,Telfs,111 kW (151 HP),Manual,https://www.zweispurig.at/ford-s-max-gebrauchtwagen-diesel-weiss-tirol/details-1189651
"8,900 EUR",Audi,A6,2.7,"250,000 km",2009,Diesel,5,Sedan,Silver,Salzburg,141 kW (192 HP),Manual,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-silber-salzburg/details-1197597
"83,900 EUR",Volkswagen,Transporter,2.0,"56,067 km",2023,Diesel,6,Van,Black,Graz,152 kW (207 HP),Automatic,https://www.dasweltauto.at/vehicle/40417542
"65,990 EUR",Bmw,X5,xDrive30d,"99,800 km",2022,Diesel,,Suv,Black,Leoben,213 kW (290 HP),Automatic,https://www.zweispurig.at/bmw-x5-gebrauchtwagen-diesel-schwarz-steiermark/details-1238156
"24,490 EUR",Volkswagen,Touran,1.5 tsi,"88,713 km",2018,Petrol,6,Mpv,Gray,Steyr,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/31306893
"16,990 EUR",Ford,Ecosport,1.0,"29,975 km",2020,Petrol,6,Suv,White,Hollabrunn,93 kW (126 HP),Manual,https://www.zweispurig.at/ford-ecosport-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1220094
"25,999 EUR",Porsche,Cayenne,3.0 diesel,"256,000 km",2011,Diesel,5,Suv,Black,Braunau Am Inn,182 kW (248 HP),Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217220
"29,490 EUR",Citroen,C4,,"7,800 km",2022,Electric,,Sedan,Gray,Wels,101 kW (137 HP),Automatic,https://www.zweispurig.at/citroen-c4-gebrauchtwagen-elektro-grau-oberoesterreich/details-1222336
"39,890 EUR",Audi,A6,3.0 TDI Quattro TipTronic,"86,200 km",2019,Diesel,6,Sedan,Gray,Leoben,213 kW (290 HP),Automatic,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-grau-steiermark/details-1252668
"18,790 EUR",Volkswagen,Passat,2.0 TDI SCR,"94,187 km",2019,Diesel,6,Wagon,Silver,Wolfsberg,111 kW (151 HP),Manual,https://www.dasweltauto.at/vehicle/62100583
"18,990 EUR",Volkswagen,Passat,2.0 TDI SCR,"77,167 km",2019,Diesel,6,Wagon,Black,Wels,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/4633600081
"7,990 EUR",Alfa Romeo,Giulietta,1.4,"166,300 km",2012,Petrol,5,Sedan,Red,Linz,126 kW (171 HP),Automatic,https://www.zweispurig.at/alfa-romeo-giulietta-gebrauchtwagen-benzin-rot-oberoesterreich/details-1205801
"9,900 EUR",Bmw,X3,D,"179,000 km",2005,Diesel,4,Suv,Silver,Linz,162 kW (220 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-silber-oberoesterreich/details-1220739
"32,999 EUR",Audi,A5,2.0 35 TDI S tronic,"120,000 km",2020,Diesel,6,Sedan,Black,Steyr,121 kW (165 HP),Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1195112
"44,890 EUR",Audi,Tt,2.0 45 TFSI quattro,"15,142 km",2019,Petrol,6,Convertible,Black,Salzburg,182 kW (248 HP),Automatic,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1211798
"17,850 EUR",Ford,Mondeo,2.0 TDCi,"107,000 km",2018,Diesel,,Wagon,Gray,Steyr,111 kW (151 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510258-ford-mondeo-business-plus-tdci-aut-led-navi.html
"17,850 EUR",Ford,Mondeo,2.0 TDCi,"105,000 km",2018,Diesel,,Wagon,White,Steyr,111 kW (151 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510214-ford-mondeo-traveller-tdci-aut-led-navi-pdc.html
