Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"31,464 EUR (12,490,000 HUF)",Volkswagen,Taigo,1.5 tsi,0 km,2024,Petrol,,Crossover,Beige,Kisvárda,110 kW (150 HP),,https://www.szalonauto.hu/szemelyauto/volkswagen/taigo/volkswagen_taigo_1.5_tsi_act_r-line_dsg_150_le_panorama_napfenyteto_digital_cockpit_pro_keszletrol-20220777
"47,839 EUR (18,990,000 HUF)",Volkswagen,Tiguan,1.4 TSI,50 km,2023,Hybrid,,Crossover,White,Kisvárda,180 kW (245 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/tiguan/volkswagen_tiguan_1.4_tsi_plug-in-hybrid_elegance_dsg_245_le_egyedi_gazdag_extrafelszereltseg-19343597
"26,476 EUR (10,510,000 HUF)",Citroen,Jumper,2.2 HDi,1 km,2023,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-club-keszletrol-azonnal-5-os-kavosz-22ev-200000km-garancia/20249471
"35,243 EUR (13,990,000 HUF)",Citroen,C5 Aircross,1.2,5 km,2024,Hybrid,,Suv,White,Budaörs,100 kW (136 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c5-aircross/c5-aircross-12-mhev-e-series-dct-napfenytetovel-gyongyhazfeher-fekete-tetovel/kh93b9a/
"31,968 EUR (12,690,000 HUF)",Volkswagen,Taigo,1.5 tsi,0 km,2024,Petrol,,Crossover,,Kisvárda,110 kW (150 HP),,https://www.szalonauto.hu/szemelyauto/volkswagen/taigo/volkswagen_taigo_1.5_tsi_act_r-line_dsg_150_le_panorama_napfenyteto_digital_cockpit_pro_keszletrol-20220737
"32,724 EUR (12,990,000 HUF)",Volkswagen,T-Roc,1.5 tsi,0 km,2024,Petrol,,Crossover,White,Kisvárda,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/t-roc/volkswagen_t-roc_1.5_tsi_act_r-line_dsg_150_le_hofeher_fekete_teto_egyedi_extrafelszereltseggel-20236891
"21,178 EUR (8,407,000 HUF)",Ssangyong,Korando,1.5,1 km,2024,Petrol,,Suv,Green,,120 kW (163 HP),Manual,https://auto.jofogas.hu/tolna/Ssangyong_Korando_1_5_Turbo_GDI_Club_Plus__Mark____145034673.htm
"43,844 EUR (17,404,290 HUF)",Citroen,C5 X,1.6 PureTech Hybrid,40 km,2024,Hybrid,,,Green,Szeged,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c5_x/citroen_c5_x_1.6_puretech_hybrid_shine_eat8_zold_rendszam-20236230
"50,358 EUR (19,990,000 HUF)",Mercedes Benz,E-Class,300,"102,000 km",2022,,,Sedan,,Budaörs,143 kW (194 HP),Automatic,https://hovany.hu/autok/mercedes-benz/e-300-de-4matic-9g-tronic-plug-in-hybrid-amg-line-afa-s-mo-i-garancialis-panorama-burmester-360fok-ambient/20401323
"28,456 EUR (11,296,000 HUF)",Ssangyong,Korando,1.5,1 km,2024,Petrol,,Suv,Black,,120 kW (163 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ssangyong/korando/ssangyong_korando_1.5_turbo_gdi_premium_automata_plus_markakereskedesbol-20346694
"22,539 EUR (8,947,000 HUF)",Ssangyong,Korando,1.5,1 km,2024,Petrol,,Suv,Green,,120 kW (163 HP),Manual,https://www.szalonauto.hu/szemelyauto/ssangyong/korando/ssangyong_korando_1.5_turbo_gdi_smart_markakereskedes_smart_plus_csomag-20284716
"47,335 EUR (18,790,000 HUF)",Volkswagen,Tiguan,2.0 TDI 4Motion,0 km,2024,Diesel,,Crossover,Black,,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/volkswagen/tiguan/volkswagen_tiguan_2.0_tdi_scr_elegance_4motion_dsg_elegance_led_matrix_navi_head_up_elektromos_memorias_bor_terlatas-20485068
"23,907 EUR (9,490,000 HUF)",Citroen,C3 Aircross,1.2,1 km,2024,Petrol,,Crossover,Gray,Budaörs,96 kW (131 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c3-aircross/c3-aircross-12-puretech-max-eat6-ss-legmagasabb-felszereltseg-automata-keszletrol/kkcan4w/
"43,844 EUR (17,404,290 HUF)",Citroen,C5,1.6,40 km,2024,,,Wagon,Green,Szeged,110 kW (150 HP),Automatic,https://hovany.hu/autok/citroen/c5-x-16-puretech-hybrid-shine-eat8-zold-rendszam/20236230
"43,844 EUR (17,404,290 HUF)",Citroen,C5 X,1.6 PureTech Hybrid,70 km,2024,Hybrid,,,,Szeged,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c5_x/citroen_c5_x_1.6_puretech_hybrid_shine_eat8_tisztan_elektromosan_hatotav_60-70km_szalonauto-20243386
"18,868 EUR (7,490,000 HUF)",Nissan,Leaf,,"29,058 km",2019,Electric,,Hatchback,Black,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/nissan-leaf/1533668-hu-nissan-leaf.html
"43,844 EUR (17,404,290 HUF)",Citroen,C5,1.6,70 km,2024,,,Wagon,,Szeged,110 kW (150 HP),Automatic,https://hovany.hu/autok/citroen/c5-x-16-puretech-hybrid-shine-eat8-tisztan-elektromosan-hatotav-60-70km-szalonauto/20243331
"25,945 EUR (10,299,000 HUF)",Citroen,Jumper,2.2 HDi,5 km,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-2-szemelyes/20260149
"37,091 EUR (14,723,720 HUF)",Citroen,C4,,"6,000 km",2024,Electric,,Hatchback,,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/c4-e-c4-50kwh-shine-teljesen-elektromos-demo-auto-nagy-kedvezmennyel-elado/20256377
"103,441 EUR (41,061,183 HUF)",Mercedes Benz,300,3.0 D,10 km,2023,Diesel,,,,Budaörs,176 kW (239 HP),Automatic,https://hovany.hu/autok/mercedes-benz/v-osztaly-v-300-bluetec-d-l-automata-4x4-7-szemelyes/20291388
