Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"48,163 EUR (549,900 SEK)",Toyota,Rav4,2.5,10 km,2023,Hybrid,Suv,White,Eskilstuna,136 kW (185 HP),Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-rav4-plug-in-hybrid-style-jbl-1075-17501052
"62,973 EUR (719,000 SEK)",Audi,Q8,3.0 50 TDI,"104,950 km",2020,Diesel,Suv,Black,Stockholm,210 kW (286 HP),Automatic,https://www.blocket.se/annons/1000731695
"81,445 EUR (929,900 SEK)",Audi,Rsq3,2.5 TFSI,"2,300 km",2023,Petrol,Crossover,Black,Stockholm,294 kW (400 HP),Automatic,https://www.blocket.se/annons/1000864200
"32,319 EUR (369,000 SEK)",Mercedes Benz,Glc-Class,,"136,410 km",2018,Diesel,Suv,Black,Kungsbacka,125 kW (170 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-glc-220-d-coupe-4m-170hk-amg-varmare-burmester-8210-17327681
"6,122 EUR (69,900 SEK)",Nissan,Murano,3.5 V6,"112,610 km",2005,Petrol,Suv,Silver,Kristianstad,172 kW (234 HP),Automatic,https://www.blocket.se/annons/1000206858
"49,459 EUR (564,700 SEK)",Ford,Explorer,3.0,"78,010 km",2020,Hybrid,Suv,Black,Stockholm,270 kW (367 HP),Automatic,https://www.blocket.se/annons/1000848559
"35,025 EUR (399,900 SEK)",Audi,A8,4.1 TDI,"93,000 km",2016,Diesel,Sedan,Black,Kungsbacka,283 kW (385 HP),Automatic,https://www.blocket.se/annons/1000382890
"61,222 EUR (699,000 SEK)",Audi,Q8,3.0 50 TDI,"97,000 km",2019,Diesel,Suv,Black,Stockholm,210 kW (286 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-q8-50-tdi-286hk-q-moms-pano-head-bo-soft-360-black-8553-17275955
"61,222 EUR (699,000 SEK)",Audi,Q8,3.0 50 TDI,"72,980 km",2019,Diesel,Suv,Black,Stockholm,210 kW (286 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-q8-50tdi-q-moms-rs-diamond-pano-matrix-s-line-286hk-8553-17181724
"71,723 EUR (818,900 SEK)",Lexus,Rx,450h,"6,100 km",2023,Hybrid,Suv,Black,Uppsala,137 kW (186 HP),Automatic,https://bilweb.se/uppsala-lan/lexus-rx-450h-executive-teknikpaket-drag-plug-in-2023-suv-10780964
"49,039 EUR (559,900 SEK)",Lexus,Rx,450h,"23,500 km",2022,Petrol,Suv,Silver,Uppsala,195 kW (265 HP),Automatic,https://bilweb.se/uppsala-lan/lexus-rx-450h-awd-sport-edition-2022-suv-10780960
"31,495 EUR (359,600 SEK)",Volkswagen,Transporter,1.9,"159,140 km",2016,Diesel,Van,White,Stockholm,152 kW (207 HP),Automatic,https://bilweb.se/stockholms-lan/volkswagen-multivan-highline-4m-dsg-varmare-el-dorr-b-kamera-2016-minibuss-10731212
"34,140 EUR (389,800 SEK)",Volkswagen,Transporter,1.9,"138,670 km",2016,Diesel,Van,White,Stockholm,152 kW (207 HP),Automatic,https://bilweb.se/stockholms-lan/volkswagen-multivan-highline-4m-dsg-varmare-drag-el-dorrar-2016-minibuss-10748167
"31,504 EUR (359,700 SEK)",Volvo,Xc60,2.0 t5,"57,900 km",2019,Petrol,Crossover,Black,Sollentuna,186 kW (253 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc60-t5-inscription-varmare-carplay-s-plus-v-hjul-3427-17610220
"46,332 EUR (529,000 SEK)",Audi,A7,3.0 45 TDI quattro,"82,000 km",2019,Diesel,Sedan,Black,Kristianstad,172 kW (234 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-a7-sportback-45-tdi-quattro-s-line-1-ars-garanti-6069-17492308
"3,056 EUR (34,900 SEK)",Volkswagen,T-Cross,1.4 TSI,"280,160 km",2007,Petrol,Crossover,Black,Kristianstad,103 kW (140 HP),Manual,https://www.bytbil.com/skane-lan/personbil-t-cross-crosstouran-1-4-tsi-140hk-drag-100124-17600611
"379,900 EUR",Mercedes Benz,E-Class,,"116,800 km",2024,Diesel,Sedan,Black,Tumba,180 kW (245 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-e-300-d-e63s-amg-brabus-navi-kamera-se-spec-11536-17369456
"6,998 EUR (79,900 SEK)",Volkswagen,Touran,1.6 TDI,"224,680 km",2024,Diesel,Mpv,Silver,Trelleborg,77 kW (105 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-touran-1-6-tdi-navi-7-sits-drag-100014-17448634
"38,966 EUR (444,900 SEK)",Land Rover,Range Rover Sport,3.0 SDV6,"84,000 km",2024,Diesel,Suv,Blue,Knivsta,225 kW (306 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-range-rover-sport-3-0-sdv6-4wd-superdeal-6-95-se-utr-6759-17609162
"51,473 EUR (587,700 SEK)",Porsche,Macan,3.0 s,"74,010 km",2019,Petrol,Suv,Silver,Sollentuna,260 kW (354 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-macan-s-pdk-354hk-pano-varmare-drag-s-plus-vhjul-3427-17492596
"45,535 EUR (519,900 SEK)",Audi,Rs7,4.0 TFSI V8,"108,460 km",2023,Petrol,Sedan,Black,Eskilstuna,412 kW (560 HP),Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-rs7-4-0tfsi-v8-q-keramiska-bo-taklucka-hud-560hk-11277-17406319
"539,900 EUR",Mercedes Benz,C-Class,,"17,990 km",2016,Diesel,Convertible,Black,Kungsbacka,270 kW (367 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-amg-c-43-cabriolet-4matic-1-agare-svensksald-11230-17608345
"75,314 EUR (859,900 SEK)",Bmw,X7,30d xDrive,"42,350 km",2024,Diesel,Suv,Black,Knivsta,195 kW (265 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-x7-xdrive-30d-m-sport-7-sits-pano-luftfjadring-se-spec-9181-17564886
