Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Volvo,Xc60,2.0 D4 AWD,2019,Diesel,Crossover,Gray,Madrid,Automatic,https://coches.km77.com/volvo/xc60/en-madrid/2371910/se-vende-volvo-xc60-20-d4-awd-momentum-auto-2019-22999-eur,6,22999,199000,190.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,Red,Tomares,Manual,https://coches.km77.com/peugeot/2008/en-sevilla/2401949/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-17500-eur,6,17500,56519,130.0,Spain
Peugeot,2008,1.2 puretech,2020,Petrol,Crossover,Gray,Madrid,Manual,https://coches.km77.com/peugeot/2008/en-madrid/2362050/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-19495-eur,6,19495,29049,130.0,Spain
Jaguar,Xj,3.0,2011,Diesel,Sedan,Black,Madrid,Automatic,https://coches.km77.com/jaguar/xj/en-madrid/2321650/se-vende-jaguar-xj-30-v6-portfolio-275cv-auto-4p-navy-cuero-techo-electrico-panoramico-bixenon-2011-,5,18750,168200,275.0,Spain
Ford,Puma,1.0 EcoBoost,2020,Hybrid,Crossover,Blue,Madrid,Manual,https://coches.km77.com/ford/puma/en-madrid/2322950/se-vende-ford-puma-10-ecoboost-mhev-titanium-125-cv-2020-16000-eur,6,16000,160303,126.0,Spain
Ford,Ecosport,1.0 EcoBoost,2022,Petrol,Suv,Red,Pol,Manual,https://coches.km77.com/ford/ecosport/en-ciudad-real/2324537/se-vende-ford-ecosport-10-ecoboost-125cv-st-line-2022-17990-eur,6,17990,54738,125.0,Spain
Peugeot,2008,1.2 puretech,2021,Petrol,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2371980/se-vende-peugeot-2008-active-pack-puretech-100-ss-bvm6-2021-15495-eur,6,15495,103215,100.0,Spain
Bmw,8 Series,M850i xDrive,2019,Petrol,Coupe,Black,Madrid,Automatic,https://coches.km77.com/bmw/serie-8/en-madrid/2360879/se-vende-bmw-serie-8-m850-xdrive-coupe-530cv-2019-68950-eur,6,68950,99999,530.0,Spain
Dacia,Sandero,0.9 tce,2019,Petrol,Hatchback,White,Girona,Manual,https://coches.km77.com/dacia/sandero/en-barcelona/2324630/se-vende-dacia-sandero-sl-xplore-2019-12990-eur,6,12990,70760,90.0,Spain
Opel,Crossland X,1.2,2019,Petrol,Suv,Blue,Lugo,Manual,https://coches.km77.com/opel/crossland-x/en-coruna/2391394/se-vende-opel-crossland-x-12-81kw-110cv-design-line-s-s-2019-17600-eur,6,17600,101729,82.0,Spain
