Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"36,576 EUR (35,500 CHF)",Volkswagen,Arteon,"19,100 km",2023,Petrol,Wagon,,,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,141 kW (192 HP),
"35,855 EUR (34,800 CHF)",Volkswagen,Golf,12 km,2024,Diesel,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1202/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,111 kW (151 HP),6
"25,552 EUR (24,800 CHF)",Citroen,C4 Spacetourer,"40,900 km",2021,Diesel,Mpv,,,Automatic,https://www.azw.ch/de/angebot/1189/citroen-grand-c4-spacetourer-2-0-bluehdi-shine-eat-automat-7-plaetzer?&page_number=3,2.0 bluehdi,121 kW (165 HP),
"38,946 EUR (37,800 CHF)",Subaru,Solterra,4 km,2024,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/717/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"35,855 EUR (34,800 CHF)",Volkswagen,Golf,9 km,2024,Diesel,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,111 kW (151 HP),
"24,521 EUR (23,800 CHF)",Volkswagen,Taigo,79 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,521 EUR (23,800 CHF)",Volkswagen,Taigo,17 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1177/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,521 EUR (23,800 CHF)",Volkswagen,Taigo,14 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1174/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,521 EUR (23,800 CHF)",Volkswagen,Taigo,12 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1179/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,521 EUR (23,800 CHF)",Volkswagen,Taigo,11 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1175/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"22,461 EUR (21,800 CHF)",Volkswagen,Passat,"49,800 km",2021,Petrol,Wagon,,,Automatic,https://www.azw.ch/de/angebot/993/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,3.6,111 kW (151 HP),6
"29,673 EUR (28,800 CHF)",Seat,Ateca,"14,500 km",2023,Petrol,Suv,,,Automatic,https://www.azw.ch/de/angebot/980/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,111 kW (151 HP),6
"29,673 EUR (28,800 CHF)",Seat,Ateca,"13,100 km",2023,Petrol,Suv,,,Automatic,https://www.azw.ch/de/angebot/981/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,111 kW (151 HP),6
"28,643 EUR (27,800 CHF)",Volkswagen,Taigo,7 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1028/vw-taigo-1-5-tsi-r-line-dsg-automat-40?&page_number=9,1.5 tsi,111 kW (151 HP),6
"32,764 EUR (31,800 CHF)",Škoda,Octavia,"8,400 km",2023,Diesel,Wagon,,,Automatic,https://www.azw.ch/de/angebot/1075/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,111 kW (151 HP),6
"32,764 EUR (31,800 CHF)",Škoda,Octavia,"7,200 km",2023,Diesel,Wagon,,,Automatic,https://www.azw.ch/de/angebot/1214/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,111 kW (151 HP),6
"26,582 EUR (25,800 CHF)",Audi,Q2,"41,900 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1087/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,111 kW (151 HP),
"26,582 EUR (25,800 CHF)",Audi,Q2,"41,500 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1107/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,111 kW (151 HP),
"20,091 EUR (19,500 CHF)",Volkswagen,T-Cross,"23,900 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1060/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,82 kW (112 HP),6
