Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Mazda,3,2.0,2019,91636,90.0,Petrol,Hatchback,Gray,Automatic,6,Czech Republic,Dyje,17393.0
Ford,Mustang,2.3 ecoboost,2016,86200,233.0,Petrol,Coupe,Red,Automatic,6,Czech Republic,Třebíč,20912.0
Toyota,Land Cruiser,3.0 d-4d,2005,226243,122.0,Diesel,Suv,Gold,Automatic,4,Czech Republic,Olbramovice,11859.0
Land Rover,Range Rover Velar,3.0 d300,2019,121200,221.0,Diesel,Suv,Gray,Automatic,6,Czech Republic,Praha,43480.0
Bmw,5 Series,525d,2007,217945,145.0,Diesel,Sedan,Silver,Automatic,4,Czech Republic,Rudná,6914.0
Mitsubishi,Outlander,2.3 did,2014,246111,110.0,Diesel,Suv,Silver,Manual,6,Czech Republic,Chomutov,9882.0
Porsche,Panamera,4.8 gts,2013,169947,316.0,Petrol,Sedan,Black,Automatic,5,Czech Republic,Znojmo,28779.0
Škoda,Octavia,1.6 tdi,2014,189621,77.0,Diesel,Sedan,Blue,Manual,6,Czech Republic,Olbramovice,7115.0
Mercedes Benz,Eqs,580,2022,36891,385.0,Electric,Sedan,Gray,Automatic,6,Czech Republic,Znojmo,76612.0
Mercedes Benz,Eqs,580,2022,34398,385.0,Electric,Sedan,Black,Automatic,6,Czech Republic,Znojmo,89262.0
Fiat,Scudo,2.0,2013,190308,94.0,Diesel,Van,Gray,Manual,5,Czech Republic,Olbramovice,11464.0
Mercedes Benz,Cl-Class,63 amg,2009,96577,386.0,Petrol,Coupe,White,Automatic,5,Czech Republic,Praha,39492.0
Bmw,3 Series,330i xdrive,2015,117485,185.0,Petrol,Sedan,Black,Automatic,6,Czech Republic,Olbramovice,23719.0
Seat,Alhambra,1.9 tdi,2008,261000,85.0,Diesel,Mpv,Silver,Manual,4,Czech Republic,Zlín,3360.0
Škoda,Yeti,2.0 tdi,2010,189000,103.0,Diesel,Crossover,Silver,Manual,5,Czech Republic,Zlín,7866.0
Škoda,Yeti,2.0 tdi,2012,206000,81.0,Diesel,Crossover,Beige,Manual,5,Czech Republic,Slaný,7467.0
Volkswagen,Caddy,1.6 tdi,2011,229135,75.0,Diesel,Pickup,Red,Manual,5,Czech Republic,Olbramovice,5929.0
Ford,Ranger,3.2,2019,305906,147.0,Diesel,Pickup,Orange,Automatic,6,Czech Republic,Olbramovice,18579.0
Kia,Rio,1.4,2019,18881,73.0,Petrol,Hatchback,Blue,Manual,6,Czech Republic,Kroměříž,11424.0
Seat,Leon,1.5 tsi,2018,70300,96.0,Petrol,Hatchback,Gray,Manual,6,Czech Republic,Praha,14425.0
Nissan,Pathfinder,2.5 dci,2005,291486,128.0,Diesel,Suv,Gray,Automatic,4,Czech Republic,Mladá Boleslav,7352.0
Mercedes Benz,Cls-Class,63 amg,2013,194962,386.0,Petrol,Sedan,White,Automatic,5,Czech Republic,Olbramovice,29648.0
Peugeot,Expert,2.0 hdi,2013,172197,120.0,Diesel,Van,Brown,Manual,5,Czech Republic,Olomouc,15377.0
Bmw,5 Series,520d,2014,183742,140.0,Diesel,Sedan,Silver,Automatic,6,Czech Republic,Praha,13836.0
Renault,Espace,1.6 dci,2016,173481,118.0,Diesel,Mpv,Gray,Automatic,6,Czech Republic,Vysokov,14191.0
Seat,Altea,1.4 tsi,2012,66039,63.0,Petrol,Mpv,White,Automatic,5,Czech Republic,Brno,7510.0
Volkswagen,Touareg,3.0 tdi,2011,259354,180.0,Diesel,Suv,Black,Automatic,5,Czech Republic,Sulice,13638.0
Mazda,Cx-5,2.0,2012,137959,118.0,Petrol,Crossover,Blue,Automatic,5,Czech Republic,Olomouc,13796.0
Dacia,Duster,1.5 dci,2018,215263,80.0,Diesel,Suv,White,Manual,6,Czech Republic,Brno,11029.0
Ford,Tourneo Custom,2.0 tdci,2014,198300,115.0,Diesel,Van,Blue,Manual,6,Czech Republic,Uherské Hradiště,17785.0
Škoda,Kodiaq,2.0 2.0 4x4 tdi,2021,162879,147.0,Diesel,Suv,Black,Automatic,6,Czech Republic,Znojmo,27593.0
Bmw,5 Series,520d xdrive,2016,89000,140.0,Diesel,Sedan,Gray,Automatic,6,Czech Republic,Zlín,19765.0
Bmw,Z4,i,2005,267439,170.0,Petrol,Convertible,Black,Manual,4,Czech Republic,Pardubice,11424.0
Volkswagen,Touareg,4.2 tdi,2015,242000,250.0,Diesel,Suv,Gray,Automatic,6,Czech Republic,Sulice,23323.0
Škoda,Kodiaq,2.0 4x4 dsg tdi,2018,178236,140.0,Diesel,Suv,Gray,Automatic,6,Czech Republic,Tábor,21268.0
Ford,Galaxy,2.0 tdci,2013,217087,103.0,Diesel,Mpv,Silver,Manual,5,Czech Republic,Chomutov,10278.0
Hyundai,I30,1.6,2012,220885,99.0,Petrol,Hatchback,Blue,Manual,5,Czech Republic,Olbramovice,5139.0
Volkswagen,Touran,2.0 tdi,2015,189000,110.0,Diesel,Mpv,Blue,Manual,6,Czech Republic,Otrokovice,14982.0
Bmw,3 Series,320i,2007,187000,125.0,Petrol,Coupe,Silver,Manual,4,Czech Republic,Praha,6716.0
Mercedes Benz,Ml-Class,320 cdi,2007,229790,165.0,Diesel,Suv,Gray,Automatic,4,Czech Republic,Praha,9843.0
Kia,Sportage,1.7 crdi,2011,135860,85.0,Diesel,Crossover,Gray,Manual,5,Czech Republic,Podlesí,9878.0
Volkswagen,Touran,2.0 tdi,2020,157235,110.0,Diesel,Mpv,Red,Manual,6,Czech Republic,Tábor,17710.0
Škoda,Superb,2.5 tdi,2006,235734,120.0,Diesel,Sedan,Gray,Automatic,4,Czech Republic,Praha,3755.0
Volvo,Xc90,2.0 d5 awd,2017,125483,173.0,Diesel,Suv,Gray,Automatic,6,Czech Republic,Brno,37515.0
Bmw,4 Series,420d xdrive,2017,125249,140.0,Diesel,Coupe,White,Automatic,6,Czech Republic,Praha,20912.0
Mercedes Benz,E-Class,320,1996,209240,162.0,Petrol,Convertible,Red,Automatic,2,Czech Republic,Prostějov,23323.0
Dacia,Duster,1.5 dci,2011,209460,81.0,Diesel,Suv,Blue,Manual,5,Czech Republic,Sviadnov,6878.0
Kia,Stonic,1.4,2019,44526,73.0,Petrol,Crossover,Gray,Automatic,6,Czech Republic,Praha,16603.0
Ford,Kuga,2.0 tdci,2015,132400,110.0,Diesel,Suv,Black,Manual,6,Czech Republic,Otrokovice,14622.0
Volkswagen,Tiguan,2.0 tdi 4motion,2015,140777,103.0,Diesel,Crossover,White,Manual,6,Czech Republic,Olbramovice,15417.0
Ford,Kuga,2.0 tdci,2015,125000,132.0,Diesel,Suv,Black,Automatic,6,Czech Republic,Rajhrad,14231.0
Škoda,Superb,2.0 tdi,2017,216835,140.0,Diesel,Sedan,Green,Manual,6,Czech Republic,Praha,14033.0
Volkswagen,Sharan,2.0 tdi,2019,155862,110.0,Diesel,Van,Black,Manual,6,Czech Republic,Tábor,23244.0
Audi,A5,3.0 tdi,2009,262814,176.0,Diesel,Convertible,Gray,Automatic,5,Czech Republic,Písková Lhota,9483.0
Volvo,V60,2.0,2012,116472,120.0,Diesel,Wagon,Silver,Automatic,5,Czech Republic,Brno,8696.0
Land Rover,Range Rover,4.4 sdv8,2016,78374,250.0,Diesel,Suv,Gold,Automatic,6,Czech Republic,Brno,47398.0
Kia,Sportage,2.0 crdi,2013,192786,100.0,Diesel,Crossover,Black,Manual,5,Czech Republic,Praha,9685.0
Honda,Accord,2.4,2003,200794,140.0,Petrol,Sedan,Gray,Manual,3,Czech Republic,Plzeň,6716.0
Hyundai,Tucson,1.6 gdi,2019,46677,130.0,Petrol,Suv,Gray,Automatic,6,Czech Republic,Praha,24901.0
Mercedes Benz,E-Class,220d,2019,110125,143.0,Diesel,Sedan,White,Automatic,6,Czech Republic,Praha,31585.0
Subaru,Outback,2.0 d,2016,106764,110.0,Diesel,Crossover,Black,Automatic,6,Czech Republic,Opava,16603.0
Ford,Galaxy,2.0 tdci,2009,286761,103.0,Diesel,Mpv,Silver,Manual,5,Czech Republic,Olbramovice,3953.0
Ford,Galaxy,2.0 tdci,2009,286747,103.0,Diesel,Mpv,Silver,Manual,5,Czech Republic,Olbramovice,3953.0
Mercedes Benz,E-Class,270 cdi,2002,263547,130.0,Diesel,Sedan,Black,Automatic,3,Czech Republic,Karlovy Vary,3834.0
Škoda,Karoq,2.0 4x4 tdi,2019,101023,110.0,Diesel,Suv,Black,Manual,6,Czech Republic,Chomutov,22928.0
Alfa Romeo,Giulietta,1.4,2013,220456,88.0,LPG,Hatchback,Black,Manual,5,Czech Republic,Brno,5415.0
Volvo,V60,2.0 d4,2020,95926,140.0,Diesel,Wagon,Gray,Automatic,6,Czech Republic,Brno,26446.0
Volvo,V60,2.0 d4,2020,83998,140.0,Diesel,Wagon,Gray,Automatic,6,Czech Republic,Brno,27632.0
Bmw,5 Series,530xi,2008,259900,200.0,Petrol,Sedan,Blue,Automatic,4,Czech Republic,Hradec Králové,6285.0
Opel,Zafira,1.7,2010,202875,92.0,Diesel,Mpv,Gray,Manual,5,Czech Republic,Praha,4937.0
Volkswagen,Tiguan,2.0 tdi,2017,165909,140.0,Diesel,Crossover,Black,Automatic,6,Czech Republic,Olbramovice,23679.0
Bmw,3 Series,320d xdrive,2019,59250,140.0,Diesel,Sedan,Gray,Automatic,6,Czech Republic,Praha,27668.0
Peugeot,508,2.0 hdi,2017,64000,110.0,Diesel,Sedan,Black,Manual,6,Czech Republic,Říčany,14982.0
Mazda,Cx-5,2.5,2018,64006,143.0,Petrol,Crossover,Red,Automatic,6,Czech Republic,Zlín,25691.0
Audi,Q5,2.0 tdi quattro,2011,188610,125.0,Diesel,Suv,Red,Automatic,5,Czech Republic,Praha,11859.0
Seat,Leon,2.0 tdi,2020,31803,110.0,Diesel,Hatchback,Red,Automatic,6,Czech Republic,Tábor,22058.0
Hyundai,I30,1.4,2014,123800,73.0,Petrol,Hatchback,Silver,Manual,6,Czech Republic,Klatovy,7827.0
Volkswagen,Touareg,2.5 tdi,2003,246500,128.0,Diesel,Suv,Gray,Manual,3,Czech Republic,Třebíč,4348.0
Toyota,Verso,2.2,2012,142768,110.0,Diesel,Mpv,Blue,Automatic,5,Czech Republic,Olbramovice,6325.0
Nissan,Qashqai,2.0 dci,2007,153942,110.0,Diesel,Crossover,Gray,Automatic,4,Czech Republic,Úlice,6285.0
Bmw,X1,20d,2011,160894,130.0,Diesel,Suv,Black,Automatic,5,Czech Republic,Slaný,9479.0
Peugeot,5008,1.6,2010,161000,115.0,Petrol,Mpv,Black,Manual,5,Czech Republic,Rajhrad,5534.0
Škoda,Superb,2.0 tdi,2019,136132,140.0,Diesel,Sedan,Black,Automatic,6,Czech Republic,Znojmo,18896.0
Audi,A6 Allroad,3.0,2013,237523,180.0,Diesel,Crossover,Gray,Automatic,5,Czech Republic,Brno,13361.0
Ford,Focus,2.3 rs,2018,43998,257.0,Petrol,Hatchback,Blue,Manual,6,Czech Republic,Kroměříž,35183.0
Kia,Carens,1.7,2018,108503,85.0,Diesel,Mpv,Gray,Manual,6,Czech Republic,Praha,15808.0
Volkswagen,Touran,2.0 tdi,2019,98486,110.0,Diesel,Mpv,Gray,Automatic,6,Czech Republic,Praha,23679.0
Hyundai,Kona,1.0 t-gdi,2019,93504,88.0,Petrol,Crossover,Black,Manual,6,Czech Republic,Praha,14231.0
Opel,Zafira,1.8,2014,208950,85.0,Petrol,Mpv,White,Manual,6,Czech Republic,Praha,7704.0
Audi,Q7,3.0 tdi,2009,231600,176.0,Diesel,Suv,Gray,Automatic,5,Czech Republic,Praha,11855.0
Volkswagen,Cc,2.0 tdi,2009,342985,125.0,Diesel,Sedan,Silver,Automatic,5,Czech Republic,Praha,6285.0
Hyundai,I40,1.7 crdi,2014,232821,100.0,Diesel,Wagon,Gray,Manual,6,Czech Republic,Praha,9088.0
Citroen,C4 Picasso,1.8,2007,210728,92.0,Petrol,Mpv,Gray,Manual,4,Czech Republic,Olbramovice,3557.0
Jeep,Grand Cherokee,3.0 crd,2011,105823,177.0,Diesel,Suv,Black,Automatic,5,Czech Republic,Praha,16998.0
Mercedes Benz,Gle-Class,350 4matic,2021,96400,200.0,Diesel,Coupe,Black,Automatic,6,Czech Republic,Ostrava,69971.0
Škoda,Octavia,1.5 tsi,2019,148300,110.0,Petrol,Sedan,Gray,Manual,6,Czech Republic,Praha,14429.0
Mercedes Benz,Gle-Class,450 amg 4matic,2020,120667,270.0,Petrol,Suv,Black,Automatic,6,Czech Republic,Praha,57317.0
Volkswagen,Touareg,3.0 tdi,2005,196357,165.0,Diesel,Suv,Gray,Automatic,4,Czech Republic,České Budějovice,7507.0
Bmw,X5,d,2008,388498,173.0,Diesel,Suv,Brown,Automatic,4,Czech Republic,Písková Lhota,7076.0
Volkswagen,Sharan,2.0 tdi,2012,177714,110.0,Diesel,Van,Gray,Manual,5,Czech Republic,Tábor,13361.0
Renault,Megane,1.6,2012,159000,74.0,Petrol,Hatchback,Brown,Manual,5,Czech Republic,Třebíč,5138.0
Audi,A6,3.0 tdi,2012,261803,180.0,Diesel,Sedan,Black,Automatic,5,Czech Republic,Olomouc,13401.0
Mercedes Benz,B-Class,180,2019,153527,100.0,Petrol,Hatchback,Gray,Automatic,6,Czech Republic,Praha,19331.0
Ford,Ranger,3.2,2018,161320,147.0,Diesel,Pickup,Black,Manual,6,Czech Republic,Ostrava,21343.0
Hyundai,Tucson,2.0,2017,174766,100.0,Diesel,Suv,Brown,Manual,6,Czech Republic,Praha,15018.0
Kia,Sorento,2.2 crdi,2018,75082,147.0,Diesel,Suv,Red,Automatic,6,Czech Republic,Zlín,27668.0
Volkswagen,Passat,2.0 tdi,2008,216782,103.0,Diesel,Sedan,Gray,Manual,4,Czech Republic,Praha,4277.0
Mercedes Benz,S-Class,500 4matic,2016,152900,335.0,Petrol,Sedan,Black,Automatic,6,Czech Republic,Ostrava,39492.0
Jeep,Grand Cherokee,3.0 crd,2013,166852,184.0,Diesel,Suv,Black,Automatic,5,Czech Republic,Olbramovice,19370.0
Škoda,Kodiaq,2.0 4x4 dsg tdi,2020,156666,140.0,Diesel,Suv,Black,Automatic,6,Czech Republic,Tábor,25616.0
Škoda,Kodiaq,2.0 4x4 dsg tdi,2020,141838,147.0,Diesel,Suv,Black,Automatic,6,Czech Republic,Tábor,28383.0
Nissan,Qashqai,1.5 dci,2016,117223,81.0,Diesel,Crossover,Gray,Manual,6,Czech Republic,Vysokov,11819.0
Citroen,C3,1.6 vti,2018,134000,74.0,Diesel,Hatchback,White,Manual,6,Denmark,Hadsund,10695.0
Citroen,C3,1.6,2019,154000,74.0,Diesel,Hatchback,White,Manual,6,Denmark,Hadsund,10695.0
Fiat,500c,1.2,2013,133000,63.0,Petrol,Convertible,Gray,Manual,5,Denmark,Frederiksberg,9851.0
Audi,A6,2.0 tdi,2012,225000,177.0,Diesel,Sedan,Gray,Automatic,5,Denmark,Bramming,17397.0
Kia,Picanto,1.0,2012,125000,69.0,Petrol,Mini,Black,Manual,5,Denmark,Bagsværd,7236.0
Toyota,Auris,1.8 hybrid,2016,74000,86.0,Petrol,Hatchback,White,Automatic,6,Denmark,Hadsund,17397.0
Toyota,Aygo,1.0,2020,20000,53.0,Petrol,Mini,White,Manual,6,Denmark,Køge,14059.0
Citroen,C4 Picasso,2.0 bluehdi,2014,174000,111.0,Diesel,Mpv,Gray,Automatic,6,Denmark,Roskilde,15400.0
Volvo,V40,1.6,2013,214000,85.0,Diesel,Wagon,Red,Manual,5,Denmark,Silkeborg,11111.0
Volkswagen,Touran,1.6 tdi,2019,196500,85.0,Diesel,Mpv,Blue,Automatic,6,Denmark,Roskilde,24112.0
Mazda,2,1.5,2017,103000,67.0,Petrol,Mini,Brown,Automatic,6,Denmark,Køge,15668.0
Hyundai,I10,1.0,2024,3000,49.0,Petrol,Mini,White,Manual,6,Denmark,Søborg,21297.0
Hyundai,I10,1.0,2024,3000,49.0,Petrol,Mini,Green,Manual,6,Denmark,Søborg,21163.0
Ford,Kuga,1.5,2015,141000,111.0,Petrol,Suv,Black,Manual,6,Denmark,Vejle,19689.0
Bmw,2 Series,218d,2014,198000,111.0,Diesel,Hatchback,Black,Automatic,6,Denmark,Bredebro,21377.0
Toyota,Aygo,1.0,2017,72169,51.0,Petrol,Mini,White,Manual,6,Denmark,Køge,10709.0
Volkswagen,Polo,1.0 tsi dsg,2016,76000,70.0,Petrol,Hatchback,Black,Automatic,6,Denmark,Gadstrup,20104.0
Toyota,Verso,1.8 vvt-i,2014,150000,109.0,Petrol,Mpv,Red,Automatic,6,Denmark,Bramming,18067.0
Citroen,C4 Cactus,1.2,2015,71000,82.0,Petrol,Hatchback,Black,Manual,6,Denmark,Bredebro,14676.0
Citroen,C4 Cactus,1.6,2018,50000,74.0,Diesel,Hatchback,Red,Manual,6,Denmark,Gadstrup,20104.0
Opel,Grandland X,1.6,2018,154000,89.0,Diesel,Suv,Black,Automatic,6,Denmark,Stenløse,20493.0
Mazda,3,2.0 skyactiv,2015,126000,89.0,Petrol,Hatchback,White,Manual,6,Denmark,Bredebro,16016.0
Volkswagen,Polo,1.0 tsi dsg,2019,105000,85.0,Petrol,Hatchback,White,Automatic,6,Denmark,Aalborg,23442.0
Volvo,Xc90,2.0 t6 awd,2017,211000,175.0,Diesel,Suv,White,Automatic,6,Denmark,Vodskov,60300.0
Volkswagen,Polo,1.0 tsi,2017,174000,70.0,Petrol,Hatchback,White,Manual,6,Denmark,Bagsværd,12597.0
Volkswagen,Polo,1.0 tsi,2018,58000,85.0,Petrol,Hatchback,White,Manual,6,Denmark,Skanderborg,23428.0
Peugeot,3008,1.2,2017,112000,96.0,Petrol,Crossover,Black,Manual,6,Denmark,Stenløse,22088.0
Volvo,V40,1.6,2013,154000,85.0,Diesel,Wagon,Gray,Manual,5,Denmark,Brædstrup,13135.0
Renault,Grand Scenic,1.5 dci,2019,87000,89.0,Diesel,Mpv,Black,Manual,6,Denmark,Ribe,24768.0
Toyota,Verso,1.6,2014,190500,82.0,Petrol,Mpv,Brown,Manual,6,Denmark,Vinderup,12880.0
Toyota,Aygo,1.0,2015,68000,51.0,Petrol,Mini,Red,Manual,6,Denmark,Aalborg,11647.0
Volkswagen,Up!,1.0,2017,139000,44.0,Petrol,Mini,White,Automatic,6,Denmark,Odense,16070.0
Peugeot,3008,1.2 puretech,2020,89990,96.0,Petrol,Crossover,Black,Manual,6,Denmark,Holbæk,24112.0
Bmw,X1,sdrive18d,2013,189000,106.0,Diesel,Suv,Brown,Automatic,5,Denmark,Bramming,18067.0
Volkswagen,Beetle,1.2 tsi,2016,129000,78.0,Petrol,Convertible,White,Manual,6,Denmark,Silkeborg,24125.0
Citroen,C3 Aircross,1.2,2021,9500,96.0,Petrol,Suv,Black,Automatic,6,Denmark,Brovst,32154.0
Nissan,Leaf,visia,2012,43000,81.0,Electric,Hatchback,White,Automatic,5,Denmark,Odense,9248.0
Dacia,Lodgy Stepway,1.5 dci,2018,45000,67.0,Diesel,Mpv,White,Manual,6,Denmark,Brøndby,18080.0
Peugeot,2008,1.2 vti,2015,146000,61.0,Petrol,Crossover,Black,Automatic,6,Denmark,Bagsværd,12061.0
Dacia,Lodgy,1.5 dci,2018,138000,67.0,Diesel,Mpv,White,Manual,6,Denmark,Bramming,16056.0
Jeep,Renegade,1.6 limited,2020,120000,89.0,Diesel,Crossover,White,Automatic,6,Denmark,Hillerød,24098.0
Peugeot,2008,1.6 bluehdi,2017,174000,74.0,Diesel,Crossover,Black,Manual,6,Denmark,Holsted,12451.0
Hyundai,Ioniq,1.6,2021,22000,101.0,Hybrid,Sedan,White,Automatic,6,Denmark,Viby,21418.0
Volkswagen,Tiguan,2.0 tdi 4motion,2016,124000,141.0,Diesel,Crossover,White,Automatic,6,Denmark,Aarup,29473.0
Fiat,500c,1.0,2017,65000,59.0,Petrol,Convertible,White,Manual,6,Denmark,Kolding,14287.0
Nissan,Qashqai,1.2,2018,105000,85.0,Petrol,Crossover,,Manual,6,Denmark,Hadsund,22758.0
Mini,Cooper,1.6 s,2017,48000,143.0,Petrol,Convertible,Black,Automatic,6,Denmark,Varde,44887.0
Toyota,Auris,1.6 vvt-i,2013,91000,98.0,Petrol,Hatchback,Gray,Manual,5,Denmark,Aarup,16070.0
Opel,Crossland X,1.2 turbo,2017,51000,82.0,Petrol,Suv,Silver,Manual,6,Denmark,Aarup,18080.0
Toyota,Verso,2.0,2016,211000,83.0,Diesel,Mpv,Gray,Manual,6,Denmark,Vodskov,12987.0
Peugeot,2008,1.2 vti,2021,117300,96.0,Petrol,Crossover,White,Manual,6,Denmark,Vodskov,18750.0
Ford,S-Max,2.0 tdci,2014,173000,121.0,Diesel,Mpv,White,Automatic,6,Denmark,Ringkøbing,16713.0
Citroen,C4 Cactus,1.6,2018,110000,74.0,Diesel,Hatchback,White,Manual,6,Denmark,Vodskov,14730.0
Seat,Leon,1.5 tsi,2019,103000,111.0,Petrol,Hatchback,White,Automatic,6,Denmark,Varde,26122.0
Fiat,500c,1.2,2013,117000,51.0,Petrol,Convertible,Black,Manual,5,Denmark,Bredebro,9315.0
Mitsubishi,Asx,1.6,2015,189000,87.0,Petrol,Crossover,Red,Manual,6,Denmark,Holsted,12719.0
Volkswagen,Up!,1.0,2017,41000,44.0,Petrol,Mini,White,Manual,6,Denmark,Brøndby,13389.0
Nissan,Qashqai,1.6,2014,199000,96.0,Diesel,Crossover,White,Automatic,6,Denmark,Ringkøbing,15373.0
Ford,C-Max,1.0,2019,95000,93.0,Petrol,Mpv,White,Manual,6,Denmark,Albertslund,16070.0
Renault,Captur,0.9 tce,2017,116000,67.0,Petrol,Suv,White,Manual,6,Denmark,Aarup,15400.0
Peugeot,205,1.4,1989,240000,55.0,Petrol,Hatchback,Red,Manual,1,Denmark,Vejen,3149.0
Bmw,4 Series,420d,2017,171000,141.0,Diesel,Coupe,Gray,Automatic,6,Denmark,Aarup,29473.0
Hyundai,I20,1.1,2015,305000,55.0,Diesel,Hatchback,White,Manual,6,Denmark,Hemmet,4020.0
Volkswagen,Polo,1.6 tdi,2018,98000,70.0,Diesel,Hatchback,Gray,Manual,6,Denmark,Brøndby,18750.0
Opel,Mokka,1.4,2018,80000,104.0,Petrol,Crossover,White,Manual,6,Denmark,Hadsund,18563.0
Volkswagen,Up!,1.0,2013,133000,44.0,Petrol,Mini,White,Manual,5,Denmark,Hemmet,7760.0
Renault,Kadjar,1.5 dci,2016,137000,82.0,Diesel,Suv,Gray,Automatic,6,Denmark,Hedehusene,19622.0
Volkswagen,Up!,1.0,2014,184000,44.0,Petrol,Mini,White,Manual,6,Denmark,Hemmet,7894.0
Hyundai,Ioniq,1.6,2019,42000,105.0,Hybrid,Sedan,Black,Automatic,6,Denmark,Vejle,20761.0
Kia,Picanto,1.0,2013,164000,51.0,Petrol,Mini,White,Manual,5,Denmark,Hemmet,4945.0
Nissan,Qashqai,1.6,2012,193000,87.0,Petrol,Crossover,Black,Manual,5,Denmark,Lystrup,10521.0
Kia,Picanto,1.0 mpi,2019,76000,49.0,Petrol,Mini,Beige,Manual,6,Denmark,Køge,13912.0
Audi,Q2,1.6 tdi,2017,45000,86.0,Diesel,Crossover,Black,Manual,6,Denmark,Ballerup,30813.0
Peugeot,2008,1.2 puretech,2022,500,96.0,Petrol,Crossover,Black,Manual,6,Denmark,Brovst,36175.0
Suzuki,Jimny,1.5 ddis,2020,49000,76.0,Diesel,Crossover,Gray,Manual,6,Denmark,Sorø,36831.0
Citroen,C3,1.2 puretech,2017,86000,61.0,Petrol,Hatchback,Gray,Manual,6,Denmark,Lynge,10709.0
Audi,A1,1.4 tfsi,2011,77000,90.0,Petrol,Mini,Black,Automatic,5,Denmark,Gadstrup,18094.0
Seat,Leon,2.0 tsi,2020,117000,111.0,Diesel,Hatchback,Black,Automatic,6,Denmark,Randers,23415.0
Nissan,Qashqai,1.5 dci,2019,127000,85.0,Diesel,Crossover,White,Automatic,6,Denmark,Ry,26739.0
Mazda,3,2.0 skyactiv,2015,115000,89.0,Petrol,Hatchback,White,Manual,6,Denmark,Odense,16351.0
Audi,A1,1.2 tfsi,2014,132000,64.0,Petrol,Mini,Black,Manual,6,Denmark,Tørring,17410.0
Peugeot,2008,1.5 bluehdi,2019,41000,89.0,Diesel,Crossover,Black,Automatic,6,Denmark,København,21431.0
Bmw,X3,xdrive30d,2016,179000,192.0,Diesel,Suv,Black,Automatic,6,Denmark,Vallensbæk,20091.0
Renault,Twingo,1.0,2015,123000,52.0,Petrol,Mini,White,Manual,6,Denmark,Køge,6634.0
Dacia,Sandero Stepway,1.0 tce,2022,4000,67.0,Petrol,Crossover,White,Manual,6,Denmark,Birkerød,23442.0
Volkswagen,Up!,1.0,2020,74000,44.0,Petrol,Mini,Blue,Manual,6,Denmark,Odense,14730.0
Porsche,911 Turbo,3.6,2015,82000,298.0,Petrol,Coupe,Black,Automatic,6,Denmark,Hadsund,113792.0
Toyota,Aygo,1.0,2016,133000,51.0,Petrol,Mini,White,Manual,6,Denmark,Tørring,10709.0
Volkswagen,Polo,1.2 tsi,2015,141000,82.0,Petrol,Hatchback,Brown,Manual,6,Denmark,Esbjerg,14475.0
Citroen,C1,1.0,2017,75000,50.0,Petrol,Mini,Red,Manual,6,Denmark,Søborg,9368.0
Citroen,C3,1.2 puretech,2023,11824,61.0,Petrol,Hatchback,White,Manual,6,Denmark,Roskilde,18750.0
Opel,Karl,1.0,2016,148000,55.0,Petrol,Hatchback,Black,Manual,6,Denmark,Lystrup,7840.0
Hyundai,I10,1.0,2015,155000,49.0,Petrol,Mini,White,Manual,6,Denmark,Hemmet,6688.0
Volkswagen,Polo,1.0 tsi,2017,125000,70.0,Petrol,Hatchback,Gray,Manual,6,Denmark,Hedehusene,14528.0
Audi,A3,1.6 tdi,2017,142500,86.0,Diesel,Sedan,Black,Manual,6,Denmark,Hjørring,19434.0
Ford,C-Max,1.0,2016,198000,74.0,Petrol,Mpv,Black,Manual,6,Denmark,Hemmet,11379.0
Peugeot,Expert,2.0,2019,58000,131.0,Diesel,Van,Gray,Automatic,6,Denmark,Aalborg,31483.0
Kia,Picanto,1.2 mpi,2016,99000,64.0,Petrol,Mini,Black,Manual,6,Denmark,Hemmet,8698.0
Mercedes Benz,R-Class,320 cdi,2006,363000,224.0,Diesel,Mpv,,Automatic,4,Denmark,Stenløse,16056.0
Peugeot,3008,1.5 bluehdi,2017,125000,89.0,Diesel,Crossover,White,Automatic,6,Denmark,Give,25331.0
Volvo,Xc40,1.5 t5 recharge,2021,65000,195.0,Hybrid,Crossover,Gray,Automatic,6,Denmark,Tørring,47567.0
Toyota,Auris,1.8 hybrid,2015,137000,86.0,Petrol,Hatchback,Brown,Manual,6,Denmark,Vodskov,13389.0
Škoda,Citigo,electro,2020,36000,61.0,Electric,Mini,White,Automatic,6,Denmark,Fredericia,16753.0
Citroen,C3,1.2 puretech,2017,117194,82.0,Petrol,Hatchback,Gray,Manual,6,Denmark,Broby,11379.0
Citroen,C3,1.6 vti,2018,131000,55.0,Diesel,Hatchback,White,Manual,6,Denmark,Hadsund,10695.0
Ford,Kuga,2.0 tdci,2015,221000,111.0,Diesel,Suv,White,Manual,6,Denmark,Vodskov,15400.0
Nissan,Qashqai,1.3 dig-t,2019,80000,119.0,Petrol,Crossover,Gray,Automatic,6,Denmark,Varde,36175.0
Citroen,C4 Cactus,1.2,2018,103000,82.0,Petrol,Hatchback,White,Manual,6,Denmark,Brovst,17410.0
Suzuki,S-Cross,1.6,2018,143000,83.0,Petrol,Crossover,Silver,Manual,6,Denmark,Vodskov,16740.0
Peugeot,5008,2.0 hdi,2012,229000,111.0,Diesel,Mpv,Beige,Manual,5,Denmark,Bogense,7894.0
