Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Kia,Sportage,1.7 CRDi,2017,Diesel,Crossover,White,Coimbra,Automatic,https://carmine.pt/carros-usados/kia-sportage-17-crdi-isg-gt-line-7dct-141-coimbra/63de132a-c99f-48ac-bad4-de8a1fd4da7e,6,23850,149985,105.0,Portugal
Kia,Sportage,1.7 CRDi,2017,Diesel,Crossover,Black,Setúbal,Manual,https://carmine.pt/carros-usados/kia-sportage-17-crdi-isg-tx-115-setubal/14113bf9-9ba2-4f64-8c69-36a6129ada56,6,20990,110503,85.0,Portugal
Audi,A7,3.0 50 TDI quattro,2018,Diesel,Sedan,Gray,Porto,Automatic,https://auto.sapo.pt/carro-usado/6528244b8908934eb656befe/audi-a7,6,43500,143000,213.0,Portugal
Citroen,C3,1.2 puretech,2017,Petrol,Hatchback,Red,Lisboa,Manual,https://carmine.pt/carros-usados/citroen-c3-12-puretech-feel-68-lisboa/99dee5b3-b429-4bd6-96b1-10f3e030a99b,6,11500,112778,50.0,Portugal
Audi,A6,2.0 TDI,2017,Diesel,Sedan,Gray,Porto,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-sport-s-tronic-150-porto/28da4f55-0113-4b4b-919f-9c7c6a02ab72,6,26990,92605,111.0,Portugal
Audi,A6 Allroad,3.0 BiTDI Quattro TipTronic,2013,Diesel,Crossover,Black,Lisboa,Automatic,https://auto.sapo.pt/carro-usado/65d8b72bba7ef092fe2b974b/audi-a6-allroad-30-bitdi-v6-quattro-tiptronic,5,25900,156000,233.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,White,Porto,Manual,https://auto.sapo.pt/carro-usado/65c3472c94098b2e884d6db9/volkswagen-polo,6,19490,60493,70.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Gray,Aveiro,Manual,https://auto.sapo.pt/carro-usado/65b8bb48c34f911a8bbc1d92/volkswagen-polo,6,17599,52024,70.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Blue,Aveiro,Manual,https://auto.sapo.pt/carro-usado/65bbb47e9d1cce2311bb6f52/volkswagen-polo,6,17599,48033,70.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Gray,Braga,Manual,https://carmine.pt/carros-usados/volkswagen-polo-10-tsi-life-95-braga/2374c48b-e69c-41de-92ed-dd6f3c6bd27c,6,18750,44000,70.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Gray,Porto,Manual,https://carmine.pt/carros-usados/volkswagen-polo-10-tsi-life-95-porto/3a30fb22-1611-49e5-9ebc-306ad24da850,6,18950,31000,70.0,Portugal
Volkswagen,Polo,1.0 tsi,2022,Petrol,Hatchback,Gray,Porto,Manual,https://carmine.pt/carros-usados/volkswagen-polo-10-tsi-life-95-porto/aa691c7a-bd07-48cd-803f-d3ff34d5d285,6,19950,15000,70.0,Portugal
Audi,A1,1.4 TDI,2018,Diesel,Mini,Red,Condeixa A Nova,Manual,https://carmine.pt/carros-usados/audi-a1-14-tdi-design-90-coimbra/0f5c899a-4271-4002-b8e5-ca181b84481b,6,15950,185000,67.0,Portugal
Audi,A6,2.7 TDI V6,2010,Diesel,Sedan,Gray,Setúbal,Manual,https://auto.sapo.pt/carro-usado/65286ffbab1f052ad9bc5aee/audi-a6,5,14990,260000,141.0,Portugal
Audi,A6,2.0 TDIe,2010,Diesel,Sedan,Blue,Santarém,Manual,https://auto.sapo.pt/carro-usado/65fb0c80dc5ad5f89634142e/audi-a6,5,14980,202228,101.0,Portugal
Audi,A6,2.0 TDI MultiTronic,2010,Diesel,Sedan,Silver,Rana,Automatic,https://auto.sapo.pt/carro-usado/65b0dfb8e56629a45b902055/audi-a6,5,15300,190000,101.0,Portugal
Kia,Picanto,1.0,2022,Petrol,Mini,Gray,Porto,Manual,https://carmine.pt/carros-usados/kia-picanto-10-cvvt-urban-67-porto/8d446070-a149-4de0-ab46-aed28a094bc4,6,14250,42750,49.0,Portugal
Audi,A6,3.0 TDI Quattro,2011,Diesel,Sedan,Black,Porto,Automatic,https://carmine.pt/carros-usados/audi-a6-30-tdi-v6-quattro-s-line-s-tronic-245-porto/bd442b8d-3102-4b23-9ffb-496e952bac89,5,33990,130000,182.0,Portugal
Kia,Venga,1.4 CRDi,2012,Diesel,Mini,White,Viana Do Castelo,Manual,https://carmine.pt/carros-usados/kia-venga-14-crdi-ex-isg-77-viana-do-castelo/fc0f18c0-2edc-46b6-871d-82d0e8ed5bc0,5,8900,247862,57.0,Portugal
Honda,Hr-V,1.6 i-dtec,2019,Diesel,Crossover,Gray,Lisboa,Manual,https://carmine.pt/carros-usados/honda-hr-v-16-i-dtec-elegance+connect-navi-120-lisboa/0632179f-ac44-497d-95dc-9878519beb88,6,24900,54000,89.0,Portugal
Bmw,X5,i,2007,Petrol,Suv,Gray,Lisboa,Automatic,https://carmine.pt/carros-usados/bmw-x5-48-i-355-lisboa/7411e1ec-6dfe-40a0-b26e-1687fd3b90af,4,26990,109313,264.0,Portugal
Kia,Stonic,1.0 T-GDi,2021,Petrol,Crossover,Silver,Leiria,Automatic,https://carmine.pt/carros-usados/kia-stonic-10-t-gdi-gt-line-7dct-120-leiria/154ac64c-4f11-4324-9a52-d2b365c44b02,6,23450,77950,89.0,Portugal
Audi,A6,2.0 TDI,2006,Diesel,Sedan,Gray,Setúbal,Manual,https://auto.sapo.pt/carro-usado/651468bd4b4611539791121d/audi-a6-20-tdi-exclusive-i,4,8800,207000,104.0,Portugal
Audi,A6,2.0 TDI MultiTronic,2013,Diesel,Sedan,Gray,Setúbal,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-exclusive-multitronic-177-setubal/3944303a-f39e-4fbd-9bd4-5df121babc52,5,17950,248000,131.0,Portugal
Audi,A6,2.0 TDI MultiTronic,2013,Diesel,Sedan,Gray,Lisboa,Automatic,https://auto.sapo.pt/carro-usado/65e203f37c1b958679a5c2eb/audi-a6,5,19990,207933,131.0,Portugal
Volkswagen,Polo,1.2,2011,Diesel,Hatchback,White,Lisboa,Manual,https://carmine.pt/carros-usados/volkswagen-polo-12-tdi-bluemotion-75-lisboa/9bc35ba2-fb9c-4597-bf3b-97516fdb11ad,5,8900,156599,55.0,Portugal
Audi,A6,2.0 TDI,2014,Diesel,Sedan,Gray,Aveiro,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-s-line-s-tronic-190-aveiro/50d50854-8ba7-45c6-98d5-d58cef68c7f1,6,19950,224818,141.0,Portugal
Porsche,911,3.8 S,2006,Petrol,Coupe,Gray,Vila Do Conde,Automatic,https://www.custojusto.pt//porto/veiculos/carros-usados/coupe-cabrio/porsche-997-carrera-s-tiptroni-37626151,4,66000,140000,264.0,Portugal
Seat,Leon,1.6 TDI,2019,Diesel,Hatchback,Black,Lisboa,Automatic,https://carmine.pt/carros-usados/seat-leon-st-16-tdi-style-dsg-ss-115-lisboa/6f38b35b-2283-457d-b8c9-1d63815c5fe0,6,17900,90000,85.0,Portugal
Seat,Leon,1.0,2019,Petrol,Hatchback,Black,Lisboa,Manual,https://carmine.pt/carros-usados/seat-leon-10-ecotsi-style-ss-115-lisboa/fb7876eb-024c-4758-a2d7-6a716f7c0db0,6,16750,45000,85.0,Portugal
Ford,Mondeo,1.8,1999,Diesel,Sedan,Blue,Setúbal,Manual,https://carmine.pt/carros-usados/ford-mondeo-18-td-ghia-90-setubal/e4ef4f55-0704-499f-bfe2-f358d41a31a7,2,3700,244589,67.0,Portugal
Bmw,X5,D,2009,Diesel,Suv,Black,Porto,Automatic,https://carmine.pt/carros-usados/bmw-x5-35-d-xdrive-285-porto/9148513b-98ce-40ae-ab0b-37de6023facf,5,18990,241200,212.0,Portugal
Nissan,Navara,2.3,2017,Diesel,Pickup,Black,Coimbra,Automatic,https://carmine.pt/carros-usados/nissan-navara-n23-dci-cd-4wd-n-conna+baat-190-coimbra/d7773b07-5888-4fc4-a638-aab74d0877bc,6,37450,147000,141.0,Portugal
Nissan,Qashqai,1.5 dCi,2019,Diesel,Crossover,Black,Porto,Manual,https://www.abmotor.pt/carros/Nissan/Qashqai/481269/,6,23600,67000,85.0,Portugal
Nissan,Qashqai,1.3 DIG-T,2019,Petrol,Crossover,White,Valongo,Manual,https://carmine.pt/carros-usados/nissan-qashqai-13-dig-t-n-connecta-j18-160-porto/2c519816-ef02-4121-a88d-bdf8d8777b52,6,22990,48764,119.0,Portugal
Suzuki,Ignis,1.2,2023,Petrol,Mpv,Gray,Braga,Manual,https://www.custojusto.pt//braga/veiculos/carros-usados/citadino/suzuki-ignis-1-2-glx-mild-hybr-42333544,6,16900,5600,61.0,Portugal
Audi,E-Tron,50 quattro,2021,Electric,Suv,Blue,Porto,Automatic,https://carmine.pt/carros-usados/audi-e-tron-sb-50-quattro-s-line-313-porto/0c33f1f6-27f2-49d1-a62c-f94509d2e35c,6,40999,29731,233.0,Portugal
Audi,E-Tron,50 quattro,2021,Electric,Suv,Black,Porto,Automatic,https://carmine.pt/carros-usados/audi-e-tron-sb-55-quattro-s-line-408-porto/7e733d63-6b49-43d4-8b7e-ccf0f71c2784,6,49499,19703,304.0,Portugal
Audi,A6,2.0 TDI,2015,Diesel,Sedan,Blue,Aveiro,Automatic,https://auto.sapo.pt/carro-usado/65faff52dc5ad5f89633fddb/audi-a6,6,25450,191830,111.0,Portugal
Audi,A6,2.0 TDI,2015,Diesel,Sedan,Gray,Aveiro,Automatic,https://auto.sapo.pt/carro-usado/65288582ab1f052ad9bc8cbb/audi-a6,6,21990,190000,141.0,Portugal
Audi,A6,2.0 TDI,2015,Diesel,Sedan,Gray,Aveiro,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-business-line-s-tronic-190-aveiro/c4b89ead-e644-43a0-b706-64a8dce12483,6,21480,161602,141.0,Portugal
Volkswagen,Golf,2.0 GTI,2018,Petrol,Hatchback,Blue,Aveiro,Manual,https://auto.sapo.pt/carro-usado/652885c2ab1f052ad9bc8d61/volkswagen-golf,6,32990,142913,182.0,Portugal
Audi,A3,2.0 TDI,2007,Diesel,Coupe,Gray,Pombal,Automatic,https://carmine.pt/carros-usados/audi-a3-20-tdi-s-line-s-tronic-170-leiria/29e8952a-ea69-4514-bba4-122e2b6386ad,4,10990,232812,126.0,Portugal
Audi,A6,2.0 TDI,2016,Diesel,Sedan,White,Aveiro,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-s-line-s-tronic-190-aveiro/95bf4a8c-a23d-4406-b536-db82448ffbf4,6,31996,165498,141.0,Portugal
Nissan,Qashqai,1.5 dCi,2021,Diesel,Crossover,White,Queluz,Automatic,https://auto.sapo.pt/carro-usado/657d6e88b640cc4077e11750/nissan-qashqai,6,24900,139109,85.0,Portugal
Nissan,Qashqai,1.5 dCi,2021,Diesel,Crossover,Gray,Queluz,Manual,https://auto.sapo.pt/carro-usado/6548bd808820876fba9af979/nissan-qashqai,6,27900,122840,85.0,Portugal
Bmw,3 Series,318Ci,2004,Petrol,Convertible,Blue,Braga,Manual,https://carmine.pt/carros-usados/bmw-serie-3-318-ci-cabrio-sport-143-braga/8a31ac7c-9a30-446d-aa20-a2f2257c015a,3,12500,170000,106.0,Portugal
Audi,A6,2.0 TDI,2017,Diesel,Sedan,Gray,Porto,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-s-line-s-tronic-190-porto/af3883fc-5190-493f-9e06-6814c1ff4d0c,6,38999,143000,141.0,Portugal
Audi,A6,2.0 TDI,2017,Diesel,Sedan,Gray,Setúbal,Manual,https://auto.sapo.pt/carro-usado/65ba6bb0455b66dd0fbcb47b/audi-a6,6,29900,137000,141.0,Portugal
Audi,A6,2.0 TDI,2017,Diesel,Sedan,Black,Lisboa,Automatic,https://carmine.pt/carros-usados/audi-a6-20-tdi-sport-s-tronic-150-lisboa/9c453611-311d-4a39-be44-ccf63e688e81,6,24900,121000,111.0,Portugal
Volkswagen,Sharan,2.0 TDI,2016,Diesel,Van,Blue,Vila Nova De Gaia,Automatic,https://www.custojusto.pt//porto/veiculos/carros-usados/monovolume/vw-sharan-2-0-tdi-highline-dsg-42375527,6,25950,170000,137.0,Portugal
Audi,A5,2.0,2017,Diesel,Coupe,Gray,Porto,Automatic,https://carmine.pt/carros-usados/audi-a5-20-tdi-s-tronic-190-porto/7baae60c-82a9-4f4e-8027-0177414e856c,6,26900,97000,141.0,Portugal
Volkswagen,Up!,1.0 Cross,2018,Petrol,Mini,White,Lisboa,Manual,https://carmine.pt/carros-usados/volkswagen-up-10-cross-!-75-lisboa/a19f4ab5-e244-4cfe-a6e5-e114590a9c85,6,13900,87000,55.0,Portugal
Porsche,Panamera,3.0,2011,Diesel,Sedan,Black,Feira,Automatic,https://carmine.pt/carros-usados/porsche-panamera-panamera-250-aveiro/7aaff200-4fb7-4801-a5bc-3bd57f617e8f,5,48199,128624,186.0,Portugal
Mini,Cooper,1.5,2017,Diesel,Convertible,White,Lisboa,Manual,https://auto.sapo.pt/carro-usado/65e1ac137c1b958679a5a369/mini-cabrio-cooper-d,6,20990,95000,111.0,Portugal
Audi,A6,2.0 40 TDI,2019,Diesel,Sedan,Gray,Porto,Automatic,https://auto.sapo.pt/carro-usado/65e43d14bc3ed9517c40ebce/audi-a6,6,32750,137000,152.0,Portugal
Audi,A6,2.0 40 TDI,2019,Diesel,Sedan,Gray,Porto,Automatic,https://www.custojusto.pt//porto/veiculos/carros-usados/carrinha/audi-a6-40-tdi-sport-s-tronic-40646143,6,51990,130000,152.0,Portugal
Mini,Countryman,1.6 One D,2019,Diesel,Crossover,Black,Porto,Manual,https://carmine.pt/carros-usados/mini-mini-countryman-mini-one-d-116-porto/3515cbc7-fa9f-4c69-aa36-3b5ea0b3e60a,6,23500,81000,86.0,Portugal
Nissan,Qashqai,1.5 dCi,2018,Diesel,Crossover,Black,Trofa,Manual,https://carmine.pt/carros-usados/nissan-qashqai-15-dci-n-connecta-j18-115-porto/ea41c28b-b743-4883-a430-cb35a3ee9099,6,20900,96000,85.0,Portugal
