Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39364,18200,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39364,17700,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,41447,13500,398.0,Switzerland
Tesla,Model Y,2023,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/879/tesla-model-y-long-range-awd-514ps?&page_number=7,0.0 long range,6,43530,26900,383.0,Switzerland
Tesla,Model Y,2023,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/896/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,45717,18900,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/841/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,45717,18600,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,46758,15900,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/777/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,47175,12500,398.0,Switzerland
Peugeot,2008,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/148/peugeot-2008-1-2-puretech-gt-eat-automat?&page_number=5,1.2 puretech,6,22702,30100,96.0,Switzerland
Volkswagen,Passat,2021,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/993/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,3.6,6,22702,49800,111.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/981/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,29992,13100,111.0,Switzerland
Seat,Tarraco,2021,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/825/seat-tarraco-2-0tsi-xcellence-4drive-dsg-aut?&page_number=6,2.0 TSi 4Drive,6,32803,34300,141.0,Switzerland
Audi,Q2,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1087/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,6,26867,41900,111.0,Switzerland
Hyundai,Kona,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/916/hyundai-kona-1-6-t-gdi-n-line-2wd-dct-automat?&page_number=3,1.6 T-GDi,6,31137,1900,147.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/925/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31033,9300,123.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/924/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31033,8800,123.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/899/tesla-model-3-long-range-dual-motor-awd-498ps-automat?&page_number=7,0.0 long range,6,38010,19800,371.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/938/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,26867,39400,96.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/936/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,27909,16100,96.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1088/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31033,9900,123.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1089/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,31033,8600,123.0,Switzerland
Volkswagen,Passat Alltrack,2021,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/253/vw-passat-alltrack-2-0-tdi-4motion-dsg-aut?&page_number=8,2.0 TDI,6,31033,36500,141.0,Switzerland
Mercedes Benz,A-Class,2023,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/972/mercedes-a-200-d-amg-line-dct-automat?&page_number=4,200,6,34886,9900,111.0,Switzerland
