Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"20,965 EUR (8,242,300 HUF)",Renault,Master,2.3,"184,882 km",2021,Diesel,,Van,,,100 kW (136 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17598168
"40,138 EUR (15,780,000 HUF)",Opel,Astra,1.6,"1,750 km",2023,Hybrid,,Hatchback,,Szeged,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/opel/astra_l/opel_astra_l_1.6_t_phev_elegance_automata-20184608
"37,206 EUR (14,627,300 HUF)",Citroen,C4,,,2024,Electric,,Hatchback,,Szeged,100 kW (136 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/citroen/c4/citroen_c4_e-c4_50kwh_shine_teljesen_elektromos_e-c4_nagy_kedvezmennyel_elado-20233884#sid=c218ac91-6899-4d22-ab7b-021955bf08a2
"19,077 EUR (7,500,000 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://joautok.hu/hasznaltauto/citroen/c4/c4-12-puretech-you-szemelyre-szabott-felszereltseggel-rendelheto/0ebg67z/
"44,441 EUR (17,472,000 HUF)",Ford,Transit,2.0,1 km,2024,Petrol,,Van,,Szeged,126 kW (171 HP),Automatic,https://joautok.hu/hasznaltauto/ford/transit/transit-tourneo-custom-20-tdci-320-l2h1-titanium-automata-keszletrol-fix-5-os-finanszirozas/ev2erj9/
"13,964 EUR (5,490,000 HUF)",Citroen,C3,1.2 puretech,,2024,Petrol,,Hatchback,,Szeged,61 kW (83 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c3/c3-12-puretech-c-series-ss-januari-akcio/kvakghe/
"38,165 EUR (15,004,600 HUF)",Citroen,Jumpy,e,,2024,Electric,,Van,Green,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/jumpy-e-jumpy-xl-50-kwh-automata/20273944
"18,288 EUR (7,190,000 HUF)",Toyota,Corolla,,"118,454 km",2020,,,Wagon,,,72 kW (98 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1591139-hu-toyota-corolla.html
"15,236 EUR (5,990,000 HUF)",Kia,Sportage,,"117,650 km",2016,,,Crossover,,,85 kW (116 HP),,https://usedcars.leaseplan.com/hu-hu/kia-sportage/1415557-hu-kia-sportage.html
"11,166 EUR (4,390,000 HUF)",Volkswagen,Polo,,"149,896 km",2019,,,Hatchback,,,59 kW (80 HP),,https://usedcars.leaseplan.com/hu-hu/volkswagen-polo/1542994-hu-volkswagen-polo.html
"13,201 EUR (5,190,000 HUF)",Volkswagen,Passat,,"232,614 km",2019,,,Wagon,,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat-variant/1520913-hu-volkswagen-passatvariant.html
"41,261 EUR (16,221,540 HUF)",Citroen,C5 Aircross,1.6 puretech,,2024,Hybrid,,Suv,,Szeged,110 kW (150 HP),Automatic,https://www.hasznaltauto.hu/szemelyauto/citroen/c5_aircross/citroen_c5_aircross_1.6_puretech_hybrid_plus_eat8_plug-inf_hibrid_keszletrol-20255704#sid=281fefa5-34ca-46a4-8311-5fa6934a8d65
"28,815 EUR (11,328,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231947
"28,805 EUR (11,324,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-tobb-darab-raktarkeszleten-kavosz-5/20232014
"28,728 EUR (11,294,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-6-szemelyes-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231899
