Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"116,990 EUR",Porsche,991,"50,203 km",2015,Petrol,Coupe,Black,Halen,320 kW (435 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-991-essence-0491441/,3.8,6
"84,950 EUR",Bmw,Ix,"48,589 km",2022,Electric,Suv,Black,Bastogne,390 kW (530 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix-electrique-0537605/,,6
"36,500 EUR",Audi,Q5,"51,343 km",2019,Diesel,Suv,White,Overpelt,141 kW (192 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0524003/,2.0,6
"119,900 EUR",Audi,Rs6,"58,000 km",2021,Petrol,Wagon,Gray,Maldegem,447 kW (608 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs6-essence-0444384/,4.0,6
"37,990 EUR",Audi,Q2,"15,990 km",2023,Petrol,Crossover,Gray,Herent,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0389354/,1.5,6
"61,815 EUR",Hyundai,Ioniq,4 km,2024,Electric,Sedan,Gray,Hamme,170 kW (231 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-ioniq-5-electrique-0538602/,,8
"61,950 EUR",Bmw,X5,"46,731 km",2020,Petrol,Suv,Blue,Bastogne,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-essence-0531529/,,6
"29,990 EUR",Audi,Q7,"207,020 km",2017,Diesel,Suv,Black,Sint Niklaas,162 kW (220 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q7-diesel-0547655/,3.0,6
"18,950 EUR",Volkswagen,Cc,"112,607 km",2017,Petrol,Sedan,Black,Zedelgem,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-cc-essence-0534104/,1.4,6
"40,700 EUR",Saic,Marvel R,50 km,2023,Electric,Crossover,Black,Tielt Winge,214 kW (291 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mg-marvel-r-electrique-0546326/,electro,
"30,900 EUR",Land Rover,Discovery,"80,738 km",2020,Diesel,Suv,White,Tielt Winge,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0400242/,2.0,6
"63,750 EUR",Land Rover,Discovery,"33,451 km",2020,Diesel,Suv,Black,Kalmthout,179 kW (243 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0201378/,2.0,6
"43,995 EUR",Land Rover,Discovery,"28,396 km",2020,Diesel,Suv,Black,Brugge,179 kW (243 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0554156/,2.0,9
"41,299 EUR",Mazda,Cx-5,1 km,2023,Petrol,Crossover,Black,Halen,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0527110/,2.0,6
"41,830 EUR",Mazda,Cx-5,4 km,1998,Petrol,Crossover,Black,Turnhout,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0550447/,2.0,9
"27,300 EUR",Land Rover,Evoque,"50,000 km",2018,Diesel,Suv,Black,Damme,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-evoque-diesel-0534757/,2.0,6
"58,990 EUR",Porsche,Macan,"58,237 km",2016,Petrol,Suv,Gray,Geel,268 kW (364 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0325253/,3.0,6
"49,000 EUR",Ford,Mustang Mach-E,"25,850 km",2021,Electric,Crossover,Red,Aalst,261 kW (355 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-mustang-mach-e-electrique-0118965/,,6
"44,999 EUR",Ford,Mustang Mach-E,"14,290 km",2021,Electric,Crossover,Gray,Boortmeerbeek,261 kW (355 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-mustang-mach-e-electrique-0557413/,,
"79,990 EUR",Audi,Q8,"33,996 km",2022,Diesel,Suv,White,Hasselt,344 kW (468 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/,3.0,6
"97,500 EUR",Audi,Q8,"23,000 km",2022,Diesel,Suv,Gray,Mol,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0440141/,3.0,6
"89,990 EUR",Audi,Q8,"14,211 km",2022,Diesel,Suv,Black,Herstal,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0410445/,3.0,
"54,950 EUR",Mazda,Cx-60,"8,000 km",2023,Hybrid,Suv,Beige,Halen,243 kW (330 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-60-hybride-essence-0473792/,2.5,6
"32,990 EUR",Audi,Q2,"40,000 km",2021,Petrol,Crossover,Black,Brugge,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0523075/,1.5,6
"69,995 EUR",Porsche,Taycan,"79,288 km",2020,Electric,Sedan,Black,Brugge,431 kW (586 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0549934/,,6
"53,975 EUR",Mercedes Benz,Eqc,"11,018 km",2021,Electric,Suv,Black,Tielt,304 kW (413 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqc-400-electrique-0430139/,400,6
"69,950 EUR",Mercedes Benz,G-Class,"99,510 km",2013,Diesel,Suv,Black,Izegem,157 kW (214 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-g-350-diesel-0538606/,350,5
"39,990 EUR",Audi,Tt,"5,821 km",2022,Petrol,Coupe,Blue,Tienen,146 kW (199 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-tt-essence-0544115/,2.0 tfsi,6
"81,990 EUR",Porsche,Macan,"7,000 km",2022,Petrol,Suv,Gray,Maldegem,197 kW (268 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0412647/,2.0,6
"69,990 EUR",Audi,A7,"34,000 km",2020,Diesel,Sedan,Gray,Brugge,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a7-diesel-0130251/,3.0,6
"49,999 EUR",Audi,A8,"74,807 km",2019,Diesel,Sedan,Gray,Knokke Heist,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a8-diesel-0435597/,3.0 TDI,6
"112,890 EUR",Audi,E-Tron Gt,110 km,2022,Electric,Coupe,Black,Turnhout,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-e-tron-gt-electrique-0549783/,,
"211,750 EUR",Mclaren,Gt,"2,850 km",2023,Petrol,Coupe,Blue,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mclaren-gt-essence-0527222/,4.0,
"220,000 EUR",Mclaren,Gt,10 km,2023,Petrol,Coupe,Beige,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527219/,4.0,
"215,000 EUR",Mclaren,Gt,10 km,2023,Petrol,Coupe,Gray,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527218/,4.0,
"41,990 EUR",Audi,A5,"19,251 km",2023,Diesel,Sedan,Black,Wevelgem,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0522972/,2.0,6
"48,093 EUR",Audi,A5,"14,900 km",2023,Diesel,Sedan,Black,Brugge,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0523045/,2.0,6
"37,995 EUR",Bmw,X5,"94,943 km",2018,Diesel,Suv,White,Brugge,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-diesel-0538407/,,6
"25,500 EUR",Hyundai,Tucson,"58,605 km",2019,Petrol,Suv,Gray,Halen,131 kW (178 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-tucson-essence-0556400/,1.6 GDi,6
"37,999 EUR",Hyundai,Kona,5 km,2024,Electric,Crossover,Black,Sint Niklaas,105 kW (143 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-kona-hybride-essence-0541413/,,
"19,500 EUR",Porsche,Cayenne,"265,382 km",2012,Diesel,Suv,Blue,Antwerpen,157 kW (214 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-cayenne-diesel-0508020/,3.0 diesel,5
"96,990 EUR",Audi,Sq7,"18,000 km",2021,Diesel,Suv,Black,Oostkamp,378 kW (514 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-sq7-essence-0538304/,4.0,6
"36,990 EUR",Cupra,Formentor,"22,437 km",2023,Petrol,Crossover,Gray,Hasselt,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/cupra-formentor-essence-0378940/,1.5,6
"23,990 EUR",Ford,Focus,"31,704 km",2023,Petrol,Sedan,Red,Genk,93 kW (126 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0554797/,1.0,6
"198,077 EUR",Mclaren,Gt,"3,880 km",2022,Petrol,Coupe,Green,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mclaren-gt-essence-0258571/,4.0,
"47,782 EUR",Volvo,Xc60,"21,262 km",2022,Petrol,Crossover,Black,Rotselaar,146 kW (199 HP),Manual,https://www.vroom.be/fr/voitures-occasion/volvo-xc60-essence-0559875/,2.0,8
"23,950 EUR",Audi,Q5,"156,000 km",2017,Diesel,Suv,Blue,Lennik,111 kW (151 HP),Manual,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0255428/,2.0,6
"28,990 EUR",Volkswagen,Golf,"11,945 km",2022,Diesel,Sedan,Gray,Bree,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-golf-diesel-0524173/,2.0,6
"288,990 EUR",Mercedes Benz,Amg Gt,"3,506 km",2021,Petrol,Hatchback,Blue,Halen,436 kW (593 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-amg-gt-r-essence-0165958/,4.0 R,6
"23,995 EUR",Bmw,5 Series,"55,165 km",2017,Diesel,Wagon,Gray,Brugge,121 kW (165 HP),Manual,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0538402/,520d,6
"15,737 EUR",Peugeot,308,"95,301 km",2020,Petrol,Hatchback,White,Marche En Famenne,96 kW (131 HP),Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-308-essence-0537545/,1.2 vti,6
"28,495 EUR",Volkswagen,T-Roc,"23,889 km",2020,Petrol,Convertible,Red,Brugge,110 kW (150 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/t-roc/volkswagen-t-roc-vente-523750?,1.5 tsi,9
"50,990 EUR",Audi,A4,"13,584 km",2023,Diesel,Wagon,Gray,Overpelt,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0463279/,2.0,6
"28,500 EUR",Audi,A1,15 km,2023,Petrol,Mini,Blue,Genk,82 kW (112 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-a1-essence-0539576/,1.0 30 TFSI,6
"108,999 EUR",Porsche,Taycan,"32,000 km",2021,Electric,Sedan,Gray,Houthalen Helchteren,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0412489/,,6
"124,999 EUR",Porsche,Taycan,"11,966 km",2022,Electric,Sedan,Black,Zottegem,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0424043/,,6
"129,995 EUR",Porsche,911,"17,701 km",2019,Petrol,Coupe,Black,Kuurne,335 kW (456 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-911-essence-0516275/,3.0,
"29,800 EUR",Ford,S-Max,"48,534 km",2020,Petrol,Mpv,Silver,Boortmeerbeek,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-s-max-essence-0556706/,1.5,
"84,990 EUR",Volkswagen,Touareg,"11,896 km",2023,Diesel,Suv,Gray,Genk,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-touareg-diesel-0554108/,3.0 TDI,6
"53,999 EUR",Hyundai,Ioniq,10 km,2024,Electric,Sedan,Gray,Sint Niklaas,170 kW (231 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-ioniq-electrique-0559942/,,
"23,000 EUR",Hyundai,Ioniq,"25,353 km",2020,Electric,Sedan,Gray,Hamme,100 kW (136 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/hyundai/ioniq/hyundai-ioniq-vente-515773?,,6
"44,800 EUR",Renault,Megane,"1,990 km",1990,Petrol,Hatchback,Gray,Kalmthout,223 kW (303 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/renault-megane-essence-0473845/,1.8,6
"39,899 EUR",Hyundai,Kona,10 km,2024,Electric,Crossover,Gray,Sint Niklaas,309 kW (420 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-kona-hybride-essence-0558539/,,
"22,966 EUR",Nissan,X-Trail,"52,369 km",2020,Diesel,Suv,White,Keerbergen,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-diesel-0488586/,1.7,9
"36,900 EUR",Hyundai,Kona,"7,500 km",2024,Electric,Crossover,Gray,Sint Niklaas,105 kW (143 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-kona-hybride-essence-0543771/,,
"28,850 EUR",Jaguar,E-Pace,"82,415 km",2018,Petrol,Suv,Black,Rotselaar,134 kW (182 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-e-pace-diesel-0130869/,2.0,6
"28,690 EUR",Volkswagen,Golf,"34,596 km",2020,Petrol,Wagon,Black,Halen,182 kW (248 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-golf-gti-essence-0510796/,2.0 GTI,6
"37,700 EUR",Mazda,Cx-5,580 km,2024,Petrol,Crossover,Black,Turnhout,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0556454/,2.0,
"89,900 EUR",Jaguar,I-Pace,"14,990 km",2023,Electric,Suv,Gray,Merelbeke,298 kW (405 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-i-pace-electrique-0509195/,,
"12,490 EUR",Peugeot,308,"95,482 km",2019,Petrol,Wagon,White,Peruwelz,96 kW (131 HP),Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-308-essence-0465469/,1.2 vti,
"21,995 EUR",Land Rover,Range Rover Sport,"199,504 km",2016,Diesel,Suv,Blue,Brugge,215 kW (292 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/land-rover/range-rover-sport/land-rover-range-rover-sport-vente-523797?,3.0,5
"30,999 EUR",Land Rover,Range Rover Sport,"127,320 km",2016,Diesel,Suv,Blue,Andenne,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-sport-diesel-0374228/,3.0,
"32,950 EUR",Ford,Focus,"20,858 km",2020,Petrol,Wagon,Black,Harelbeke,208 kW (283 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0503026/,2.3,6
"44,950 EUR",Mercedes Benz,Glc-Class,"60,500 km",2019,Petrol,Suv,Gray,Genk,273 kW (371 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-glc-43-amg-essence-0502107/,43 AMG,6
"43,500 EUR",Alfa Romeo,Stelvio,"21,523 km",2021,Petrol,Crossover,Blue,Roeselare,208 kW (283 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/alfa-romeo-stelvio-essence-0285430/,2.0,6
"56,900 EUR",Bmw,Ix1,"25,017 km",2022,Electric,Suv,Gray,Lier,202 kW (275 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix1-electrique-0529515/,,6
