Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"7,499 EUR",Seat,Exeo,2.0 TDI,"186,000 km",2013,Diesel,5,Wagon,Gray,Steyr,106 kW (144 HP),Manual,https://www.zweispurig.at/seat-exeo-gebrauchtwagen-diesel-grau-oberoesterreich/details-1224408
"17,890 EUR",Citroen,C4 Picasso,1.6 BlueHDI,"66,700 km",2017,Diesel,,Mpv,Gray,Linz,89 kW (121 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510870-citroen-c4-picasso-bluehdi-120-ss-eat6-shine.html
"25,950 EUR",Land Rover,Evoque,2.0,"97,000 km",2016,Diesel,6,Suv,Gray,Rankweil,134 kW (182 HP),Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-grau-vorarlberg/details-1192393
"10,900 EUR",Ford,Galaxy,2.0 TDCi,"209,000 km",2011,Diesel,5,Mpv,Blue,Lienz,121 kW (165 HP),Automatic,https://www.zweispurig.at/ford-galaxy-gebrauchtwagen-diesel-blau-tirol/details-1231869
"14,990 EUR",Porsche,Cayenne,4.8 Turbo,"164,000 km",2007,Petrol,4,Suv,Gray,Innsbruck,372 kW (506 HP),Automatic,https://www.zweispurig.at/porsche-cayenne-gebrauchtwagen-benzin-grau-tirol/details-1231328
"8,999 EUR",Ford,Focus,1.6,"154,000 km",2012,Diesel,5,Sedan,Black,Braunau Am Inn,111 kW (151 HP),Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1225482
"12,490 EUR",Opel,Mokka,1.6,"123,098 km",2016,Diesel,,Crossover,White,Graz,101 kW (137 HP),Manual,https://www.zweispurig.at/opel-mokka-gebrauchtwagen-diesel-weiss-steiermark/details-1162138
"18,990 EUR",Fiat,Talento,2.0 Ecojet L2H1,"142,700 km",2020,Diesel,,Van,White,Spittal An Der Drau,108 kW (147 HP),Manual,https://www.zweispurig.at/fiat-talento-gebrauchtwagen-diesel-weiss-kaernten/details-1195075
"35,990 EUR",Mercedes Benz,E-Class,200,"112,000 km",2019,Diesel,6,Sedan,Gray,Wien,111 kW (151 HP),Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-diesel-grau-wien/details-1230459
"13,999 EUR",Volkswagen,Touran,2.0,"133,000 km",2020,Diesel,6,Mpv,Silver,Schwechat,86 kW (117 HP),Automatic,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-silber-niederoesterreich/details-1234662
"8,990 EUR",Bmw,Z3,,"114,000 km",1998,Petrol,,Convertible,Green,Wien,104 kW (141 HP),Automatic,https://www.zweispurig.at/bmw-z3-gebrauchtwagen-benzin-gruen-niederoesterreich/details-1190572
"5,790 EUR",Audi,A4,2.5,"197,970 km",2005,Diesel,4,Convertible,Silver,Wien,121 kW (165 HP),Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-silber-wien/details-1235766
"15,690 EUR",Peugeot,2008,1.2 puretech,"31,100 km",2019,Petrol,6,Crossover,Blue,Wien,85 kW (116 HP),Manual,https://www.zweispurig.at/peugeot-2008-gebrauchtwagen-benzin-blau-wien/details-1210251
"10,490 EUR",Audi,A4,2.0,"180,030 km",2012,Diesel,5,Wagon,Gray,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-grau-salzburg/details-1235307
"10,499 EUR",Hyundai,Ix35,2.0,"119,000 km",2012,Diesel,5,Crossover,Gray,Braunau Am Inn,101 kW (137 HP),Manual,https://www.zweispurig.at/hyundai-ix35-gebrauchtwagen-diesel-grau-oberoesterreich/details-1212368
"14,890 EUR",Audi,A4,1.8 TFSI,"168,000 km",2013,Petrol,5,Sedan,Black,Wien,126 kW (171 HP),Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-benzin-schwarz-wien/details-1213421
"9,890 EUR",Bmw,5 Series,525i,"205,000 km",2006,Diesel,5,Sedan,Gray,Wien,131 kW (178 HP),Manual,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-grau-wien/details-1236291
"18,800 EUR",Seat,Arona,1.0,"59,000 km",2018,Petrol,6,Crossover,Red,Salzburg,86 kW (117 HP),Automatic,https://www.zweispurig.at/seat-arona-gebrauchtwagen-benzin-rot-salzburg/details-1224937
"23,990 EUR",Škoda,Kamiq,1.0 tsi,"7,000 km",2022,Petrol,6,Suv,Gray,Innsbruck,70 kW (95 HP),Manual,https://www.dasweltauto.at/vehicle/670102190
"19,850 EUR",Škoda,Octavia,2.0 TDI,"110,000 km",2020,Diesel,,Wagon,White,Steyr,86 kW (117 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510102-skoda-octavia-combi-tdi-premium-led-navi-acc.html
"20,499 EUR",Mercedes Benz,A-Class,,"127,000 km",2018,Petrol,6,Sedan,White,Steyr,101 kW (137 HP),Automatic,https://www.zweispurig.at/mercedes-benz-a-klasse-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1223185
"18,990 EUR",Ford,Mondeo,2.0 TDCi,"82,905 km",2017,Diesel,6,Wagon,Black,Salzburg,134 kW (182 HP),Automatic,https://www.zweispurig.at/ford-mondeo-gebrauchtwagen-diesel-schwarz-salzburg/details-1181784
"14,850 EUR",Škoda,Scala,1.0 tsi,"50,000 km",2019,Petrol,,Sedan,Red,Steyr,86 kW (117 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/skoda-scala-tsi-led-sitzheizung-einparkhilfe-benzin/3cfb1f71-6df3-48db-9b4e-6a56aa8ab974
"17,850 EUR",Audi,A4,2.0 TDI,"199,000 km",2017,Diesel,,Wagon,Black,Steyr,111 kW (151 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/audi-a4-avant-2-0-tdi-sport-s-line-led-xenon-pdc-diesel/71025551-3121-4482-8dce-05bbe255a473
"16,499 EUR",Audi,A4,2.0,"199,000 km",2017,Diesel,6,Wagon,Black,Braunau Am Inn,111 kW (151 HP),Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1231326
"13,750 EUR",Peugeot,308,1.5 HDI,"125,000 km",2018,Diesel,,Wagon,Blue,Steyr,97 kW (132 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511345-peugeot-308-sw-hdi-130-allure-ss-navi-kamera-acc.html
"13,900 EUR",Peugeot,3008,1.6,"105,000 km",2015,Diesel,6,Crossover,Gray,Salzburg,89 kW (121 HP),Automatic,https://www.zweispurig.at/peugeot-3008-gebrauchtwagen-diesel-grau-salzburg/details-1203088
"14,499 EUR",Opel,Antara,2.4,"117,000 km",2016,Petrol,5,Crossover,Black,Braunau Am Inn,126 kW (171 HP),Manual,https://www.zweispurig.at/opel-antara-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217223
"14,850 EUR",Peugeot,308,1.2 vti,"100,000 km",2019,Petrol,,Wagon,White,Steyr,97 kW (132 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/511374-peugeot-308-sw-130-allure-aut-pdc-kamera.html
"19,990 EUR",Hyundai,Kona,,"25,000 km",2021,Electric,,Crossover,White,Wien,101 kW (137 HP),Automatic,https://www.zweispurig.at/hyundai-kona-gebrauchtwagen-elektro-weiss-niederoesterreich/details-1225681
"12,499 EUR",Bmw,5 Series,520d,"223,000 km",2011,Diesel,5,Wagon,Gray,Steyr,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-grau-oberoesterreich/details-1224405
"8,499 EUR",Volkswagen,Golf,1.2 TSI,"165,000 km",2011,Petrol,5,Sedan,White,Steyr,64 kW (87 HP),Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-weiss-oberoesterreich/details-1223637
"15,900 EUR",Bmw,5 Series,530d xDrive,"229,000 km",2012,Diesel,5,Wagon,White,Lienz,192 kW (261 HP),Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-weiss-tirol/details-1234509
"17,490 EUR",Honda,Hr-V,1.5,"110,000 km",2019,Petrol,6,Crossover,Blue,Graz,97 kW (132 HP),Automatic,https://www.zweispurig.at/honda-hr-v-gebrauchtwagen-benzin-blau-steiermark/details-1222315
"20,550 EUR",Volkswagen,Passat,1.6 TDI,"73,419 km",2020,Diesel,6,Wagon,Silver,Wels,89 kW (121 HP),Automatic,https://www.dasweltauto.at/vehicle/4633600190
"25,999 EUR",Volvo,Xc60,2.0,"103,000 km",2018,Diesel,6,Crossover,Black,Schwechat,111 kW (151 HP),Manual,https://www.zweispurig.at/volvo-xc60-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1230966
"17,500 EUR",Volkswagen,Golf,2.0,"150,000 km",2016,Diesel,6,Sedan,Black,Ried Im Innkreis,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1189737
"15,990 EUR",Volkswagen,Golf,1.6 TDI,"120,000 km",2016,Diesel,6,Wagon,Gray,Salzburg,82 kW (112 HP),Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-diesel-grau-salzburg/details-1235782
"14,850 EUR",Ford,Grand C-Max,1.6,"94,000 km",2017,Diesel,,Mpv,Black,Steyr,89 kW (121 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511136-ford-grand-c-max-titanium-tdci-winterpaket-pla.html
"20,290 EUR",Suzuki,Sx4 S-Cross,1.4,"47,594 km",2021,Petrol,,Crossover,Red,Krems,96 kW (131 HP),Manual,https://www.zweispurig.at/suzuki-sx4-s-cross-gebrauchtwagen-benzin-rot-niederoesterreich/details-1225386
"12,790 EUR",Citroen,Berlingo,1.6,"133,560 km",2016,Diesel,6,Van,Gray,Wiener Neustadt,89 kW (121 HP),Manual,https://www.zweispurig.at/citroen-berlingo-gebrauchtwagen-diesel-grau-niederoesterreich/details-1234572
"17,490 EUR",Volkswagen,Golf,2.0,"143,810 km",2017,Diesel,6,Sedan,Gray,Salzburg,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-diesel-grau-salzburg/details-1205097
"13,490 EUR",Volkswagen,Golf,1.6,"128,229 km",2017,Diesel,6,Wagon,Blue,Villach,86 kW (117 HP),Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-diesel-blau-kaernten/details-1202063
"64,900 EUR",Land Rover,Discovery,3.0 TDV6,"14,600 km",2020,Diesel,6,Suv,Silver,Wien,228 kW (310 HP),Automatic,https://www.zweispurig.at/land-rover-discovery-gebrauchtwagen-diesel-silber-wien/details-1153559
"16,450 EUR",Ford,Ecosport,1.5 TDCi,"150,000 km",2019,Diesel,,Suv,White,Steyr,93 kW (126 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510708-ford-ecosport-allrad-tdci-st-line-kamera-navi-pdc.html
"15,850 EUR",Opel,Insignia,1.6,"155,000 km",2020,Diesel,,Wagon,Blue,Steyr,101 kW (137 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/opel-insignia-sports-tourer-led-navi-winterpaket-diesel/a05e5bac-45f9-471a-89e8-af9567dc669c
"23,990 EUR",Volkswagen,Touran,1.6 TDI,"48,903 km",2019,Diesel,6,Mpv,White,Wels,86 kW (117 HP),Automatic,https://www.dasweltauto.at/vehicle/4633600160
"16,590 EUR",Volkswagen,Golf,1.6 TDI,"84,259 km",2020,Diesel,6,Wagon,Blue,Wien,86 kW (117 HP),Manual,https://www.dasweltauto.at/vehicle/15054916
"16,890 EUR",Volkswagen,Golf,1.6 TDI,"41,100 km",2020,Diesel,6,Wagon,Blue,Wien,86 kW (117 HP),Manual,https://www.dasweltauto.at/vehicle/11225568
