Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Ford,Focus,2019,Diesel,Wagon,Blue,Brugge,Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/ford/focus/ford-focus-vente-550291?,1.5 TDCi,16495,65007,89.0,6,Belgium
Ford,Galaxy,2019,Petrol,Mpv,Gray,Boortmeerbeek,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0549487/,1.5,26800,71065,123.0,6,Belgium
Ford,Galaxy,2019,Petrol,Mpv,Gray,Rotselaar,Manual,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0482076/,1.5,28877,67734,123.0,6,Belgium
Land Rover,Discovery,2024,Diesel,Suv,Gray,Merelbeke,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0440477/,3.0,89990,3500,223.0,6,Belgium
Hyundai,Kona,2019,Diesel,Crossover,Black,Eupen,Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-kona-diesel-0389185/,1.6,14990,98613,85.0,6,Belgium
Mini,Cooper,2019,Petrol,Hatchback,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/mini-cooper-s-countryman-essence-0547012/,2.0,21900,100294,143.0,6,Belgium
Audi,Q8,2018,Diesel,Suv,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0524598/,3.0,52500,105419,213.0,6,Belgium
Bmw,5 Series,2022,Diesel,Wagon,Blue,Mechelen,Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0389671/,520d,48900,34381,121.0,6,Belgium
Porsche,Panamera,2020,Hybrid,Sedan,Gray,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/porsche/panamera/porsche-panamera-vente-509031?,4.0,91995,99263,500.0,6,Belgium
Porsche,991,2015,Petrol,Coupe,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-991-essence-0491441/,3.8,116990,50203,320.0,6,Belgium
Audi,Q5,2019,Diesel,Suv,White,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0524003/,2.0,36500,51343,141.0,6,Belgium
Audi,Rs6,2021,Petrol,Wagon,Gray,Maldegem,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs6-essence-0444384/,4.0,119900,58000,447.0,6,Belgium
Audi,Q2,2023,Petrol,Crossover,Gray,Herent,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0389354/,1.5,37990,15990,111.0,6,Belgium
Audi,Q7,2017,Diesel,Suv,Black,Sint Niklaas,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q7-diesel-0547655/,3.0,29990,207020,162.0,6,Belgium
Volkswagen,Cc,2017,Petrol,Sedan,Black,Zedelgem,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-cc-essence-0534104/,1.4,18950,112607,111.0,6,Belgium
Saic,Marvel R,2023,Electric,Crossover,Black,Tielt Winge,Automatic,https://www.vroom.be/fr/voitures-neuves/mg-marvel-r-electrique-0546326/,electro,40700,50,214.0,6,Belgium
Land Rover,Discovery,2020,Diesel,Suv,White,Tielt Winge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0400242/,2.0,30900,80738,111.0,6,Belgium
Land Rover,Discovery,2020,Diesel,Suv,Black,Kalmthout,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0201378/,2.0,63750,33451,179.0,6,Belgium
Land Rover,Discovery,2020,Diesel,Suv,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0554156/,2.0,43995,28396,179.0,6,Belgium
Mazda,Cx-5,2023,Petrol,Crossover,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0527110/,2.0,41299,1,121.0,6,Belgium
Mazda,Cx-5,1998,Petrol,Crossover,Black,Turnhout,Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0550447/,2.0,41830,4,121.0,2,Belgium
Land Rover,Evoque,2018,Diesel,Suv,Black,Damme,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-evoque-diesel-0534757/,2.0,27300,50000,111.0,6,Belgium
Porsche,Macan,2016,Petrol,Suv,Gray,Geel,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0325253/,3.0,58990,58237,268.0,6,Belgium
Audi,Q8,2022,Diesel,Suv,White,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/,3.0,79990,33996,344.0,6,Belgium
Audi,Q8,2022,Diesel,Suv,Gray,Mol,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0440141/,3.0,97500,23000,253.0,6,Belgium
Audi,Q8,2022,Diesel,Suv,Black,Herstal,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0410445/,3.0,89990,14211,213.0,6,Belgium
Mazda,Cx-60,2023,Hybrid,Suv,Beige,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-60-hybride-essence-0473792/,2.5,54950,8000,243.0,6,Belgium
Audi,Q2,2021,Petrol,Crossover,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0523075/,1.5,32990,40000,111.0,6,Belgium
Mercedes Benz,Eqc,2021,Electric,Suv,Black,Tielt,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqc-400-electrique-0430139/,400,53975,11018,304.0,6,Belgium
Mercedes Benz,G-Class,2013,Diesel,Suv,Black,Izegem,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-g-350-diesel-0538606/,350,69950,99510,157.0,5,Belgium
Audi,Tt,2022,Petrol,Coupe,Blue,Tienen,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-tt-essence-0544115/,2.0 tfsi,39990,5821,146.0,6,Belgium
Porsche,Macan,2022,Petrol,Suv,Gray,Maldegem,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0412647/,2.0,81990,7000,197.0,6,Belgium
Audi,A7,2020,Diesel,Sedan,Gray,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a7-diesel-0130251/,3.0,69990,34000,213.0,6,Belgium
Audi,A8,2019,Diesel,Sedan,Gray,Knokke Heist,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a8-diesel-0435597/,3.0 TDI,49999,74807,213.0,6,Belgium
Mclaren,Gt,2023,Petrol,Coupe,Blue,Waterloo,Automatic,https://www.vroom.be/fr/voitures-occasion/mclaren-gt-essence-0527222/,4.0,211750,2850,462.0,6,Belgium
Mclaren,Gt,2023,Petrol,Coupe,Beige,Waterloo,Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527219/,4.0,220000,10,462.0,6,Belgium
Mclaren,Gt,2023,Petrol,Coupe,Gray,Waterloo,Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527218/,4.0,215000,10,462.0,6,Belgium
Audi,A5,2023,Diesel,Sedan,Black,Wevelgem,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0522972/,2.0,41990,19251,101.0,6,Belgium
Audi,A5,2023,Diesel,Sedan,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0523045/,2.0,48093,14900,121.0,6,Belgium
Hyundai,Tucson,2019,Petrol,Suv,Gray,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-tucson-essence-0556400/,1.6 GDi,25500,58605,131.0,6,Belgium
Porsche,Cayenne,2012,Diesel,Suv,Blue,Antwerpen,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-cayenne-diesel-0508020/,3.0 diesel,19500,265382,157.0,5,Belgium
Audi,Sq7,2021,Diesel,Suv,Black,Oostkamp,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-sq7-essence-0538304/,4.0,96990,18000,378.0,6,Belgium
Cupra,Formentor,2023,Petrol,Crossover,Gray,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/cupra-formentor-essence-0378940/,1.5,36990,22437,111.0,6,Belgium
Ford,Focus,2023,Petrol,Sedan,Red,Genk,Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0554797/,1.0,23990,31704,93.0,6,Belgium
Mclaren,Gt,2022,Petrol,Coupe,Green,Waterloo,Automatic,https://www.vroom.be/fr/voitures-occasion/mclaren-gt-essence-0258571/,4.0,198077,3880,462.0,6,Belgium
Volvo,Xc60,2022,Petrol,Crossover,Black,Rotselaar,Manual,https://www.vroom.be/fr/voitures-occasion/volvo-xc60-essence-0559875/,2.0,47782,21262,146.0,6,Belgium
Audi,Q5,2017,Diesel,Suv,Blue,Lennik,Manual,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0255428/,2.0,23950,156000,111.0,6,Belgium
Volkswagen,Golf,2022,Diesel,Sedan,Gray,Bree,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-golf-diesel-0524173/,2.0,28990,11945,111.0,6,Belgium
Mercedes Benz,Amg Gt,2021,Petrol,Hatchback,Blue,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-amg-gt-r-essence-0165958/,4.0 R,288990,3506,436.0,6,Belgium
Bmw,5 Series,2017,Diesel,Wagon,Gray,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0538402/,520d,23995,55165,121.0,6,Belgium
Peugeot,308,2020,Petrol,Hatchback,White,Marche En Famenne,Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-308-essence-0537545/,1.2 vti,15737,95301,96.0,6,Belgium
Volkswagen,T-Roc,2020,Petrol,Convertible,Red,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/t-roc/volkswagen-t-roc-vente-523750?,1.5 tsi,28495,23889,110.0,6,Belgium
Audi,A4,2023,Diesel,Wagon,Gray,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0463279/,2.0,50990,13584,121.0,6,Belgium
Audi,A1,2023,Petrol,Mini,Blue,Genk,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-a1-essence-0539576/,1.0 30 TFSI,28500,15,82.0,6,Belgium
Porsche,911,2019,Petrol,Coupe,Black,Kuurne,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-911-essence-0516275/,3.0,129995,17701,335.0,6,Belgium
Ford,S-Max,2020,Petrol,Mpv,Silver,Boortmeerbeek,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-s-max-essence-0556706/,1.5,29800,48534,123.0,6,Belgium
Volkswagen,Touareg,2023,Diesel,Suv,Gray,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-touareg-diesel-0554108/,3.0 TDI,84990,11896,213.0,6,Belgium
Renault,Megane,1990,Petrol,Hatchback,Gray,Kalmthout,Automatic,https://www.vroom.be/fr/voitures-occasion/renault-megane-essence-0473845/,1.8,44800,1990,223.0,1,Belgium
Nissan,X-Trail,2020,Diesel,Suv,White,Keerbergen,Automatic,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-diesel-0488586/,1.7,22966,52369,111.0,6,Belgium
Jaguar,E-Pace,2018,Petrol,Suv,Black,Rotselaar,Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-e-pace-diesel-0130869/,2.0,28850,82415,134.0,6,Belgium
