Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Mercedes Benz,A-Class,2017,Petrol,Hatchback,Black,Knokke,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-a-45-amg-essence-0394599/,45 AMG,32450,74800,284.0,6,Belgium
Audi,Q3,2019,Petrol,Crossover,White,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0558196/,1.5 35 TFSI,29990,49443,111.0,6,Belgium
Citroen,C4,2021,Diesel,Hatchback,Orange,Sint Gillis Waas,Automatic,https://www.vroom.be/fr/voitures-occasion/citroen-c4-diesel-0149210/,1.5,26990,21650,96.0,6,Belgium
Cupra,Formentor,2024,Petrol,Crossover,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/cupra/formentor/cupra-formentor-2024-vente-553469?,1.5 tsi,34990,10,111.0,6,Belgium
Volkswagen,Polo,2019,Petrol,Hatchback,Orange,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-polo-essence-0524597/,1.0 TSI DSG,18500,68303,70.0,6,Belgium
Peugeot,Rcz,2015,Petrol,Coupe,Black,Halen,Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-rcz-essence-0351143/,1.6 THP,25900,85564,201.0,6,Belgium
Volkswagen,Polo,2019,Petrol,Hatchback,Gray,Genk,Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/polo/volkswagen-polo-vente-505930?,1.0 tsi,17900,19000,70.0,6,Belgium
Audi,Sq7,2022,Diesel,Suv,Black,Turnhout,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-sq7-essence-0549784/,4.0,114890,611,378.0,6,Belgium
Volkswagen,Sharan,2017,Diesel,Van,Black,Arlon,Automatic,https://www.autogids.be/detail-id--9434243--volkswagen-highline-7-places-boite-auto-cuir-xenon-full/tweedehands.html,2.0 TDI,25990,85492,111.0,6,Belgium
Seat,Ateca,2022,Petrol,Suv,Black,Wevelgem,Automatic,https://www.vroom.be/fr/voitures-occasion/seat-ateca-essence-0522910/,1.5,32990,20529,111.0,6,Belgium
Mazda,Cx-5,2023,Petrol,Crossover,White,Sint Truiden,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0555846/,2.0,34950,6496,123.0,6,Belgium
Opel,Astra,2019,Petrol,Wagon,Gray,Sint Gillis Waas,Automatic,https://www.vroom.be/fr/voitures-occasion/opel-astra-essence-0149217/,1.4 D,20990,80557,111.0,6,Belgium
Peugeot,2008,2019,Petrol,Crossover,White,Marche En Famenne,Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-2008-essence-0552482/,1.2 vti,14739,57101,96.0,6,Belgium
Volvo,V60,2019,Diesel,Wagon,Gray,Brugge,Automatic,https://www.autogids.be/detail-id--9452660--volvo-2-0-d3-geartronic-leder-navi-perfect-onderho/tweedehands.html,2.0,23995,90417,111.0,6,Belgium
Volvo,V60,2019,Diesel,Wagon,Silver,Rotselaar,Manual,https://www.vroom.be/fr/voitures-occasion/volvo-v60-diesel-0558955/,2.0 D3,23950,75734,111.0,6,Belgium
Ford,Ranger,1996,Diesel,Pickup,Orange,Izegem,Automatic,https://www.autogids.be/detail-id--9450541--ford-dc-wildtrak-2-0biturbo-205pk-a10-automaat/tweedehands.html,2.0,47907,5,152.0,2,Belgium
Porsche,Macan,2022,Petrol,Suv,Black,Kortrijk,Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0556415/,2.0,69950,13032,197.0,6,Belgium
Volkswagen,Passat,2021,Diesel,Wagon,White,Zaventem,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/passat-variant/volkswagen-passat-variant-2021-vente-555341?,2.0,24490,52614,111.0,6,Belgium
Audi,Q2,2018,Petrol,Crossover,White,Hasselt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0543528/,1.4 TFSI,23500,86589,111.0,6,Belgium
Renault,Megane,2022,Petrol,Wagon,Gray,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/renault-megane-essence-0474392/,1.3,22690,65949,104.0,6,Belgium
Maserati,Levante,2021,Petrol,Suv,Gray,Turnhout,Automatic,https://www.autogids.be/detail-id--9462831--maserati-modena-s-430pk-pano-acc-camera-leder/tweedehands.html,3.0 s,92890,11892,320.0,6,Belgium
Audi,A6,2019,Diesel,Wagon,Black,Sint Niklaas,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a6-diesel-0534953/,2.0 TDI,38990,64885,152.0,6,Belgium
Nissan,X-Trail,2020,Diesel,Suv,Blue,Turnhout,Manual,https://www.vroom.be/fr/voitures-occasion/nissan-x-trail-diesel-0449504/,1.7,24450,66448,111.0,6,Belgium
Bmw,X1,2021,Diesel,Suv,White,Lennik,Automatic,https://www.autogids.be/detail-id--9449858--bmw-1-5-da-sdrive16-adblue-eu6ap-leder-pano-dak/tweedehands.html,16d,25950,58473,86.0,6,Belgium
Ford,Ranger,2021,Diesel,Pickup,Silver,Tielt,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-ranger-diesel-0547142/,2.0,36495,42901,158.0,6,Belgium
Audi,A4,2015,Diesel,Sedan,Black,Sint Niklaas,Manual,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0534906/,2.0,15490,129066,136.0,6,Belgium
Audi,A3,2023,Petrol,Sedan,Blue,Tienen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-532574?,1.0 30 TFSI,29990,30132,82.0,6,Belgium
Audi,A3,2023,Petrol,Sedan,Gray,Tongeren,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-552194?,1.0 30 TFSI,28990,19536,82.0,6,Belgium
Mercedes Benz,C-Class,2022,Diesel,Wagon,Gray,Hannut,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/mercedes-benz/c-220/mercedes-benz-c-220-2022-vente-533827?,220,47900,24401,149.0,6,Belgium
Bmw,5 Series,2013,Diesel,Sedan,Black,Farciennes,Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0558964/,2.0 520d,12999,189000,121.0,5,Belgium
Mercedes Benz,Sl-Class,2023,Petrol,Convertible,Gray,Huy,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-sl-55-amg-essence-0538088/,4.0 AMG 55,144990,7408,354.0,6,Belgium
Opel,Mokka,2021,Petrol,Crossover,Gray,Erpe Mere,Manual,https://www.vroom.be/fr/voitures-occasion/opel-mokka-essence-0492923/,1.2,23799,6621,97.0,6,Belgium
Audi,A3,2022,Petrol,Sedan,Gray,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0524006/,1.0 30 TFSI,29990,39474,82.0,6,Belgium
Audi,A3,2022,Petrol,Sedan,Blue,Tienen,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0537664/,1.5 35 TFSI,33990,16132,111.0,6,Belgium
Peugeot,3008,2019,Petrol,Crossover,Red,Arlon,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-3008-essence-0560337/,1.2,24990,30901,96.0,6,Belgium
Audi,Q5,2021,Diesel,Suv,Black,Tongeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0558212/,2.0,48500,53874,152.0,6,Belgium
Audi,A3,2023,Petrol,Sedan,Blue,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a3/audi-a3-2023-vente-551670?,1.0,35990,7772,82.0,6,Belgium
Land Rover,Defender,2022,Diesel,Suv,Black,Merelbeke,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-defender-diesel-0506725/,3.0,94990,2896,186.0,6,Belgium
Land Rover,Defender,2022,Diesel,Suv,Black,Merelbeke,Automatic,https://www.autogids.be/detail-id--9457411--land-rover-110-d250-se-awd-aut/tweedehands.html,3.0,84990,1500,186.0,6,Belgium
Seat,Ateca,2019,Petrol,Suv,Black,Herstal,Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/seat/ateca/seat-ateca-2019-vente-531654?,1.0,16490,94714,86.0,6,Belgium
Citroen,C5 Aircross,2022,Petrol,Suv,Black,Malmedy,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/citroen/c5-aircross/citroen-c5-aircross-2022-vente-529674?,1.2,28990,32389,97.0,6,Belgium
Bmw,I3,2022,Electric,Hatchback,Brown,Lier,Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-i3-electrique-0473181/,0.6,30900,14514,126.0,6,Belgium
Abarth,595,2020,Petrol,Coupe,Yellow,Izegem,Manual,https://www.vroom.be/fr/voitures-occasion/abarth-595-turismo-essence-0547791/,1.4 turismo,21950,19260,121.0,6,Belgium
Mercedes Benz,C-Class,2020,Diesel,Coupe,Gray,Huy,Automatic,https://www.autogids.be/detail-id--9395812--mercedes-benz-d-coupe-amg-line-premium/tweedehands.html,200,39990,51751,119.0,6,Belgium
Mercedes Benz,Eqe,2022,Electric,Sedan,White,Huy,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0532654/,350,65990,21141,217.0,6,Belgium
Mercedes Benz,Eqe,2022,Electric,Sedan,White,Huy,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0532636/,350,66990,12418,217.0,6,Belgium
Audi,A5,2018,Diesel,Sedan,Black,Overpelt,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0523990/,2.0,27500,67819,111.0,6,Belgium
Ford,Ecosport,2020,Petrol,Suv,Gray,Rotselaar,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-ecosport-essence-0556432/,1.0,19990,30235,93.0,6,Belgium
Audi,Rs6,2021,Petrol,Wagon,Red,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs6-essence-0559676/,4.0,139900,3900,447.0,6,Belgium
Audi,Q3,2023,Petrol,Crossover,Black,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0551966/,1.5,41500,13512,111.0,6,Belgium
Audi,Q5,2023,Diesel,Suv,Gray,Overpelt,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-q5-diesel-0546903/,2.0,52990,32,121.0,6,Belgium
Volvo,Xc90,2017,Petrol,Suv,Black,Roosdaal,Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-xc90-essence-0555243/,2.0,36850,178878,239.0,6,Belgium
Mercedes Benz,Gla-Class,2018,Petrol,Suv,Gray,Zwevegem,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-gla-250-essence-0543758/,250,24999,72800,157.0,6,Belgium
Land Rover,Discovery Sport,2019,Diesel,Suv,Gray,Beveren,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-sport-diesel-0535226/,2.0,26900,99876,111.0,6,Belgium
Land Rover,Discovery Sport,2019,Diesel,Suv,White,Turnhout,Manual,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-sport-diesel-0392638/,2.0,22650,55342,111.0,6,Belgium
Peugeot,5008,2021,Diesel,Mpv,Silver,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0538443/,1.5,25995,55111,97.0,6,Belgium
Peugeot,5008,2021,Diesel,Mpv,Blue,Jabbeke,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0503137/,1.5,33450,39355,96.0,6,Belgium
Peugeot,5008,2021,Petrol,Mpv,Blue,Ath,Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/peugeot/5008/peugeot-5008-2021-vente-531721?,1.2,28980,29729,96.0,6,Belgium
Land Rover,Range Rover Velar,2020,Petrol,Suv,Black,Asse,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-velar-essence-0557627/,2.0,48950,59475,186.0,6,Belgium
Volvo,V40,2018,Petrol,Wagon,Gray,Rotselaar,Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-v40-essence-0422955/,1.5,22916,49397,90.0,6,Belgium
Jeep,Compass,2022,Diesel,Crossover,Blue,Roeselare,Manual,https://www.vroom.be/fr/voitures-occasion/jeep-compass-diesel-0555919/,1.6,28250,32765,97.0,6,Belgium
Ford,Galaxy,2018,Diesel,Mpv,Black,Izegem,Automatic,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-diesel-0221886/,2.0,29975,87515,111.0,6,Belgium
Ford,Mustang,2023,Petrol,Coupe,Blue,Machelen,Manual,https://www.vroom.be/fr/voitures-occasion/ford-mustang-essence-0554996/,5.0,88450,1200,378.0,6,Belgium
Peugeot,208,2022,Petrol,Wagon,Gray,Knokke Heist,Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-208-essence-0559160/,1.2,20750,22753,75.0,6,Belgium
Renault,Kadjar,2019,Diesel,Suv,Black,Ath,Manual,https://www.autogids.be/detail-id--9393314--renault-intens/tweedehands.html,1.5,16480,81101,86.0,6,Belgium
Renault,Kadjar,2019,Petrol,Suv,Silver,Turnhout,Manual,https://www.vroom.be/fr/voitures-occasion/renault-kadjar-essence-0441956/,1.3,17450,72037,105.0,6,Belgium
Volkswagen,Tiguan,2021,Petrol,Crossover,Black,Aarschot,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-tiguan-essence-0523345/,1.5,36999,49410,111.0,6,Belgium
