Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Toyota,Land Cruiser,3.0 D-4d,2005,Diesel,Suv,Gold,Olbramovice,Automatic,https://www.sauto.cz/osobni/detail/toyota/land-cruiser/201847066,4,11887,226243,122.0,Czech Republic
Bmw,X7,30d xDrive,2019,Diesel,Suv,Black,Praha,Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X7/X7-30d-xDrive-SUV-17019705375030.html,6,63397,176205,195.0,Czech Republic
Honda,Civic,1.4,2009,Petrol,Hatchback,Gray,Brno,Manual,https://www.annonce.cz/inzerat/honda-civic-1-4-lpg-72442195-w1n2u8.html,5,3962,179569,73.0,Czech Republic
Honda,Civic,1.4,2009,Petrol,Hatchback,Gray,Brno,Manual,https://www.automodul.cz/honda-civic-1-4-comfort-lpg-c2643458,5,3962,179526,73.0,Czech Republic
Bmw,8 Series,M850i xDrive,2021,Petrol,Coupe,Black,Praha,Automatic,https://www.sportovnivozy.cz/185303-bmw-8-m850i-xdrive-gc-m-paket-2021,6,65379,47784,390.0,Czech Republic
Opel,Mokka,1.7,2013,Diesel,Crossover,White,Kroměříž,Manual,https://www.automodul.cz/opel-mokka-1-7-cdti-4x4-navi-xen-kamera-c2705742,5,9827,168684,96.0,Czech Republic
Bmw,X5,M50d,2017,Diesel,Suv,White,Olbramovice,Automatic,https://www.sauto.cz/osobni/detail/bmw/x5/204875757,6,27738,156979,280.0,Czech Republic
Mercedes Benz,Cls-Class,63 AMG,2013,Petrol,Sedan,White,Olbramovice,Automatic,https://yauto.cz/mercedes-benz/cls/55-cls-63-amg-386kw-cz-kombi-benzin-836406/,5,29719,194962,386.0,Czech Republic
Bmw,X5,30d,2019,Diesel,Suv,Blue,Praha,Automatic,https://yauto.cz/bmw/x5/30-d-sport-xdrive-suv-nafta-830254/,6,59435,105500,195.0,Czech Republic
Audi,A7,3.0 50 TDI quattro,2022,Diesel,Sedan,Black,Praha,Automatic,https://autocaris.cz/detail.php?inzerat=735873,6,75285,8955,210.0,Czech Republic
Ford,Edge,2.0 TDCi,2019,Diesel,Suv,Brown,Slaný,Automatic,https://yauto.cz/ford/edge/20-tdci175kwvignaleservkn-suv-nafta-858253/,6,26941,47000,175.0,Czech Republic
Škoda,Kodiaq,2.0 dsg tdi,2018,Diesel,Suv,Blue,Kroměříž,Automatic,https://yauto.cz/skoda/kodiaq/20-tdi-scoutdsg1maj-suv-nafta-849336/,6,23300,206088,110.0,Czech Republic
Volvo,V60,2.4 D5,2012,Diesel,Wagon,Orange,Kroměříž,Manual,https://www.annonce.cz/inzerat/volvo-v60-2-4-d5-r-design-navi-1-maj--72314593-wcfed3.html,5,8678,333258,158.0,Czech Republic
Mazda,Cx-3,2.0,2021,Petrol,Crossover,Red,Praha,Manual,https://autocaris.cz/detail.php?inzerat=740846,6,17431,44300,89.0,Czech Republic
Volvo,Xc60,2.4 D4 AWD,2015,Diesel,Crossover,White,Liberec,Automatic,https://www.sauto.cz/osobni/detail/volvo/xc60/205361355,6,22547,92957,140.0,Czech Republic
Volvo,Xc60,2.4 D4 AWD,2017,Diesel,Crossover,Silver,Liberec,Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volvo/XC60/XC60-D4-AWD-2-4-SUV-17097345989345757.html,6,23339,94402,140.0,Czech Republic
Volkswagen,Tiguan,2.0,2008,Diesel,Crossover,Silver,Brno,Manual,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Tiguan/Tiguan-2-0-4Motion-Kombi-170894551304387.html,4,8519,137895,103.0,Czech Republic
