Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,A8,3.0 TDI,2015,Diesel,Sedan,Gray,Salzburg,Automatic,https://www.zweispurig.at/audi-a8-gebrauchtwagen-diesel-grau-salzburg/details-1238799,38800,172000,195.0,6,Austria
Ford,Transit Custom,2.0,2021,Diesel,Van,Gray,Wien,Automatic,https://www.zweispurig.at/ford-transit-custom-gebrauchtwagen-diesel-grau-wien/details-1221308,69900,22000,137.0,6,Austria
Hyundai,I10,1.2,2023,Petrol,Mini,Red,Linz,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/hyundai-i10-1-2-i-line-plus-automatik-navilink-winterpaket-benzin/e962adc4-8b43-441e-aba7-dec843d5f854,17690,1,62.0,6,Austria
Volvo,Xc40,2.0 D3 AWD,2020,Diesel,Crossover,Gray,Innsbruck,Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-grau-tirol/details-1246487,34900,73350,111.0,6,Austria
Volvo,Xc40,2.0 D4 AWD,2020,Diesel,Crossover,Red,Wels,Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-rot-oberoesterreich/details-1171401,35990,69000,141.0,6,Austria
Škoda,Kodiaq,2.0 4x4 dsg tdi,2023,Diesel,Suv,Gray,Linz,Automatic,https://www.dasweltauto.at/vehicle/30102130,56840,6213,149.0,6,Austria
Maserati,Grecale,2.0 GT,2022,Hybrid,Suv,Blue,Wien,Automatic,https://www.zweispurig.at/maserati-grecale-gebrauchtwagen-benzin-blau-wien/details-752548,99900,18400,224.0,6,Austria
Bmw,X3,xDrive20d,2012,Diesel,Suv,Black,Lienz,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1238595,15900,228000,137.0,5,Austria
Jeep,Renegade,2.0,2015,Diesel,Crossover,White,Salzburg,Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809,15900,160000,89.0,6,Austria
Bmw,X3,30d,2012,Diesel,Suv,Black,Innsbruck,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1230667,19900,151903,192.0,5,Austria
Bmw,X3,xDrive20d,2012,Diesel,Suv,Black,Lustenau,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758,19950,148000,137.0,5,Austria
Mercedes Benz,C-Class,220 CDI,2011,Diesel,Sedan,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590,11999,221000,126.0,5,Austria
Hyundai,I30,1.0,2019,Petrol,Wagon,Brown,Linz,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html,15490,53200,89.0,6,Austria
Bmw,Z4,i,2008,Petrol,Convertible,Black,Steyr,Manual,https://www.zweispurig.at/bmw-z4-gebrauchtwagen-benzin-schwarz-oberoesterreich/details-1223191,15499,109000,131.0,4,Austria
Audi,A4 Allroad,2.0 TDI,2012,Diesel,Crossover,Brown,Salzburg,Manual,https://www.zweispurig.at/audi-a4-allroad-gebrauchtwagen-diesel-braun-salzburg/details-1218466,13990,214000,131.0,5,Austria
Audi,Tt,2.0 tfsi,2007,Petrol,Coupe,Black,Salzburg,Manual,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1240947,11500,151000,149.0,4,Austria
Bmw,X3,xDrive20d,2013,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1221951,18499,170000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2017,Diesel,Wagon,Gray,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511622-ford-focus-traveller-tdci-navi-kamera-winterpaket.html,10980,116000,78.0,6,Austria
Bmw,3 Series,316d,2018,Diesel,Wagon,Blue,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-316-d-touring-advantage-led-navi-pdc-diesel/a2a4692d-c8f3-4999-aad9-9d50e5ba71ab,17450,109000,86.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2019,Diesel,Van,Silver,Wien,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-silber-niederoesterreich/details-1243924,19980,169057,111.0,6,Austria
Hyundai,Tucson,1.6 CRDi,2024,Diesel,Suv,White,Innsbruck,Automatic,https://www.zweispurig.at/hyundai-tucson-vorfuehrwagen-diesel-weiss-tirol/details-1224367,45990,3000,101.0,6,Austria
Volkswagen,Touran,2.0,2017,Diesel,Mpv,Black,Wien,Manual,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-schwarz-wien/details-1203645,21880,86443,111.0,6,Austria
Land Rover,Evoque,2.0,2020,Diesel,Suv,Gray,Linz,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/land-rover-range-rover-evoque-2-0-d180-s-head-up-sd-st-h-diesel/e62bdaec-bc06-413a-a13b-9635ffc65171,42900,49280,133.0,6,Austria
Volkswagen,Passat,2.0 TDI,2018,Diesel,Wagon,Silver,Graz,Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-steiermark/details-1238572,16990,93200,111.0,6,Austria
Fiat,Tipo,1.4,2019,Petrol,Hatchback,Black,Wien,Manual,https://www.zweispurig.at/fiat-tipo-gebrauchtwagen-benzin-mehrere-erhaeltlich-wien/details-1210968,12880,88715,89.0,6,Austria
Mercedes Benz,Glc-Class,300 4MATIC,2022,Diesel,Suv,Black,Schwaz,Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-schwarz-tirol/details-1226799,76990,16224,182.0,6,Austria
Mazda,6,2.2 cd,2013,Diesel,Wagon,Gray,Linz,Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1168286,9900,194550,111.0,5,Austria
