Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"21,490 EUR",Hyundai,Tucson,1.6 T-GDi,"78,252 km",2019,Petrol,6,Suv,Gray,Kuurne,131 kW (178 HP),Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-tucson-essence-0544233/
"19,500 EUR",Porsche,Cayenne,3.0 diesel,"265,382 km",2012,Diesel,5,Suv,Blue,Antwerpen,157 kW (214 HP),Automatic,https://www.autogids.be/detail-id--9536269--porsche-3-0-d-v6-tiptronic-navi-airco-camera-pdc-open-dak/tweedehands.html
"33,990 EUR",Cupra,Formentor,1.5,10 km,2024,Petrol,6,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/cupra-formentor-essence-0561209/
"32,995 EUR",Bmw,X5,,"139,308 km",2015,Diesel,6,Suv,Black,Brugge,192 kW (261 HP),Automatic,https://www.autogids.be/detail-id--9547683--bmw-3-0das-xdrive-m-pack-navi-panodak-harman-kar/tweedehands.html
"31,999 EUR",Bmw,X5,,"128,126 km",2017,Diesel,,Suv,Gray,Andenne,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-diesel-0482290/
"49,990 EUR",Audi,A5,2.0,"23,125 km",2022,Petrol,6,Sedan,Black,Herent,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-essence-0541876/
"47,990 EUR",Audi,A5,2.0,"10,830 km",2022,Petrol,6,Convertible,Green,Genk,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-essence-0543530/
"47,782 EUR",Volvo,Xc60,2.0,"21,262 km",2022,Petrol,8,Crossover,Black,Rotselaar,146 kW (199 HP),Manual,https://www.autogids.be/detail-id--9550922--volvo-r-design-b4-mhev-automaat/tweedehands.html
"75,900 EUR",Audi,Rs4,2.9,"26,800 km",2019,Petrol,6,Wagon,Gray,Brugge,450 kW (612 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/rs4/audi-rs4-2019-vente-507486?
"39,790 EUR",Mazda,Cx-5,2.0,"5,000 km",1998,Petrol,6,Crossover,Black,Halen,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0527101/
"28,999 EUR",Nissan,Qashqai,1.3,"18,850 km",2022,Petrol,8,Crossover,Blue,Keerbergen,104 kW (141 HP),Manual,https://www.autogids.be/detail-id--9456276--nissan-tekna-2wd-mild-hybrid-140-cold-pack-design-pac/tweedehands.html
"92,950 EUR",Bmw,X7,40d xDrive,"35,551 km",2023,Diesel,8,Suv,Black,Kortrijk,157 kW (214 HP),Automatic,https://www.autogids.be/detail-id--9531239--bmw-xdrive-40d-m-sport-7-zit-sky-lounge-harmank/tweedehands.html
"114,950 EUR",Porsche,Taycan,,"14,300 km",2022,Electric,6,Sedan,Black,Izegem,284 kW (386 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0411709/
"129,995 EUR",Porsche,911,3.0,"17,701 km",2019,Petrol,,Coupe,Black,Kuurne,335 kW (456 HP),Automatic,https://www.autogids.be/detail-id--9516266--porsche-992-carrera-s-pano-dak-sportuitlaat-pdls/tweedehands.html
"28,850 EUR",Bmw,4 Series,,"65,240 km",2019,Diesel,6,Coupe,Black,Hasselt,121 kW (165 HP),Automatic,https://www.autogids.be/detail-id--9454715--bmw-da-adblue-coupe-luxury-pack-business/tweedehands.html
"31,990 EUR",Audi,A6,2.0 TDI,"70,000 km",2019,Diesel,6,Sedan,Black,Oostkamp,204 kW (277 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a6/audi-a6-2019-vente-560828?
"28,850 EUR",Jaguar,E-Pace,2.0,"82,415 km",2018,Petrol,6,Suv,Black,Rotselaar,134 kW (182 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-e-pace-diesel-0130869/
"69,900 EUR",Bmw,Ix3,,"6,000 km",2024,Electric,6,Suv,Black,Huy,212 kW (288 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-ix3-electrique-0565504/
"49,995 EUR",Tesla,Model X,electro,"180,000 km",2016,Electric,7,Suv,Red,Harelbeke,575 kW (782 HP),Automatic,https://www.autogids.be/detail-id--9401600--tesla-x-p90d-gratis-laden-full-self-driving7pl-4x4/tweedehands.html
"30,950 EUR",Ford,Focus,2.3 EcoBoost,"21,200 km",2020,Petrol,6,Wagon,Orange,Machelen,208 kW (283 HP),Automatic,https://www.autogids.be/detail-id--9558114--ford-2-3-ecoboost-st-automaat-adaptieve-cc-came/tweedehands.html
"17,495 EUR",Ford,S-Max,2.0,"111,949 km",2018,Diesel,6,Mpv,Black,Brugge,89 kW (121 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-s-max-diesel-0537873/
"19,995 EUR",Ford,S-Max,2.0,"106,409 km",2018,Diesel,6,Mpv,Blue,Brugge,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9540872--ford-2-0tdci-business-class-powershift-navi-7-plaat/tweedehands.html
"39,900 EUR",Mercedes Benz,C-Class,220 D,"37,000 km",2021,Diesel,6,Coupe,Silver,Overpelt,144 kW (196 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-220-diesel-0504741/
"46,999 EUR",Hyundai,Ioniq 5,,"7,025 km",2023,Electric,,Crossover,Gray,Roeselare,242 kW (329 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-ioniq-5-electrique-0553811/
"141,000 EUR",Audi,Rsq8,4.0,"11,250 km",2023,Petrol,6,Suv,Silver,Wevelgem,447 kW (608 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-rs-q8-essence-0553149/
"27,990 EUR",Audi,A3,2.0,"81,242 km",2021,Diesel,6,Sedan,Gray,Tongeren,86 kW (117 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-diesel-0455069/
"18,900 EUR",Abarth,595,1.4 competizione,"67,879 km",2020,Petrol,6,Coupe,Gray,Ternat,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/abarth-595-competizione-essence-0564820/
"59,495 EUR",Mercedes Benz,Eqe,350,"21,200 km",2022,Electric,8,Sedan,Black,Izegem,217 kW (295 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqe-350-electrique-0481823/
"45,990 EUR",Audi,Q5,2.0,"52,223 km",2020,Diesel,6,Suv,Blue,Hasselt,141 kW (192 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0550395/
"36,990 EUR",Bmw,2 Series,,"43,759 km",2021,Petrol,6,Sedan,Blue,Vilvoorde,228 kW (310 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-2-essence-0416168/
"144,500 EUR",Bmw,I7,,"15,566 km",2022,Electric,6,Sedan,Blue,Mechelen,404 kW (549 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-i7-electrique-0420891/
"28,877 EUR",Ford,Galaxy,1.5,"67,734 km",2019,Petrol,6,Mpv,Gray,Rotselaar,123 kW (167 HP),Manual,https://www.vroom.be/fr/voitures-occasion/ford-galaxy-essence-0482076/
"89,990 EUR",Land Rover,Discovery,3.0,"3,500 km",2024,Diesel,6,Suv,Gray,Merelbeke,223 kW (303 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0440477/
"14,990 EUR",Hyundai,Kona,1.6,"98,613 km",2019,Diesel,6,Crossover,Black,Eupen,85 kW (116 HP),Manual,https://www.vroom.be/fr/voitures-occasion/hyundai-kona-diesel-0389185/
"23,500 EUR",Nissan,Qashqai,1.2,"87,481 km",2018,Petrol,,Crossover,Silver,Sint Gillis Waas,85 kW (116 HP),Automatic,https://www.autogids.be/detail-id--9437144--nissan-2420-n-connecta/tweedehands.html
"52,500 EUR",Audi,Q8,3.0,"105,419 km",2018,Diesel,6,Suv,Black,Genk,213 kW (290 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-diesel-0524598/
"48,900 EUR",Bmw,5 Series,520d,"34,381 km",2022,Diesel,6,Wagon,Blue,Mechelen,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-520-diesel-0389671/
"23,990 EUR",Honda,Hr-V,1.5,"11,636 km",2020,Petrol,6,Crossover,White,Vilvoorde,96 kW (131 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/honda-hr-v-essence-0543559/
"35,995 EUR",Bmw,1 Series,,"23,329 km",2023,Petrol,6,Hatchback,Gray,Brugge,132 kW (180 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-120-essence-0528881/
