Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Volkswagen,T-Cross,2022,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1065/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=8,1.0 tsi,6,20202,22700,82.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/791/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,43304,9100,101.0,Switzerland
Bmw,X1,2023,Petrol,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1128/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,6,43304,3200,101.0,Switzerland
Audi,Tt,2023,Petrol,Coupe,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1111/audi-tt-coupe-ttrs-quattro-s-tronic-automat-400ps?&page_number=1,2.5,6,69204,8600,298.0,Switzerland
Bmw,3 Series,2023,Petrol,Sedan,Black,NA,Automatic,https://www.azw.ch/de/angebot/876/bmw-330i-xdrive-m-sport-steptronic-automat?&page_number=2,330i,6,47448,22100,182.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1149/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23620,33300,97.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,Black,NA,Automatic,https://www.azw.ch/de/angebot/1067/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23620,29300,97.0,Switzerland
Opel,Mokka,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1027/opel-mokka-1-2-direct-injection-turbo-gs-line-automat?&page_number=5,1.2,6,23310,16300,96.0,Switzerland
Škoda,Kamiq,2020,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1168/skoda-kamiq-1-6-tdi-style-dsg-automat?&page_number=6,1.6 TDI,6,24760,22200,85.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,18200,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,17700,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/849/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,39160,17300,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/850/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,40196,14600,398.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,41232,13500,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/841/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,45480,18600,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,46516,15900,398.0,Switzerland
Tesla,Model Y,2022,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/777/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,6,46930,12500,398.0,Switzerland
Volkswagen,Arteon,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,6,36778,19100,141.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,6,36052,9,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,79,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1177/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,17,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1174/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,14,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1179/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,12,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1175/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,24656,11,82.0,Switzerland
Volkswagen,Passat,2021,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/993/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,3.6,6,22584,49800,111.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/980/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,29836,14500,111.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/981/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,29836,13100,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1028/vw-taigo-1-5-tsi-r-line-dsg-automat-40?&page_number=9,1.5 tsi,6,28800,7,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1075/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,6,32944,8400,111.0,Switzerland
Audi,Q2,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1107/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,6,26728,41500,111.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/899/tesla-model-3-long-range-dual-motor-awd-498ps-automat?&page_number=7,0.0 long range,6,37814,19800,371.0,Switzerland
Audi,Q3,2016,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1109/audi-q3-1-4-tfsi-design-s-tronic-automat?&page_number=1,1.4 TFSI,6,19580,78400,111.0,Switzerland
Cupra,Formentor,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1190/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,4400,231.0,Switzerland
Volkswagen,Golf,2021,Petrol,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1086/vw-golf-2-0-gti-tsi-245ps-dsg-automat?&page_number=8,2.0 GTI,6,29526,26500,182.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/938/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,26728,39400,96.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/936/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,27764,16100,96.0,Switzerland
Mazda,Cx-5,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1088/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,6,30872,9900,123.0,Switzerland
Volkswagen,Passat Alltrack,2021,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/253/vw-passat-alltrack-2-0-tdi-4motion-dsg-aut?&page_number=8,2.0 TDI,6,30872,36500,141.0,Switzerland
Audi,Sq2,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/398/audi-sq2-tfsi-quattro-301ps-s-tronic-automat-33?&page_number=1,2.0 TFSI S Tronic,6,50246,7,224.0,Switzerland
Volkswagen,Golf,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1115/vw-golf-variant-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 R,6,32634,23400,142.0,Switzerland
Audi,S5,2022,Petrol,Convertible,NA,NA,Automatic,https://www.azw.ch/de/angebot/1167/audi-s5-cabriolet-3-0-tfsi-quattro-tiptronic-automat-354ps?&page_number=1,3.0 tfsi,6,57498,23900,263.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1150/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23620,30900,97.0,Switzerland
Mercedes Benz,Eqc,2023,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/116/mercedes-eqc-400-amg-line-4matic-408ps-automat?&page_number=4,400,6,51282,20900,304.0,Switzerland
Volkswagen,Arteon,2022,Petrol,Wagon,Silver,NA,Automatic,https://www.azw.ch/de/angebot/1185/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=7,2.0 TSI,6,37814,4200,141.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1092/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,11700,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1093/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,10500,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1098/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,10400,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Black,NA,Automatic,https://www.azw.ch/de/angebot/1094/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,10300,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1100/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,9900,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1099/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,9600,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1096/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,34706,8900,231.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Gray,NA,Automatic,https://www.azw.ch/de/angebot/1097/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35742,4900,231.0,Switzerland
