Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"29,569 EUR",Land Rover,Discovery,2.0,"92,671 km",2019,,Suv,Black,Constanţa,98 kW (133 HP),Automatic,https://www.leasingsh.ro/land-rover-discovery-2019-LAN42360.html,
"10,350 EUR",Bmw,X1,,"230,000 km",2013,,Suv,Gold,Iaşi,106 kW (144 HP),Manual,https://anunturi-auto.4tuning.ro/masini-second/bmw/x1/bmw-x1-euro-5-2013-88280839.html,5
"10,950 EUR",Renault,Captur,1.5 dCi,"117,283 km",2015,Diesel,Suv,Gray,Constanţa,67 kW (91 HP),,https://www.leasingsh.ro/renault-captur-2015-REN53357.html,
"13,950 EUR",Dacia,Duster,1.5 dCi,"157,572 km",2019,Diesel,Suv,Blue,Constanţa,81 kW (110 HP),,https://www.leasingsh.ro/dacia-duster-2019-DAC52866.html,
"14,750 EUR",Dacia,Duster,1.5 dCi,"133,378 km",2019,Diesel,Suv,Blue,Roman,81 kW (110 HP),,https://www.leasingsh.ro/dacia-duster-2019-DAC52867.html,
"14,250 EUR",Dacia,Duster,1.5 dCi,"119,641 km",2019,Diesel,Suv,Blue,Constanţa,82 kW (112 HP),,https://www.leasingsh.ro/dacia-duster-2019-DAC52876.html,
"15,250 EUR",Dacia,Duster,1.5 dCi,"104,805 km",2019,Diesel,Suv,Blue,Bucureşti,82 kW (112 HP),,https://www.leasingsh.ro/dacia-duster-2019-DAC52878.html,
"8,490 EUR",Volkswagen,Touran,2.0,"290,000 km",2012,Diesel,Mpv,,Ploieşti,104 kW (141 HP),Manual,https://carzz.ro/volkswagen-touran-dsg-7-locuri-20-diesel-140-cp-euro-5-anunt_3418413.html,5
"20,450 EUR",Peugeot,5008,1.5,"125,333 km",2019,Diesel,Mpv,White,Constanţa,96 kW (131 HP),,https://www.leasingsh.ro/peugeot-5008-2019-PEU51795.html,
"14,750 EUR",Dacia,Duster,1.5 dCi,"115,198 km",2020,Diesel,Suv,Gray,Bucureşti,85 kW (116 HP),,https://www.leasingsh.ro/dacia-duster-2020-DAC53204.html,
"10,289 EUR",Citroen,C3 Aircross,1.6,"146,992 km",2019,Diesel,Suv,White,Constanţa,74 kW (101 HP),Manual,https://www.anuntul.ro/anunt-autoturism-citroen-c3-aircross-m3XDRK#z3NBDd%20,
"83,235 EUR",Ineos,Grenadier,3.0,"24,714 km",2023,Diesel,Suv,,Timişoara,185 kW (252 HP),Automatic,https://bavariaused.com/produs/ineos-grenadier-190453/,6
"80,639 EUR",Ineos,Grenadier,3.0,"6,400 km",2023,Diesel,Suv,,Sibiu,185 kW (252 HP),Automatic,https://bavariaused.com/produs/ineos-grenadier-190611/,6
"79,962 EUR",Ineos,Grenadier,3.0,"5,250 km",2023,Diesel,Suv,,Otopeni,185 kW (252 HP),Automatic,https://bavariaused.com/produs/ineos-grenadier-190614/,6
