Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"5,286 EUR (59,900 SEK)",Mercedes Benz,C-Class,,"281,640 km",2024,Diesel,Hatchback,Silver,Kristianstad,115 kW (156 HP),Manual,https://www.bytbil.com/skane-lan/personbil-c-180t-kompressor-avantgarde-besiktigad-8972-17352910
"5,286 EUR (59,900 SEK)",Volvo,S60,2.4,"207,500 km",2006,Petrol,Sedan,Black,Sala,125 kW (170 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-s60-2-4-kinetic-euro-4-8543-17467123
"61,691 EUR (699,000 SEK)",Land Rover,Range Rover Sport,2.0,"96,000 km",2019,Hybrid,Suv,Black,Helsingborg,221 kW (301 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-range-rover-sport-rover-sport-p400e-automat-hse-400hk-momsbil-1597-17251304
"34,402 EUR (389,800 SEK)",Volkswagen,Tiguan,2.0,"74,440 km",2019,Diesel,Crossover,White,Stockholm,140 kW (190 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-tiguan-allspace-r-line-4m-pano-d-varm-7-sits-moms-9370-17379281
"7,934 EUR (89,900 SEK)",Volvo,S80,2.4 D5,"160,020 km",2010,Diesel,Sedan,Black,Varberg,136 kW (185 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-s80-d5-geartronic-summum-euro-4-9697-17553259
"184,900 EUR",Ford,Focus,1.0 EcoBoost,"36,000 km",2020,Petrol,Hatchback,White,Kungsbacka,,Manual,https://www.blocket.se/annons/1001076601
"9,699 EUR (109,900 SEK)",Volvo,V70,1.6,"254,150 km",2011,Diesel,Wagon,Black,Stockholm,84 kW (114 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-v70-1-6-drive-summum-fri-hemlev-garanti-drag-led-ramp-9543-17569400
"389,900 EUR",Subaru,Forester,2.0 e-Boxer,100 km,2024,Petrol,Suv,White,Arlanda,110 kW (150 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-forester-e-boxer-lineartronic-euro-6-active-demobil-5272-17419153
"359,000 EUR",Audi,Q7,3.0 TDI,"173,000 km",2016,Diesel,Suv,Black,Are,200 kW (272 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-q7-3-0-tdi-272hk-quattro-s-line-panorama-matrix-bose-8553-17575347
"15,427 EUR (174,800 SEK)",Volvo,Xc60,2.4 D5 AWD,"209,210 km",2023,Diesel,Crossover,White,Uppsala,158 kW (215 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-xc60-d5-awd-215hk-summum-d-varm-voc-navi-b-kam-pano-11576-17541452
"9,964 EUR (112,900 SEK)",Volkswagen,Touran,1.4 TSI,"163,700 km",2012,Petrol,Mpv,White,Sigtuna,103 kW (140 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-touran-1-4tsi-drag-gps-m-varmare-b-kamera-kampanj-7926-17359885
"52,062 EUR (589,900 SEK)",Mercedes Benz,S-Class,350 CDI,"78,000 km",2018,Diesel,Sedan,Black,Bro,210 kW (286 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-s-350-d-9g-tronic-286hk-sveriges-billigaste-10008-14724110
"6,169 EUR (69,900 SEK)",Volvo,V60,2.0 T,"251,580 km",2010,Petrol,Wagon,Black,Stockholm,149 kW (203 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-v60-2-0t-203hk-momentum-8711-17581090
