Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Alfa Romeo,Giulietta,1.6 JTDm,2012,Diesel,Hatchback,Black,Maia,Manual,https://www.motores24h.pt/alfa-romeo-giulietta-1.6-jtdm-progression-carro-65b7cfd71126f40d7ed547c7/,5,9850,184394,78.0,Portugal
Seat,Leon,1.6 TDI,2019,Diesel,Hatchback,Black,Viseu,Manual,https://www.motores24h.pt/seat-leon-st-1.6-tdi-style-s-s-carro-655f66201126f4e164ff67b1/,6,15480,137000,86.0,Portugal
Renault,Megane,1.5 dCi,2017,Diesel,Coupe,Gray,Maia,Manual,https://www.motores24h.pt/renault-megane-1.5-dci-intens-carro-6595469e1126f4b664196e79/,6,14900,117635,82.0,Portugal
Nissan,Leaf,Tekna,2017,Electric,Hatchback,White,Viseu,Automatic,https://www.motores24h.pt/nissan-leaf-tekna-30-kwh-carro-647b142e1126f45e1fc93e13/,6,12450,38000,81.0,Portugal
Bmw,1 Series,116d,2011,Diesel,Coupe,Black,Viseu,Manual,https://www.motores24h.pt/bmw-serie-1-116-d-carro-65c265f11126f4f77b0b49ac/,5,11750,165000,86.0,Portugal
Bmw,1 Series,118d,2012,Diesel,Coupe,Black,Maia,Manual,https://www.motores24h.pt/bmw-serie-1-118-d-pack-m-carro-659541a01126f4bf54196e7b/,5,14800,155267,106.0,Portugal
Porsche,Macan,2.0,2018,Petrol,Suv,Gray,Viseu,Manual,https://www.motores24h.pt/porsche-macan-carro-64524f5f1126f43c18e869f4/,6,49499,105000,187.0,Portugal
Peugeot,508,2.0 HDi,2012,Diesel,Sedan,Black,Leiria,Automatic,https://www.motores24h.pt/peugeot-508-sw-2.0-hdi-allure-am6-carro-6596afa51126f48b47bc866a/,5,10200,264000,121.0,Portugal
Volvo,V40,1.6,2014,Diesel,Wagon,White,Setúbal,Manual,https://www.motores24h.pt/volvo-v40-1.6-d2-kinetic-carro-65bce9bc1126f4a64d211749/,6,12650,201023,85.0,Portugal
Renault,Zoe,ZE 50,2020,Electric,Mini,White,Sintra,Automatic,https://www.motores24h.pt/renault-zoe-limited-ze-50-r110-carro-65a81c681126f497462f4616/,6,19950,30000,81.0,Portugal
Alfa Romeo,Mito,1.2 JTD,2012,Diesel,Hatchback,Gray,Porto,Manual,https://www.motores24h.pt/alfa-romeo-mito-1.3-jtd-progression-5kq-carro-65b041f61126f46f03db571a/,5,6850,212000,70.0,Portugal
Mercedes Benz,Slk-Class,200,1999,Petrol,Convertible,Blue,Vila Nova De Gaia,Manual,https://www.motores24h.pt/mercedes-classe-slk-200-carro-65d5d5401126f46a67b6f10f/,2,8650,125000,101.0,Portugal
Ford,Maverick,2.8,1994,Petrol,Suv,Gray,Tomar,Manual,https://www.motores24h.pt/ford-maverick-2.7-td-glx-carro-4f2a6aa973143a036a9f0100/,1,3990,260000,74.0,Portugal
Renault,Twingo,1.2,2012,Petrol,Mini,White,Sintra,Manual,https://www.motores24h.pt/renault-twingo-1.2-16v-city-carro-5d52cd971126f4636f6cae34/,5,6000,70000,55.0,Portugal
Fiat,Bravo,1.2,1999,Petrol,Hatchback,Green,Tomar,Manual,https://www.motores24h.pt/fiat-bravo-1.2-16v-80cv-carro-4f32a82673143a86132e0000/,2,2290,84000,59.0,Portugal
Nissan,Qashqai,1.3 DIG-T,2019,Petrol,Crossover,Black,Porto,Manual,https://www.abmotor.pt/carros/Nissan/Qashqai/484835/,6,22750,44000,104.0,Portugal
Citroen,C3,1.2 puretech,2020,Petrol,Hatchback,Gray,Porto,Manual,https://www.abmotor.pt/carros/Citro%C3%ABn/C3/484447/,6,13950,61000,61.0,Portugal
Toyota,Proace,1.5,2021,Diesel,Van,White,Queluz,Manual,https://www.abmotor.pt/carros/Toyota/Proace%20verso/478142/,6,38900,126078,89.0,Portugal
Volkswagen,Polo,1.4,2016,Diesel,Hatchback,White,Lisboa,Manual,https://auto.sapo.pt/carro-usado/65df7de415151c763e07f32c/volkswagen-polo,6,10990,118534,55.0,Portugal
Seat,Arona,1.6 TDI,2018,Diesel,Crossover,Gray,Lisboa,Manual,https://www.abmotor.pt/carros/Seat/Arona/483952/,6,16490,104151,70.0,Portugal
Bmw,X3,D,2015,Diesel,Suv,Black,Lisboa,Automatic,https://auto.sapo.pt/carro-usado/653787164a42a62f58ddc53f/bmw-x3,6,26750,210000,141.0,Portugal
Citroen,C4 Cactus,1.6,2015,Diesel,Hatchback,Blue,Sintra,Automatic,https://auto.sapo.pt/carro-usado/654fa1264b6c32f3a9d590bb/citroen-c4-cactus-16-e-hdi-shine-etg6,6,13900,139138,68.0,Portugal
Mazda,Cx-3,1.8 SKYACTIV-D,2019,Diesel,Crossover,Red,Sintra,Manual,https://auto.sapo.pt/carro-usado/656efbd47857693ab59c1db1/mazda-cx-3-15-skyactiv-d-excellence-navi,6,19900,62825,85.0,Portugal
Seat,Leon,1.0,2020,Petrol,Hatchback,Blue,Braga,Manual,https://auto.sapo.pt/carro-usado/65e19cdc7c1b958679a594d7/seat-leon-10-ecotsi-style-ss,6,17990,33000,85.0,Portugal
Nissan,Qashqai,1.5 dCi,2020,Diesel,Crossover,Gray,Braga,Automatic,https://auto.sapo.pt/carro-usado/6565ae39117dc52f2071e1ac/nissan-qashqai,6,24990,58000,85.0,Portugal
Opel,Grandland X,1.5,2022,Diesel,Suv,Gray,Braga,Automatic,https://auto.sapo.pt/carro-usado/65bbb6752f51324778a4840a/opel-grandland,6,27990,29000,96.0,Portugal
Nissan,Micra,1.0,2020,Petrol,Mini,Black,Braga,Manual,https://auto.sapo.pt/carro-usado/65b91192a42675c2dee27fe0/nissan-micra,6,15990,41000,74.0,Portugal
