Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,A4 Allroad,2.0 40 TDI,2023,Diesel,Crossover,Gray,Rain,Automatic,https://www.instamotion.com/auto/Y3E4-Q61W-POMY,53330,18000,150.0,6,Germany
Mazda,Cx-5,2.0,2023,Petrol,Crossover,Beige,Düren,Manual,https://www.moll-automobile.de/fahrzeug/384934929/Pkw/mazda-cx-5-e-skyactiv-g-165ps-6gs-fwd-newground-navi-l,29890,16761,123.0,6,Germany
Mercedes Benz,Sl-Class,500 AMG,2007,Petrol,Convertible,Black,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1373120218?num_on_page=4&page=79&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,35900,38657,285.0,4,Germany
Audi,Q3,2.0 35 TDI,2021,Diesel,Crossover,Gray,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1398707735?num_on_page=2&page=114&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,35920,48000,110.0,6,Germany
Bmw,X3,xDrive20d,2018,Diesel,Suv,Gold,Rain,Automatic,https://www.12gebrauchtwagen.de/c/34/1413765396?num_on_page=2&page=52&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,32640,72800,140.0,6,Germany
Audi,A4 Allroad,2.0 45 TFSI,2022,Petrol,Crossover,Gray,Borna,Automatic,https://www.12gebrauchtwagen.de/c/16/1424255234?num_on_page=4&page=45&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,42480,18790,195.0,6,Germany
Audi,A4 Allroad,2.0 45 TFSI quattro,2022,Petrol,Crossover,Gray,Wiesbaden,Automatic,https://www.12gebrauchtwagen.de/c/16/1424313711?num_on_page=3&page=54&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,40680,13870,195.0,6,Germany
Audi,Q5,2.0 40 TDI,2024,Diesel,Suv,Green,Rain,Automatic,https://www.instamotion.com/auto/JUM3-KD92-3LX7,63690,3230,150.0,6,Germany
Honda,Cr-V,2.0,2019,Hybrid,Suv,Red,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/cr-v-20-i-mmd-hybrid-4wd-executive-hud-acc-led/variant-v3c8kydw,23800,108665,137.0,6,Germany
Audi,A4,3.0 TDI,2017,Diesel,Wagon,White,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424757726?num_on_page=2&page=106&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,29900,52291,160.0,6,Germany
Ferrari,F355,3.5,1999,Petrol,Convertible,Red,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424764103?num_on_page=2&page=5&title=Ferrari+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,108900,55000,280.0,2,Germany
Jaguar,F-Pace,2.0,2019,Diesel,Crossover,Black,Hamburg,Automatic,https://www.moll-automobile.de/fahrzeug/383199339/Pkw/jaguar-f-pace-r-sport-awd-20d-ahk-abnehmbar-navi-sounds,29980,121600,133.0,6,Germany
Audi,Q2,1.5 35 TFSI,2022,Petrol,Crossover,Black,Rain,Automatic,https://www.instamotion.com/auto/HWGS-AKB7-FL5W,29351,24650,110.0,6,Germany
Volkswagen,Tiguan,2.0,2020,Diesel,Crossover,Black,Blaubeuren,Manual,https://www.12gebrauchtwagen.de/c/16/1418977220?num_on_page=3&page=26&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24999,67000,111.0,6,Germany
Audi,A3,1.0,2018,Petrol,Sedan,Blue,Villingen Schwenningen,Manual,https://www.12gebrauchtwagen.de/c/4/1424503027?num_on_page=3&page=83&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,18900,89058,85.0,6,Germany
