Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Peugeot,Expert,2.0,2018,Diesel,Van,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l2-2-0-bluehdi-ultimate-eat6-180hk-van-6g-aut/66da7be8-9dd1-4778-80fb-77ebaa5a752a,6,24127,70000,134.0,Denmark
Ford,C-Max,1.5,2017,Diesel,Mpv,Black,Vodskov,Manual,https://seek4cars.net/biler-til-salg/ford/c-max/tdci-105-business-eco/64b742cc-6969-42c6-befa-23bc4180d8c9,6,18078,132000,78.0,Denmark
Citroen,C4 Spacetourer,1.6 BlueHDI,2018,Diesel,Mpv,Gray,Vodskov,Automatic,https://seek4cars.net/biler-til-salg/citroen/grand-c4-spacetourer/bluehdi-120-intensive-eat6-7prs/9fb3c88d-db81-4f73-a515-ae2878719a55,6,24113,157000,89.0,Denmark
Audi,Q2,1.6 TDI,2017,Diesel,Crossover,Black,Lunderskov,Automatic,https://www.bilpriser.dk/car.do?carid=2601413,6,25468,136000,86.0,Denmark
Hyundai,I10,1.0,2020,Petrol,Mini,Blue,Vodskov,Manual,https://seek4cars.net/biler-til-salg/hyundai/i10/mpi-advanced/eeaa699c-86b3-4320-aed8-74a22ce776d1,6,14725,45000,49.0,Denmark
Opel,Mokka,1.2,2022,Petrol,Crossover,White,Aalborg,Manual,https://seek4cars.net/biler-til-salg/opel/mokka/1-2-puretech-edition-100hk-5d-6g/72e281c6-473f-4daf-a319-877385a6d479,6,26809,10000,74.0,Denmark
Peugeot,5008,1.5 bluehdi,2018,Diesel,Mpv,Gray,Aalborg,Manual,https://www.bilpriser.dk/car.do?carid=2591754,6,30162,84000,96.0,Denmark
Volkswagen,Touran,1.6 TDI,2017,Diesel,Mpv,White,Varde,Manual,https://www.guloggratis.dk/annonce/504878c8-67bb-421d-8387-955813517751,6,29491,81000,85.0,Denmark
Toyota,Aygo,1.0,2018,Petrol,Mini,Red,Aalborg,Manual,https://seek4cars.net/biler-til-salg/toyota/aygo/1-0-vvt-i-x-cite-69hk-5d/d62c39f6-1797-41a8-9d10-6f1a5d9f42dc,6,11654,68000,51.0,Denmark
Peugeot,2008,1.2 puretech,2021,Petrol,Crossover,Red,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-allure-pack-eat8-130hk-5d-8g-aut/89a3a4a0-4ff3-4c24-a823-8adc2fd5f9f5,6,31503,43000,96.0,Denmark
Ford,Kuga,2.5 turbo,2023,Petrol,Suv,Red,Hundested,Automatic,https://seek4cars.net/biler-til-salg/ford/kuga/phev-st-line-x-cvt/2ec6131f-80bb-4a7b-8130-f1fd515c1075,6,44230,11000,167.0,Denmark
Volvo,Xc90,2.0 T8 Twin-Engine,2019,Diesel,Suv,Gray,Tørring,Automatic,https://www.guloggratis.dk/annonce/0d4eaeb4-5658-4a13-a5f5-a81bd59595e8,6,81796,144000,175.0,Denmark
Opel,Crossland X,1.2,2023,Petrol,Suv,Silver,Aalborg,Manual,https://seek4cars.net/biler-til-salg/opel/crossland/1-2-puretech-gs-110hk-5d-6g/7e394cd3-5a18-4b82-8bb0-c691cd621da6,6,28821,9000,82.0,Denmark
Volkswagen,Touran,1.5 tsi,2020,Petrol,Mpv,Black,Bredsten,Automatic,https://seek4cars.net/biler-til-salg/vw/touran/tsi-150-comfortline-dsg-7prs/e821da73-1865-4c7f-adf0-ccb84217170f,6,37551,71000,111.0,Denmark
Peugeot,Expert,2.0,2020,Diesel,Van,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l3-2-0-bluehdi-premium-eat8-122hk-van-8g-aut/2bce30b4-361e-4a69-8873-ddde2a56f56e,6,24127,58000,90.0,Denmark
Peugeot,Expert,2.0,2020,Diesel,Van,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/expert/l2-2-0-bluehdi-premium-pro-eat8-122hk-van-8g-aut/9c3dcb7e-926a-40a6-b75c-78b8f6e8f5e0,6,29491,21000,90.0,Denmark
Mercedes Benz,E-Class,250,2022,Diesel,Coupe,White,Fredericia,Manual,https://www.guloggratis.dk/annonce/33aa32c8-2a20-417a-a712-c000226dc046,6,49622,61000,111.0,Denmark
Fiat,Ducato,2.3 JTD,2015,Diesel,Van,White,Horsens,Manual,https://www.autouncle.dk/en/d/3076519-used-fiat-ducato-35-kolebil-lift-2-3-mjt-150hk-ladv-chas-2015,6,20103,238000,111.0,Denmark
Volkswagen,Polo,2.0,2018,Petrol,Hatchback,Red,Gadstrup,Automatic,https://www.guloggratis.dk/annonce/ae39e96e-5132-49f2-81ee-9ddad9e19016,6,32858,111000,149.0,Denmark
Opel,Grandland X,1.5,2022,Diesel,Suv,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/opel/grandland/1-5-bluehdi-elegance-eat8-130hk-5d-8g-aut/f05afc5f-2f26-407a-ac67-cabcf55618b1,6,40220,91000,96.0,Denmark
Mercedes Benz,E-Class,250,2017,Petrol,Coupe,White,Fredericia,Automatic,https://www.guloggratis.dk/annonce/9d2f69a9-c30c-4b2d-a3e4-d05cbfe8e2d2,6,49622,102000,137.0,Denmark
Peugeot,2008,1.5 bluehdi,2019,Diesel,Crossover,Gray,Aalborg,Manual,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-5-bluehdi-prestige-100hk-5d/9a168f46-e0de-48b7-ad11-1141039ccdd3,6,20774,56000,74.0,Denmark
Mercedes Benz,C-Class,200 D,2017,Petrol,Coupe,White,Fredericia,Automatic,https://www.guloggratis.dk/annonce/37dc55a8-2b92-4f4e-8255-79bf50f10c56,6,44257,125000,182.0,Denmark
Volkswagen,Tiguan,1.5 tsi,2018,Petrol,Crossover,Red,Vojens,Automatic,https://www.guloggratis.dk/annonce/b4792734-ac61-4695-bf12-d851eaec3d2a,6,38879,128000,111.0,Denmark
Škoda,Kodiaq,1.5 act dsg tsi,2020,Petrol,Suv,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/skoda/kodiaq/1-5-tsi-act-style-dsg-150hk-5d-7g-aut/0f2cad6d-eb5a-483a-b8d5-d84b26213aca,6,46926,65000,111.0,Denmark
Citroen,C4 Picasso,1.6 e-HDi,2013,Diesel,Mpv,Silver,Vodskov,Manual,https://www.guloggratis.dk/annonce/3ed97ef1-1087-4c1b-b9d8-11d7b1a46a3c,5,7362,250000,85.0,Denmark
Peugeot,2008,1.2 puretech,2022,Petrol,Crossover,Gray,Give,Manual,https://www.guloggratis.dk/annonce/57d4bd23-3b33-4c7b-958e-484eb21bfdb7,6,33515,18000,96.0,Denmark
Peugeot,2008,1.2 puretech,2023,Petrol,Crossover,Black,Give,Automatic,https://www.guloggratis.dk/annonce/16c26908-cf0f-4113-8aa0-6b00d1f7e250,6,34856,7000,96.0,Denmark
Citroen,C3,1.2 puretech,2019,Diesel,Hatchback,Green,Give,Manual,https://www.guloggratis.dk/annonce/2e0ce4f0-60ee-4b4e-a4bc-4cc3333b8599,6,15959,68000,74.0,Denmark
Mercedes Benz,Eqb,250,2022,Electric,Suv,Gray,Lunderskov,Automatic,https://seek4cars.net/biler-til-salg/mercedes-benz/eqb250/progressive/38bac195-77ce-48d9-a413-9a5c162e977f,6,44914,13000,141.0,Denmark
Opel,Crossland X,1.2,2018,Petrol,Suv,White,Aalborg,Automatic,https://www.bilpriser.dk/car.do?carid=2593762,6,24797,7000,82.0,Denmark
Dacia,Lodgy,1.6 mpi,2014,Petrol,Mpv,Black,Vejen,Manual,https://www.guloggratis.dk/annonce/8e3f29e5-b7b8-4fad-8fac-d98b02c88905,6,10018,145000,61.0,Denmark
Peugeot,2008,1.5 bluehdi,2020,Diesel,Crossover,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-5-bluehdi-allure-pack-eat8-130hk-5d-8g-aut/e0f3933c-8024-4e95-962d-10b39a070717,6,28150,88000,96.0,Denmark
Peugeot,2008,1.5 bluehdi,2020,Diesel,Crossover,White,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-5-bluehdi-edition-210-eat8-130hk-5d-8g-aut/efc70c55-f5fc-49cf-84e5-dff3beff88a1,6,29491,78000,96.0,Denmark
Renault,Captur,1.2 TCe,2016,Diesel,Suv,Gray,Vodskov,Automatic,https://www.guloggratis.dk/annonce/c8e704ce-0058-48c5-b979-890f26a5dfe4,6,13398,117000,67.0,Denmark
Renault,Captur,1.2 TCe,2017,Petrol,Suv,White,Vodskov,Manual,https://www.autouncle.dk/en/d/4521220-used-renault-captur-0-9-energy-tce-intens-90hk-5d-0-9-energy-tce-intens-90hk-5d,6,16482,51000,67.0,Denmark
Audi,A6,2.4 V6 MultiTronic,1997,Petrol,Sedan,NA,Herlev,Manual,https://www.guloggratis.dk/annonce/d7e0c16a-8943-4d89-bb61-2c28283bdfb1,2,4023,218000,123.0,Denmark
Suzuki,S-Cross,1.6,2014,Petrol,Crossover,Black,Holsted,Manual,https://www.guloggratis.dk/annonce/f71580b2-1e67-4e3a-b3b6-ec35fb6b6340,6,11788,185000,89.0,Denmark
Suzuki,S-Cross,1.6,2014,Petrol,Crossover,Brown,Holsted,Manual,https://www.guloggratis.dk/annonce/46d07376-2364-4d56-810a-b4a978436188,6,12056,164000,89.0,Denmark
Peugeot,5008,1.5 bluehdi,2021,Diesel,Mpv,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/5008-/1-5-bluehdi-active-pack-eat8-130hk-5d-8g-aut/4bedf248-eb70-4591-a901-ec5cc6bc49b4,6,44244,44000,96.0,Denmark
Volkswagen,Up!,1.0,2013,Petrol,Mini,Silver,Vodskov,Manual,https://www.autouncle.dk/en/d/4780874-used-vw-up-1-0-mpi-bmt-move-60hk-5d-1-0-mpi-bmt-move-60hk-5d,5,7094,191000,44.0,Denmark
Citroen,C3,1.2 puretech,2013,Diesel,Hatchback,Black,Vejen,Automatic,https://www.guloggratis.dk/annonce/667970ad-08d7-43d3-911c-b6b7b5576ce8,5,8677,116000,52.0,Denmark
Audi,Q5,2.0 hybrid,2021,Hybrid,Suv,Black,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/audi-q5/2196762-dk-audi-q5.html,6,63020,89000,220.0,Denmark
Renault,Captur,1.5 dCi,2015,Petrol,Suv,Orange,Vodskov,Manual,https://www.autouncle.dk/en/d/4762339-used-renault-captur-0-9-tce-expression-energy-90hk-5d-0-9-tce-expression-energy-90hk-5d,6,12056,77000,67.0,Denmark
Opel,Crossland X,1.2,2018,Petrol,Suv,Black,Løgumkloster,Automatic,https://www.autouncle.dk/en/d/4783131-used-opel-crossland-x-crossland-x-1-2-t-innovation-start-stop-110hk-5d-6g-aut-1-2-t-innovation-start-stop-110hk-5d-6g-aut,6,21444,60000,82.0,Denmark
Audi,Q3,1.4 TFSI,2015,Petrol,Crossover,Black,Bogense,Manual,https://www.guloggratis.dk/annonce/210d7816-189d-476d-a9ac-29c4d6d9cd57,6,22115,138000,111.0,Denmark
Volvo,Xc60,2.0,2019,Petrol,Crossover,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/volvo-xc60/1894496-dk-volvo-xc60.html,6,64361,92000,228.0,Denmark
Bmw,5 Series,525d,2006,Petrol,Sedan,Black,Vodskov,Manual,https://www.guloggratis.dk/annonce/ea5e46fe-9cca-4154-b8e2-21364036cdb6,4,7362,310000,131.0,Denmark
Mini,Cooper,1.5,2021,Petrol,Convertible,Beige,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/mini-cooper/2182738-dk-mini-minicooper.html,6,44914,32000,100.0,Denmark
Opel,Mokka,1.2,2022,Petrol,Crossover,White,Aalborg,Manual,https://seek4cars.net/biler-til-salg/opel/mokka/1-2-edition-100hk-5d-6g/99adb1ce-1028-4398-8f51-df2ff8778d8a,6,28821,10000,74.0,Denmark
Audi,Q3,1.4,2022,Petrol,Crossover,Black,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/audi-q3/2402427-dk-audi-q3.html,6,42232,31000,180.0,Denmark
Mazda,3,2.0 SKYACTIV,2013,Petrol,Hatchback,Black,Holsted,Manual,https://www.guloggratis.dk/annonce/43ca2464-ace7-4c23-8a8a-985c9a688187,5,12727,143000,89.0,Denmark
Peugeot,3008,1.5 bluehdi,2021,Diesel,Crossover,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/3008-/1-5-bluehdi-first-selection-eat8-130hk-5d-8g-aut/44f09f9f-e8c8-43a7-bfc8-5ae3d8123ee4,6,37538,102000,96.0,Denmark
Peugeot,508,1.6,2021,Hybrid,Sedan,Gray,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/508-/sw-1-6-plugin-hybrid-allure-pack-eat8-225hk-stc-8g-aut/48aa33ea-6787-4153-a7dd-515ad6287e55,6,33515,70000,167.0,Denmark
Tesla,Model 3,electro,2020,Electric,Sedan,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/tesla-model-3/2115218-dk-tesla-model3.html,6,32174,91000,350.0,Denmark
Bmw,3 Series,325d,2008,Diesel,Sedan,Black,Vejen,Automatic,https://www.guloggratis.dk/annonce/e0e48204-1915-4ba4-a5e1-b69e52a5de05,4,12030,286000,146.0,Denmark
Ford,C-Max,1.6 TDCi,2012,Diesel,Mpv,Black,Holsted,Manual,https://www.guloggratis.dk/annonce/63b0e795-50e2-4c57-bf65-a444556b01af,5,8033,268000,70.0,Denmark
Hyundai,Kona,electric,2021,Electric,Crossover,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/hyundai-kona/2293193-dk-hyundai-kona.html,6,30832,15000,150.0,Denmark
Hyundai,Kona,electric,2022,Electric,Crossover,White,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/hyundai-kona/2349655-dk-hyundai-kona.html,6,32174,40000,150.0,Denmark
Volvo,V70,2.4,2023,Diesel,Wagon,Beige,Vejen,Automatic,https://www.guloggratis.dk/annonce/66f68999-4d0e-4996-bad5-bb3bc4b04543,6,16053,231000,134.0,Denmark
Ford,S-Max,2.0 EcoBlue,2020,Diesel,Mpv,Black,Varde,Automatic,https://www.guloggratis.dk/annonce/ee18ebf2-7d92-44e6-a032-e041ed7f6e40,6,38987,150000,141.0,Denmark
Volvo,C70,2.0,2011,Diesel,Convertible,Black,Lystrup,Automatic,https://bilhandel.dk/volvo-c70-20-d3-base-150hk-cabr-aut/id-1548587,5,16080,218000,150.0,Denmark
Peugeot,3008,1.5 bluehdi,2019,Diesel,Crossover,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/3008-/1-5-bluehdi-allure-eat8-130hk-5d-8g-aut/131fd0db-70ac-4d3a-979a-7ce8b2f5924e,6,27480,77000,96.0,Denmark
Peugeot,2008,1.2 puretech,2023,Petrol,Crossover,Black,Give,Manual,https://www.autouncle.dk/en/d/4652525-used-peugeot-2008-1-2-puretech-active-pack-130hk-5d,6,31503,12000,96.0,Denmark
Nissan,X-Trail,1.6,2014,Diesel,Suv,Black,Vodskov,Manual,https://www.guloggratis.dk/annonce/f87aaa6b-4d41-45f9-897d-db8e0a7f29f5,6,21444,206000,96.0,Denmark
Bmw,7 Series,750i,2010,Petrol,Sedan,Blue,Vejen,Automatic,https://www.guloggratis.dk/annonce/2bfcdf88-9f1a-4950-9015-84343d04d4f5,5,40194,223000,303.0,Denmark
Ford,S-Max,2.0,2014,Diesel,Mpv,Black,Vodskov,Automatic,https://www.guloggratis.dk/annonce/52e77142-e065-41fe-bd0c-c761c15755b9,6,14739,200000,104.0,Denmark
Ford,S-Max,2.0 TDCi,2016,Petrol,Mpv,Black,Vodskov,Automatic,https://www.bilpriser.dk/car.do?carid=2602586,6,25468,167000,178.0,Denmark
Volkswagen,Tiguan,1.4 TSI,2021,Hybrid,Crossover,White,Varde,Automatic,https://www.autouncle.dk/en/d/4759833-used-vw-tiguan-1-4-ehybrid-elegance-dsg,6,38879,175000,182.0,Denmark
Mercedes Benz,Sl-Class,600,1994,Petrol,Convertible,Silver,Langeskov,Automatic,https://www.autouncle.dk/en/d/4319943-used-mercedes-sl600-sl-klasse-r129,1,39563,53611,293.0,Denmark
Volkswagen,Transporter,2.0 TDI,2011,Diesel,Van,Red,Vodskov,Automatic,https://www.guloggratis.dk/annonce/5d79957a-dca7-4aed-8cd0-7d816e3ba72a,5,21444,487000,134.0,Denmark
Renault,Captur,1.2 TCe,2014,Petrol,Suv,Silver,Vodskov,Manual,https://www.guloggratis.dk/annonce/933b5c78-b620-4720-8e2f-e7590a92e299,6,8033,189000,67.0,Denmark
Chevrolet,Corvette,5.7,1976,Petrol,Coupe,White,Langeskov,Automatic,https://www.guloggratis.dk/annonce/3ebd89db-1cea-441a-b339-addce1188dc2,1,24140,1994,134.0,Denmark
Porsche,911 Turbo,3.0,1977,Petrol,Coupe,Black,Langeskov,Manual,https://www.guloggratis.dk/annonce/cc0d9d19-3891-4e08-83a0-35e58e378b0a,1,117350,109000,193.0,Denmark
Toyota,Verso,2.0,2011,Diesel,Mpv,White,Vodskov,Manual,https://www.guloggratis.dk/annonce/42927110-a877-4b47-be1c-e2abc788aea2,5,7362,249000,93.0,Denmark
Škoda,Citigo,1.0 e,2013,Petrol,Mini,Red,Holsted,Manual,https://www.guloggratis.dk/annonce/693d6bb3-83c6-4041-bc57-7f3cec7266e0,5,8033,88000,44.0,Denmark
Toyota,Auris,1.6 VVT-i,2013,Diesel,Hatchback,Silver,Vodskov,Manual,https://www.guloggratis.dk/annonce/f5fd13fa-2baa-40f2-a58b-7f1623e071fa,5,12056,157000,92.0,Denmark
Saic,Mg Tf,1.8,1969,Petrol,Convertible,Yellow,Langeskov,Manual,https://www.guloggratis.dk/annonce/b1f71006-e944-4eab-9331-def0aec34832,1,16764,14175,70.0,Denmark
Mitsubishi,Space Star,1.2,2015,Petrol,Mpv,Black,Holsted,Manual,https://www.guloggratis.dk/annonce/1737cf4d-a0b3-4b94-b47c-1666356afef8,6,6021,178000,59.0,Denmark
Nissan,Micra,1.2,2007,Petrol,Mini,Blue,Vodskov,Manual,https://www.guloggratis.dk/annonce/a0f1671d-b7cf-48f8-b0d5-25b69431ee39,4,5082,174000,65.0,Denmark
Bmw,3 Series,320d,1959,Petrol,Convertible,Blue,Tappernøje,Automatic,https://www.guloggratis.dk/annonce/7367a70c-281c-430e-adfb-d1f6d954c570,1,21458,100,9.0,Denmark
Peugeot,3008,1.6 puretech,2023,Hybrid,Crossover,Black,Aalborg,Automatic,https://seek4cars.net/biler-til-salg/peugeot/3008-/1-6-puretech-plugin-hybrid-allure-sport-eat8-225hk-5d-8g-aut/7cdeab9c-125b-42b5-9aad-81b75f281e92,6,45585,5000,167.0,Denmark
Saab,9-3,2.8,2008,Petrol,Sedan,NA,Risskov,Automatic,https://www.guloggratis.dk/annonce/fde021dc-2a70-4b42-b264-d1028801cb3c,4,20103,273000,208.0,Denmark
Toyota,Auris,1.8 VVT-i,2013,Petrol,Hatchback,Bronse,Randers,Automatic,https://www.guloggratis.dk/annonce/eadc709a-4b02-4d95-8392-309e756de12e,5,17434,26,101.0,Denmark
Citroen,C1,1.2 vti,2017,Petrol,Mini,White,Holsted,Manual,https://www.guloggratis.dk/annonce/1248aa8a-e539-4749-886a-b790b1fbd20e,6,8033,127000,61.0,Denmark
Renault,Twingo,1.0 SCe,2015,Diesel,Mini,White,Ebeltoft,Automatic,https://www.guloggratis.dk/annonce/76bbe291-f132-4568-a855-48ceee7fdb2b,6,7751,45000,65.0,Denmark
Citroen,C1,1.2 vti,2018,Petrol,Mini,White,Holsted,Manual,https://www.guloggratis.dk/annonce/d15d83ed-5470-4fa6-af77-adf0e4079923,6,10045,58000,61.0,Denmark
Fiat,Freemont,2.0 mjet,2014,Diesel,Crossover,NA,Sabro,Automatic,https://www.guloggratis.dk/annonce/0fbabff0-ea06-4fe8-8bec-046da96b89b1,6,13344,237000,126.0,Denmark
Kia,Picanto,1.0,2022,Petrol,Mini,Yellow,Brøndby,Automatic,https://usedcars.leaseplan.com/da-dk/kia-picanto/2357439-dk-kia-picanto.html,6,18762,21000,49.0,Denmark
Hyundai,I10,1.0,2015,Petrol,Mini,Blue,Holsted,Manual,https://www.guloggratis.dk/annonce/465bb8f8-0147-4daf-87a5-4e26ae906c6c,6,8033,131000,49.0,Denmark
Volkswagen,Touran,1.6 TDI,2013,Diesel,Mpv,Red,Vodskov,Manual,https://www.guloggratis.dk/annonce/236b9bc7-472b-45e4-a6d4-0c6570510634,5,10045,271000,78.0,Denmark
Suzuki,Vitara,1.6,2016,Petrol,Suv,Silver,Broby,Manual,https://www.guloggratis.dk/annonce/0e881755-37c5-4c72-83ec-4788a323bf81,6,20103,78921,89.0,Denmark
Dacia,Duster,1.3 TCe,2022,Petrol,Suv,Blue,Broby,Manual,https://www.guloggratis.dk/annonce/7bf7a005-81f7-4bf0-a1d3-4636455841da,6,26809,26000,67.0,Denmark
Ford,Torino,5.8,1975,Petrol,Sedan,Red,Viby,Automatic,https://bilhandel.dk/ford-torino-58-154hk-aut/id-1554878,1,32831,100000,154.0,Denmark
Audi,A4,2.4,2002,Petrol,Convertible,NA,Varde,Manual,https://bilhandel.dk/audi-a4-24-v6-cabriolet/id-1556081,3,13398,164000,170.0,Denmark
