Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"26,418 EUR (25,500 CHF)",Volkswagen,Golf,"25,900 km",2021,,Sedan,,,Automatic,https://www.azw.ch/de/angebot/786/vw-golf-1-4-tsi-phev-gte-plug-in-hybrid-dsg-automat?&page_number=8,1.2 TSI,182 kW (248 HP),6
"25,382 EUR (24,500 CHF)",Volkswagen,Golf,"25,100 km",2021,,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1010/vw-golf-1-4-tsi-phev-gte-plug-in-hybrid-dsg-automat?&page_number=8,1.4 TSI,182 kW (248 HP),6
"19,166 EUR (18,500 CHF)",Seat,Arona,"22,400 km",2021,,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1084/seat-arona-1-0-tsi-eco-fr-dsg-automat?&page_number=6,1.0 tsi,82 kW (112 HP),6
"32,426 EUR (31,300 CHF)",Nissan,Qashqai,"4,200 km",2023,,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1071/nissan-qashqai-1-5-vc-t-e-power-n-connecta-automat?&page_number=5,1.5 VC-T,141 kW (192 HP),6
"30,976 EUR (29,900 CHF)",Audi,A3,"7,100 km",2023,,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1023/audi-a3-sportback-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,111 kW (151 HP),
"29,836 EUR (28,800 CHF)",Audi,A3,"13,100 km",2023,,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1022/audi-a3-sportback-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,111 kW (151 HP),
"25,382 EUR (24,500 CHF)",Volkswagen,Golf,"38,900 km",2022,,Wagon,,,Automatic,https://www.azw.ch/de/angebot/499/vw-golf-variant-1-5-etsi-mhev-life-dsg-aut?&page_number=8,1.5 eTSI,96 kW (131 HP),6
"25,382 EUR (24,500 CHF)",Volkswagen,Golf,"38,600 km",2022,,Wagon,,,Automatic,https://www.azw.ch/de/angebot/500/vw-golf-variant-1-5-etsi-mhev-life-dsg-aut?&page_number=8,1.5 eTSI,96 kW (131 HP),6
"58,844 EUR (56,800 CHF)",Jeep,Wrangler,"19,700 km",2023,,Suv,,,Automatic,https://www.azw.ch/de/angebot/612/jeep-wrangler-2-0-phev-unlimited-sahara-automatic?&page_number=4,2.0,284 kW (386 HP),6
"36,778 EUR (35,500 CHF)",Audi,Q3,"55,400 km",2020,,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1137/audi-q3-sportback-45-tfsi-quattro-s-tronic-automat?&page_number=1,2.0 45 TFSI quattro,171 kW (233 HP),6
"37,814 EUR (36,500 CHF)",Audi,A4,"5,600 km",2023,,Wagon,,,Automatic,https://www.azw.ch/de/angebot/1133/audi-a4-avant-40-tdi-advanced-quattro-s-tron-automat?&page_number=1,2.0 40 TDI quattro,152 kW (207 HP),
"32,944 EUR (31,800 CHF)",Ds Automobiles,Ds4,"8,100 km",2022,,Hatchback,,,Automatic,https://www.azw.ch/de/angebot/79/ds-automobiles-ds-4-1-6-e-tense-performance-line-automat?&page_number=3,1.6,167 kW (227 HP),6
"190,800 EUR",Porsche,911 Gt2,"38,073 km",2010,Petrol,Coupe,,,,https://www.woowmotors.com/car/2010-porsche-911-2,,,
"48,174 EUR (46,500 CHF)",Bmw,X3,"20,600 km",2021,,Suv,,,Automatic,https://www.azw.ch/de/angebot/740/bmw-x3-xdrive-30e-pure-m-sport-automat?&page_number=2,30e xDrive,217 kW (295 HP),6
"40,922 EUR (39,500 CHF)",Volkswagen,Id.4,"27,800 km",2022,Electric,,,,Automatic,https://www.azw.ch/de/angebot/588/vw-id-4-pro-performance-77-kwh?&page_number=8,Pro,152 kW (207 HP),
"37,088 EUR (35,800 CHF)",Bmw,2 Series,"17,500 km",2022,,Coupe,,,Automatic,https://www.azw.ch/de/angebot/38/bmw-220d-coupe-m-sport-steptronic-automat?&page_number=2,220D,141 kW (192 HP),6
