Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"18,999 EUR",Volkswagen,Sharan,2.0 TDI,"180,000 km",2015,Diesel,5,Van,Brown,Schwechat,104 kW (141 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-braun-niederoesterreich/details-1235741
"18,450 EUR",Volkswagen,Sharan,2.0 TDI,"159,000 km",2015,Diesel,6,Van,Black,Salzburg,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700
"23,990 EUR",Honda,Hr-V,1.5 VTEC Turbo,"20,000 km",2020,Petrol,,Crossover,Gray,Wels,135 kW (184 HP),Automatic,https://www.zweispurig.at/honda-hr-v-gebrauchtwagen-benzin-grau-oberoesterreich/details-1243911
"14,880 EUR",Dacia,Lodgy,1.2 TCe,"15,537 km",2021,Petrol,,Mpv,White,Wien,97 kW (132 HP),Manual,https://www.zweispurig.at/dacia-lodgy-gebrauchtwagen-benzin-weiss-wien/details-1239153
"62,900 EUR",Kia,Ev6,,"4,972 km",2023,Electric,,Crossover,Gray,Salzburg,436 kW (593 HP),Automatic,https://www.zweispurig.at/kia-ev6-gebrauchtwagen-elektro-grau-salzburg/details-1240824
"22,690 EUR",Volkswagen,Sharan,2.0 TDI,"123,924 km",2016,Diesel,6,Van,Silver,Linz,111 kW (151 HP),Manual,https://www.dasweltauto.at/vehicle/35002711
"38,800 EUR",Audi,A8,3.0 TDI,"172,000 km",2015,Diesel,6,Sedan,Gray,Salzburg,195 kW (265 HP),Automatic,https://www.zweispurig.at/audi-a8-gebrauchtwagen-diesel-grau-salzburg/details-1238799
"69,900 EUR",Ford,Transit Custom,2.0,"22,000 km",2021,Diesel,6,Van,Gray,Wien,137 kW (186 HP),Automatic,https://www.zweispurig.at/ford-transit-custom-gebrauchtwagen-diesel-grau-wien/details-1221308
"17,690 EUR",Hyundai,I10,1.2,1 km,2023,Petrol,,Mini,Red,Linz,62 kW (84 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/hyundai-i10-1-2-i-line-plus-automatik-navilink-winterpaket-benzin/e962adc4-8b43-441e-aba7-dec843d5f854
"34,900 EUR",Volvo,Xc40,2.0 D3 AWD,"73,350 km",2020,Diesel,6,Crossover,Gray,Innsbruck,111 kW (151 HP),Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-grau-tirol/details-1246487
"35,990 EUR",Volvo,Xc40,2.0 D4 AWD,"69,000 km",2020,Diesel,6,Crossover,Red,Wels,141 kW (192 HP),Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-rot-oberoesterreich/details-1171401
"56,840 EUR",Škoda,Kodiaq,2.0 4x4 dsg tdi,"6,213 km",2023,Diesel,6,Suv,Gray,Linz,149 kW (203 HP),Automatic,https://www.dasweltauto.at/vehicle/30102130
"99,900 EUR",Maserati,Grecale,2.0 GT,"18,400 km",2022,Hybrid,,Suv,Blue,Wien,224 kW (305 HP),Automatic,https://www.zweispurig.at/maserati-grecale-gebrauchtwagen-benzin-blau-wien/details-752548
"15,900 EUR",Bmw,X3,xDrive20d,"228,000 km",2012,Diesel,5,Suv,Black,Lienz,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1238595
"15,900 EUR",Jeep,Renegade,2.0,"160,000 km",2015,Diesel,6,Crossover,White,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809
"19,900 EUR",Bmw,X3,30d,"151,903 km",2012,Diesel,5,Suv,Black,Innsbruck,192 kW (261 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1230667
"19,950 EUR",Bmw,X3,xDrive20d,"148,000 km",2012,Diesel,,Suv,Black,Lustenau,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758
"11,999 EUR",Mercedes Benz,C-Class,220 CDI,"221,000 km",2011,Diesel,5,Sedan,Black,Braunau Am Inn,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590
"15,490 EUR",Hyundai,I30,1.0,"53,200 km",2019,Petrol,,Wagon,Brown,Linz,89 kW (121 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html
"18,990 EUR",Bmw,X1,,"88,800 km",2018,Petrol,,Suv,White,Linz,104 kW (141 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510874-bmw-x1-sdrive18i-advantagenavirueckfahrkamerapdc.html
"15,499 EUR",Bmw,Z4,i,"109,000 km",2008,Petrol,4,Convertible,Black,Steyr,131 kW (178 HP),Manual,https://www.zweispurig.at/bmw-z4-gebrauchtwagen-benzin-schwarz-oberoesterreich/details-1223191
"13,990 EUR",Audi,A4 Allroad,2.0 TDI,"214,000 km",2012,Diesel,5,Crossover,Brown,Salzburg,131 kW (178 HP),Manual,https://www.zweispurig.at/audi-a4-allroad-gebrauchtwagen-diesel-braun-salzburg/details-1218466
"11,500 EUR",Audi,Tt,2.0 tfsi,"151,000 km",2007,Petrol,4,Coupe,Black,Salzburg,149 kW (203 HP),Manual,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1240947
"18,499 EUR",Bmw,X3,xDrive20d,"170,000 km",2013,Diesel,5,Suv,Black,Braunau Am Inn,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1221951
"10,980 EUR",Ford,Focus,1.5 TDCi,"116,000 km",2017,Diesel,,Wagon,Gray,Steyr,78 kW (106 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511622-ford-focus-traveller-tdci-navi-kamera-winterpaket.html
"17,450 EUR",Bmw,3 Series,316d,"109,000 km",2018,Diesel,,Wagon,Blue,Steyr,86 kW (117 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-316-d-touring-advantage-led-navi-pdc-diesel/a2a4692d-c8f3-4999-aad9-9d50e5ba71ab
"19,980 EUR",Volkswagen,Sharan,2.0 TDI,"169,057 km",2019,Diesel,6,Van,Silver,Wien,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-silber-niederoesterreich/details-1243924
"45,990 EUR",Hyundai,Tucson,1.6 CRDi,"3,000 km",2024,Diesel,6,Suv,White,Innsbruck,101 kW (137 HP),Automatic,https://www.zweispurig.at/hyundai-tucson-vorfuehrwagen-diesel-weiss-tirol/details-1224367
"21,880 EUR",Volkswagen,Touran,2.0,"86,443 km",2017,Diesel,,Mpv,Black,Wien,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-schwarz-wien/details-1203645
"42,900 EUR",Land Rover,Evoque,2.0,"49,280 km",2020,Diesel,,Suv,Gray,Linz,133 kW (181 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/land-rover-range-rover-evoque-2-0-d180-s-head-up-sd-st-h-diesel/e62bdaec-bc06-413a-a13b-9635ffc65171
"16,990 EUR",Volkswagen,Passat,2.0 TDI,"93,200 km",2018,Diesel,6,Wagon,Silver,Graz,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-steiermark/details-1238572
"12,880 EUR",Fiat,Tipo,1.4,"88,715 km",2019,Petrol,,Hatchback,Black,Wien,89 kW (121 HP),Manual,https://www.zweispurig.at/fiat-tipo-gebrauchtwagen-benzin-mehrere-erhaeltlich-wien/details-1210968
"76,990 EUR",Mercedes Benz,Glc-Class,300 4MATIC,"16,224 km",2022,Diesel,6,Suv,Black,Schwaz,182 kW (248 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-schwarz-tirol/details-1226799
"9,900 EUR",Mazda,6,2.2 cd,"194,550 km",2013,Diesel,6,Wagon,Gray,Linz,111 kW (151 HP),Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1168286
"15,890 EUR",Mercedes Benz,E-Class,200 CGI BE,"162,000 km",2009,Petrol,5,Sedan,Black,Villach,137 kW (186 HP),Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-kaernten/details-1230488
"16,900 EUR",Ford,Focus,1.5 TDCi,"111,500 km",2019,Diesel,6,Wagon,Orange,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-orange-salzburg/details-1194635
"26,365 EUR",Hyundai,I30,1.0,7 km,2024,Petrol,6,Wagon,Gray,Innsbruck,89 kW (121 HP),Manual,https://www.zweispurig.at/hyundai-i30-vorfuehrwagen-benzin-grau-tirol/details-1162997
"27,990 EUR",Jeep,Compass,1.6,"46,800 km",2022,Diesel,6,Crossover,Gray,Salzburg,97 kW (132 HP),Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-diesel-grau-salzburg/details-1242007
"29,990 EUR",Jeep,Compass,1.3,"34,330 km",2022,Petrol,6,Crossover,Blue,Villach,111 kW (151 HP),Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-blau-kaernten/details-1228974
"21,900 EUR",Audi,Q7,3.0 TDI,"165,000 km",2012,Diesel,,Suv,Gray,Wien,152 kW (207 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/audi-q7-3-0-tdi-quattro-dpf-tiptronic-diesel/6298e16a-f1de-4d27-9033-3b9932be3399
"29,890 EUR",Peugeot,508,2.0 HDi,"34,000 km",2019,Diesel,6,Sedan,White,Kufstein,134 kW (182 HP),Automatic,https://www.zweispurig.at/peugeot-508-gebrauchtwagen-diesel-weiss-tirol/details-1227659
"32,490 EUR",Mercedes Benz,Glc-Class,,"129,000 km",2016,Diesel,6,Suv,White,Wien,152 kW (207 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-weiss-niederoesterreich/details-1240310
"27,890 EUR",Bmw,X3,20d,"146,621 km",2016,Diesel,5,Suv,White,Salzburg,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-weiss-salzburg/details-1223833
"27,900 EUR",Audi,A3,2.0 30 TDI,"27,219 km",2022,Diesel,6,Sedan,White,Salzburg,86 kW (117 HP),Manual,https://www.zweispurig.at/audi-a3-gebrauchtwagen-diesel-weiss-salzburg/details-1201679
"63,990 EUR",Land Rover,Discovery,3.0,"60,672 km",2018,Petrol,,Suv,Black,Wiener Neustadt,253 kW (344 HP),Automatic,https://www.zweispurig.at/land-rover-discovery-gebrauchtwagen-benzin-schwarz-niederoesterreich/details-1228820
"26,940 EUR",Jeep,Renegade,1.6,"13,121 km",2022,Petrol,,Crossover,Gray,Amstetten,96 kW (131 HP),Automatic,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-benzin-grau-niederoesterreich/details-1183247
"19,890 EUR",Mercedes Benz,C-Class,180,"118,000 km",2015,Diesel,6,Sedan,White,Wien,86 kW (117 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-weiss-wien/details-1220636
"29,900 EUR",Mercedes Benz,Glc-Class,,"145,000 km",2017,Diesel,6,Suv,White,Lienz,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-weiss-tirol/details-1221147
"24,500 EUR",Bmw,X3,xDrive20d,"190,000 km",2017,Diesel,6,Suv,Gray,Ried Im Innkreis,141 kW (192 HP),Manual,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-grau-oberoesterreich/details-1207288
"29,790 EUR",Toyota,Corolla,1.8,"5,555 km",2023,Petrol,6,Sedan,Black,Wien,73 kW (99 HP),Automatic,https://www.zweispurig.at/toyota-corolla-vorfuehrwagen-benzin-schwarz-wien/details-1145708
"22,800 EUR",Opel,Grandland X,1.2,"55,000 km",2020,Petrol,,Suv,White,Eisenstadt,97 kW (132 HP),Automatic,https://www.dasweltauto.at/vehicle/20311637
"71,890 EUR",Mercedes Benz,Gle-Class,350,"79,681 km",2020,Diesel,6,Suv,White,Salzburg,202 kW (275 HP),Automatic,https://www.zweispurig.at/mercedes-benz-gle-gebrauchtwagen-diesel-weiss-salzburg/details-1185830
"14,190 EUR",Hyundai,I30,1.4,"67,900 km",2018,Petrol,,Wagon,Silver,Linz,75 kW (102 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511361-hyundai-i30-cw-mpi-startstopp-edition-25navirueckfah.html
"23,490 EUR",Bmw,X1,xDrive18d,"95,600 km",2017,Diesel,,Suv,Silver,Linz,111 kW (151 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/bmw-x1-xdrive18d-m-sport-head-up-display-diesel/b5cefe6e-92c3-4c78-98f5-3e04d8759e32
"26,450 EUR",Seat,Alhambra,2.0,"169,800 km",2020,Diesel,,Mpv,White,Salzburg,111 kW (151 HP),Automatic,https://www.zweispurig.at/seat-alhambra-gebrauchtwagen-diesel-weiss-salzburg/details-1243422
"11,890 EUR",Nissan,Micra,1.0,"14,800 km",2019,Petrol,6,Mini,Blue,Stockerau,75 kW (102 HP),Manual,https://www.zweispurig.at/nissan-micra-gebrauchtwagen-benzin-blau-niederoesterreich/details-1246754
"39,990 EUR",Audi,Q7,3.0,"154,500 km",2015,Diesel,6,Suv,Gray,Hallein,202 kW (275 HP),Automatic,https://www.zweispurig.at/audi-q7-gebrauchtwagen-diesel-grau-salzburg/details-1218591
"8,999 EUR",Škoda,Rapid,1.6 TDI,"113,000 km",2013,Diesel,5,Sedan,Blue,Steyr,78 kW (106 HP),Manual,https://www.zweispurig.at/skoda-rapid-gebrauchtwagen-diesel-blau-oberoesterreich/details-1235449
"23,900 EUR",Suzuki,Vitara,1.4,"15,590 km",2023,Petrol,6,Suv,Yellow,Telfs,96 kW (131 HP),Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-gelb-tirol/details-1226738
"23,900 EUR",Suzuki,Vitara,1.4,"12,450 km",2023,Petrol,6,Suv,Gray,Telfs,96 kW (131 HP),Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-grau-tirol/details-1226729
"21,990 EUR",Mazda,Cx-30,2.0,"27,000 km",2020,Petrol,6,Crossover,Red,Salzburg,90 kW (122 HP),Manual,https://www.zweispurig.at/mazda-cx-30-gebrauchtwagen-benzin-rot-salzburg/details-1238807
"29,900 EUR",Peugeot,5008,1.2 puretech,"35,000 km",2020,Petrol,6,Mpv,Black,Graz,97 kW (132 HP),Automatic,https://www.zweispurig.at/peugeot-5008-gebrauchtwagen-benzin-schwarz-steiermark/details-1192662
"84,220 EUR",Mercedes Benz,Amg Gt,3.0 53,"150,492 km",2019,Petrol,6,Sedan,Blue,Wien,324 kW (441 HP),Semi Automatic,https://www.zweispurig.at/mercedes-benz-amg-gt-gebrauchtwagen-benzin-blau-wien/details-1199186
"28,490 EUR",Seat,Arona,1.0 tsi,"14,783 km",2023,Petrol,6,Crossover,White,Klagenfurt,82 kW (112 HP),Automatic,https://www.dasweltauto.at/vehicle/60300026
"22,990 EUR",Mercedes Benz,C-Class,200 D,"134,315 km",2018,Diesel,6,Wagon,Black,Salzburg,111 kW (151 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-salzburg/details-1223918
"30,220 EUR",Seat,Leon,1.5 tsi,258 km,2024,Petrol,6,Hatchback,Gray,Wien,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/13125589
"29,720 EUR",Seat,Leon,1.5 tsi,258 km,2024,Petrol,6,Hatchback,Gray,Wien,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/11126089
"29,420 EUR",Seat,Leon,1.5 tsi,258 km,2024,Petrol,6,Hatchback,Red,Wien,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/13125592
"28,220 EUR",Seat,Leon,1.5 tsi,258 km,2024,Petrol,6,Hatchback,Gray,Wien,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/13125588
"34,500 EUR",Seat,Leon,1.5 eTSI,201 km,2024,Petrol,6,Hatchback,White,Eisenstadt,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/20311588
"26,690 EUR",Seat,Leon,1.0 tsi,200 km,2024,Petrol,6,Hatchback,Black,Bruck An Der Mur,82 kW (112 HP),Manual,https://www.zweispurig.at/seat-leon-vorfuehrwagen-benzin-schwarz-steiermark/details-1191786
"27,990 EUR",Seat,Leon,1.0 tsi,100 km,2024,Petrol,6,Hatchback,Black,Bruck An Der Mur,82 kW (112 HP),Manual,https://www.dasweltauto.at/vehicle/21936660
"32,215 EUR",Seat,Leon,2.0,201 km,2023,Diesel,6,Hatchback,Black,Wien,86 kW (117 HP),Manual,https://www.dasweltauto.at/vehicle/15054343
"28,170 EUR",Seat,Leon,1.5 tsi,201 km,2023,Petrol,6,Hatchback,Silver,Wien,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/15054358
"34,300 EUR",Seat,Leon,1.0 eTSI,200 km,2023,Petrol,6,Hatchback,White,Bruck An Der Mur,82 kW (112 HP),Automatic,https://www.zweispurig.at/seat-leon-tageszulassung-benzin-weiss-steiermark/details-1191780
"43,481 EUR",Seat,Leon,2.0,100 km,2023,Diesel,6,Hatchback,Gray,Klagenfurt,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/569505650
"31,490 EUR",Seat,Leon,1.5 tsi,100 km,2023,Petrol,6,Hatchback,Black,Klagenfurt,97 kW (132 HP),Manual,https://www.dasweltauto.at/vehicle/569505625
"27,590 EUR",Seat,Leon,1.0 tsi,100 km,2023,Petrol,6,Hatchback,White,Klagenfurt,82 kW (112 HP),Manual,https://www.dasweltauto.at/vehicle/569505664
"29,990 EUR",Audi,A4,2.0 30 TDI S tronic,"105,900 km",2020,Diesel,6,Sedan,Black,Hallein,101 kW (137 HP),Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-salzburg/details-1201687
"19,660 EUR",Mitsubishi,Outlander,2.3 did,"83,855 km",2015,Diesel,,Suv,Black,Wien,111 kW (151 HP),Automatic,https://www.zweispurig.at/mitsubishi-outlander-gebrauchtwagen-diesel-mehrere-erhaeltlich-wien/details-1239156
"66,900 EUR",Bmw,5 Series,,"67,700 km",2021,Diesel,6,Sedan,Gray,Graz,253 kW (344 HP),Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-grau-steiermark/details-1209631
"28,990 EUR",Audi,A6,2.0 TDI Ultra,"50,076 km",2017,Diesel,2,Wagon,Black,Steyr,141 kW (192 HP),Automatic,https://www.dasweltauto.at/vehicle/31306825
"59,990 EUR",Mercedes Benz,Glc-Class,43 AMG 4MATIC,"49,500 km",2021,Petrol,6,Suv,Blue,Lustenau,290 kW (394 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-benzin-blau-vorarlberg/details-1230541
"84,890 EUR",Mercedes Benz,E-Class,63 AMG 4MATIC+,"87,751 km",2018,Petrol,6,Wagon,Gray,Salzburg,425 kW (578 HP),Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-grau-salzburg/details-1233664
"41,900 EUR",Mercedes Benz,E-Class,63 AMG,"48,000 km",2018,Petrol,6,Coupe,Black,Schwaz,137 kW (186 HP),Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-tirol/details-1196217
"46,600 EUR",Volkswagen,Tiguan,2.0 TDI 4Motion,"26,500 km",2021,Diesel,6,Crossover,Black,Klagenfurt,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/64015935
"19,950 EUR",Mercedes Benz,C-Class,,"115,200 km",2019,Diesel,6,Wagon,Black,Wien,119 kW (162 HP),Manual,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1243990
"23,900 EUR",Mercedes Benz,C-Class,180,"109,000 km",2019,Diesel,,Sedan,Blue,Lienz,90 kW (122 HP),Manual,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-blau-tirol/details-1223388
"15,490 EUR",Nissan,X-Trail,1.6,"115,000 km",2016,Diesel,6,Suv,Black,Wien,97 kW (132 HP),Manual,https://www.zweispurig.at/nissan-x-trail-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1223616
"18,500 EUR",Audi,A4,2.0 35 TDI S tronic,"192,000 km",2021,Diesel,6,Wagon,Black,Wien,121 kW (165 HP),Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1243987
"44,900 EUR",Porsche,Macan,3.0 S Diesel,"95,000 km",2017,Diesel,,Suv,Gray,Kufstein,192 kW (261 HP),Automatic,https://www.zweispurig.at/porsche-macan-gebrauchtwagen-diesel-grau-tirol/details-1241584
"18,490 EUR",Volkswagen,Touran,2.0,"140,000 km",2015,Diesel,6,Mpv,White,Salzburg,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-touran-gebrauchtwagen-diesel-weiss-salzburg/details-1176309
