Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"49,500 EUR",Porsche,Cayenne,4.8 Turbo,"90,000 km",2010,Petrol,Suv,Black,Lisboa,372 kW (506 HP),Automatic,https://auto.sapo.pt/carro-usado/65b16d2ffb680231f4ddc00d/porsche-cayenne-cayenne-turbo
"18,990 EUR",Renault,Kangoo,1.5 dCi,"43,000 km",2022,Diesel,Pickup,Blue,Braga,70 kW (95 HP),Manual,https://auto.sapo.pt/carro-usado/65703b22f5192cadcb148476/renault-kangoo
"13,750 EUR",Mini,One,1.6 D,"138,866 km",2015,Diesel,Mini,Beige,Fafe,70 kW (95 HP),Manual,https://auto.sapo.pt/carro-usado/65954ce28944f998a87ca45c/mini-one-d-d
"9,990 EUR",Renault,Twizy,,"21,486 km",2018,Electric,Mini,Black,Lisboa,12 kW (16 HP),Automatic,https://auto.sapo.pt/carro-usado/6555106f8436a451a217c9a2/renault-twizy
"34,990 EUR",Peugeot,5008,2.0 bluehdi,"88,000 km",2019,Diesel,Mpv,Gray,Braga,131 kW (178 HP),Automatic,https://auto.sapo.pt/carro-usado/652a4db3c811cf9831bf2f81/peugeot-5008
"21,900 EUR",Fiat,Tipo,1.1,100 km,2024,Petrol,Hatchback,Gray,Queluz,75 kW (102 HP),Manual,https://www.abmotor.pt/carros/Fiat/Tipo%20cross/484745/
"34,990 EUR",Bmw,X6,40d,"252,000 km",2010,Diesel,Suv,Black,Gondomar,228 kW (310 HP),Automatic,https://www.abmotor.pt/carros/BMW/X6/476812/
"25,990 EUR",Bmw,X1,,"170,575 km",2019,Diesel,Suv,White,Lisboa,111 kW (151 HP),Automatic,https://www.abmotor.pt/carros/BMW/X1/485607/
"22,990 EUR",Nissan,Leaf,Acenta,"40,000 km",2021,Electric,Hatchback,Black,Braga,111 kW (151 HP),Automatic,https://www.abmotor.pt/carros/Nissan/Leaf/479113/
"13,740 EUR",Renault,Kangoo,1.5 dCi,"98,336 km",2021,Diesel,Pickup,White,Queluz,70 kW (95 HP),Manual,https://www.abmotor.pt/carros/Renault/Kangoo%201.5%20dci%20maxi%20/484224/
"19,990 EUR",Renault,Kangoo,1.5 dCi,"15,000 km",2021,Diesel,Pickup,Blue,Braga,70 kW (95 HP),Manual,https://www.abmotor.pt/carros/Renault/Kangoo%20van%201.5%20blue%20dci%20edition%20/484160/
"15,900 EUR",Peugeot,Partner,1.5 HDI,"96,988 km",2020,Diesel,Pickup,White,Fafe,76 kW (103 HP),Manual,https://www.abmotor.pt/carros/Peugeot/Partner/484971/
"14,900 EUR",Fiat,Tipo,1.6,"69,659 km",2016,Diesel,Hatchback,Gray,Sintra,89 kW (121 HP),Manual,https://www.abmotor.pt/carros/Fiat/Tipo%20Station%20Wagon/472067/
"23,990 EUR",Volkswagen,Touran,2.0,"142,279 km",2018,Diesel,Mpv,Gray,Lisboa,111 kW (151 HP),Manual,https://www.abmotor.pt/carros/Vw/Touran/483951/
"15,950 EUR",Citroen,C3,1.2 puretech,"34,922 km",2022,Petrol,Hatchback,White,Queluz,61 kW (83 HP),Manual,https://auto.sapo.pt/carro-usado/659d50b7f41d86b6f5e766b5/citroen-c3-12-puretech-c-series
"14,490 EUR",Seat,Leon,1.6 TDI,"198,832 km",2019,Diesel,Hatchback,Black,Lisboa,85 kW (116 HP),Manual,https://www.abmotor.pt/carros/Seat/Leon/485472/
"15,990 EUR",Seat,Leon,1.6 TDI,"171,421 km",2019,Diesel,Hatchback,Black,Lisboa,85 kW (116 HP),Automatic,https://www.abmotor.pt/carros/Seat/Leon/484651/
"17,390 EUR",Seat,Leon,1.6 TDI,"117,951 km",2019,Diesel,Hatchback,White,Lisboa,85 kW (116 HP),Manual,https://www.abmotor.pt/carros/Seat/Leon/484280/
"18,990 EUR",Seat,Leon,1.6 TDI,"107,288 km",2019,Diesel,Hatchback,White,Lisboa,85 kW (116 HP),Automatic,https://auto.sapo.pt/carro-usado/6554e4af044a5eea1c77dfc9/seat-leon
"9,250 EUR",Peugeot,3008,1.6 HDi,"240,054 km",2013,Diesel,Crossover,Blue,Fafe,85 kW (116 HP),Automatic,https://www.abmotor.pt/carros/Peugeot/3008/455436/
"17,500 EUR",Toyota,Rav4,2.0 D-4D,"247,655 km",2014,Diesel,Suv,Black,Caldas Da Rainha,92 kW (125 HP),Manual,https://www.abmotor.pt/carros/Toyota/Rav4/477130/
"11,950 EUR",Bmw,X3,D,"212,184 km",2007,Diesel,Suv,Black,Caldas Da Rainha,111 kW (151 HP),Manual,https://www.abmotor.pt/carros/Bmw/X3/485022/
"20,990 EUR",Nissan,Leaf,Acenta,"65,000 km",2020,Electric,Hatchback,White,Braga,111 kW (151 HP),Automatic,https://auto.sapo.pt/carro-usado/652a4de5c811cf9831bf3034/nissan-leaf-acenta
"25,990 EUR",Volkswagen,Tiguan,2.0 TDI 4Motion,"199,901 km",2018,Diesel,Crossover,Red,Lisboa,111 kW (151 HP),Automatic,https://auto.sapo.pt/carro-usado/65615e812b32d22e0b6f0bd8/volkswagen-tiguan
"13,490 EUR",Volkswagen,Polo,1.0,"93,945 km",2018,Petrol,Hatchback,White,Lisboa,55 kW (75 HP),Manual,https://auto.sapo.pt/carro-usado/65a5aaafcc4703e3d57f5982/volkswagen-polo
"9,950 EUR",Opel,Zafira,1.7,"130,007 km",2008,Diesel,Mpv,Black,Caldas Da Rainha,93 kW (126 HP),Manual,https://auto.sapo.pt/carro-usado/65d37d942e166ba2269b3d6d/opel-zafira
"16,990 EUR",Citroen,C3,1.6,"40,000 km",2021,Diesel,Hatchback,Gray,Braga,76 kW (103 HP),Manual,https://www.abmotor.pt/carros/Citro%C3%ABn/C3/485493/
"18,690 EUR",Volkswagen,T-Cross,1.0 tsi,"66,000 km",2021,Petrol,Crossover,Gray,Porto,70 kW (95 HP),Manual,https://auto.sapo.pt/carro-usado/652a54edc811cf9831bf3d80/volkswagen-t-cross-10-tsi-life
"24,990 EUR",Citroen,C4 Spacetourer,1.6 BlueHDI,"136,000 km",2021,Diesel,Mpv,Blue,Gondomar,96 kW (131 HP),Automatic,https://www.abmotor.pt/carros/Citro%C3%ABn/C4%20Spacetourer/484684/
"12,990 EUR",Fiat,Panda,1.2,"12,000 km",2020,Petrol,Mini,White,Braga,51 kW (69 HP),Manual,https://auto.sapo.pt/carro-usado/659d0fd1f41d86b6f5e750b9/fiat-panda
"10,950 EUR",Citroen,C4 Cactus,1.2,"94,087 km",2015,Petrol,Hatchback,White,Caldas Da Rainha,61 kW (83 HP),Manual,https://www.abmotor.pt/carros/Citro%C3%ABn/C4%20cactus/485563/
"29,990 EUR",Peugeot,3008,1.5 bluehdi,"31,000 km",2022,Diesel,Crossover,Gray,Braga,96 kW (131 HP),Manual,https://www.abmotor.pt/carros/Peugeot/3008/483669/
"6,750 EUR",Citroen,C3,1.1,"171,835 km",2010,Petrol,Hatchback,Gray,Caldas Da Rainha,44 kW (60 HP),Manual,https://auto.sapo.pt/carro-usado/65b283f7eb0dc09639ae7db5/citroen-c3-11-airdream-seduction
"16,990 EUR",Volkswagen,Caddy,2.0,"211,050 km",2020,Diesel,Pickup,White,Vila Franca De Xira,76 kW (103 HP),Manual,https://auto.sapo.pt/carro-usado/6554ee11044a5eea1c77e634/volkswagen-caddy
"19,990 EUR",Seat,Ateca,1.0 tsi,"51,000 km",2020,Petrol,Suv,Black,Braga,85 kW (116 HP),Manual,https://auto.sapo.pt/carro-usado/65ead488244f30653cfa5423/seat-ateca-10-tsi-style
"19,950 EUR",Volkswagen,T-Cross,1.0,"41,667 km",2020,Petrol,Crossover,Gray,Caldas Da Rainha,85 kW (116 HP),Automatic,https://www.abmotor.pt/carros/Vw/T-cross/485566/
"20,990 EUR",Nissan,Leaf,Acenta,"31,000 km",2019,Electric,Hatchback,White,Braga,111 kW (151 HP),Automatic,https://auto.sapo.pt/carro-usado/652a4d6dc811cf9831bf2ea9/nissan-leaf-acenta
"19,430 EUR",Peugeot,Boxer,2.0,"82,079 km",2017,Diesel,Van,White,Queluz,96 kW (131 HP),Manual,https://www.abmotor.pt/carros/Peugeot/Boxer%20l2h2%20%202:0%20bluehdi%20caixa%20de/485425/
"22,990 EUR",Ford,Puma,1.0 EcoBoost,"29,000 km",2021,Petrol,Crossover,White,Braga,93 kW (126 HP),Manual,https://www.abmotor.pt/carros/Ford/Puma/479738/
"26,950 EUR",Volkswagen,Touran,1.6 TDI,"94,739 km",2019,Diesel,Mpv,Silver,Lisboa,85 kW (116 HP),Manual,https://www.abmotor.pt/carros/Vw/Touran/479090/
"28,950 EUR",Audi,Q3,2.0,"72,555 km",2018,Diesel,Crossover,Silver,Lisboa,111 kW (151 HP),Manual,https://www.abmotor.pt/carros/Audi/Q3/464342/
"14,990 EUR",Fiat,500,1.0,"27,000 km",2020,Hybrid,Mini,Black,Braga,52 kW (71 HP),Manual,https://www.abmotor.pt/carros/Fiat/500/480690/
"14,990 EUR",Fiat,500,1.0,"20,000 km",2020,Hybrid,Mini,Gray,Braga,52 kW (71 HP),Manual,https://auto.sapo.pt/carro-usado/65523b645d0cef7150dbba8f/fiat-500
"18,990 EUR",Nissan,Micra,1.0,"6,000 km",2022,Petrol,Mini,Black,Braga,68 kW (92 HP),Manual,https://auto.sapo.pt/carro-usado/65b2254c507aba9bb63a8240/nissan-micra
"20,490 EUR",Renault,Talisman,1.7 dci,"97,035 km",2019,Diesel,Sedan,Blue,Lisboa,89 kW (121 HP),Manual,https://www.abmotor.pt/carros/Renault/Talisman%20Sedan/475396/
"16,990 EUR",Nissan,Leaf,Acenta,"73,000 km",2018,Electric,Hatchback,White,Braga,111 kW (151 HP),Automatic,https://www.abmotor.pt/carros/Nissan/Leaf/483533/
"18,990 EUR",Nissan,Leaf,Acenta,"65,000 km",2018,Electric,Hatchback,Gray,Braga,111 kW (151 HP),Automatic,https://auto.sapo.pt/carro-usado/652a4cf6c811cf9831bf2d4b/nissan-leaf-acenta
"19,990 EUR",Nissan,Leaf,Acenta,"24,000 km",2018,Electric,Hatchback,White,Braga,111 kW (151 HP),Automatic,https://auto.sapo.pt/carro-usado/654214b76116f0345bb7e4e5/nissan-leaf-acenta
"14,630 EUR",Renault,Kangoo,1.5 dCi,"98,000 km",2018,Diesel,Pickup,White,Lisboa,67 kW (91 HP),Manual,https://www.abmotor.pt/carros/Renault/Kangoo/476110/
"44,500 EUR",Jaguar,I-Pace,EV320,"60,400 km",2020,Electric,Suv,Blue,Porto,238 kW (324 HP),Automatic,https://www.abmotor.pt/carros/Jaguar/I-pace/482783/
"19,990 EUR",Peugeot,Partner,1.2 puretech,"94,000 km",2017,Petrol,Pickup,White,Lisboa,82 kW (112 HP),Manual,https://auto.sapo.pt/carro-usado/655df87b9002adca19a068c4/peugeot-partner-tepee-12-puretech-active
"14,990 EUR",Dacia,Logan Mcv,1.0,"66,499 km",2020,Petrol,Wagon,Red,Lisboa,67 kW (91 HP),Manual,https://www.abmotor.pt/carros/Dacia/Logan%20MCV/485098/
"18,490 EUR",Dacia,Logan Mcv,1.5 dCi,"53,219 km",2020,Diesel,Wagon,Blue,Lisboa,70 kW (95 HP),Manual,https://www.abmotor.pt/carros/Dacia/Logan%20MCV/482837/
